[00:00] 歡迎大家來到今天的欺騰的介紹的作者
[23:43] 有一個朋友
[23:45] 找我去ATTFORFUN開店
[23:47] 所以我有在ATTFORFUN開店
[23:49] 那個時候
[23:51] 那個時候
[23:53] 覺得我光睡覺
[23:55] 那前就是多門鵝出場
[23:57] 每天就要付
[23:59] 這個
[24:01] 包底抽層
[24:03] 然後還要付這個
[24:05] 原工的薪水
[24:07] 然後所以後來呢
[24:09] 銀售不夠
[24:11] 所有的股東跑去
[24:13] 跑去上班
[24:15] 然後來發原工薪水
[24:17] 然後這樣一年下來
[24:19] 所有的人家家
[24:21] 當保全的時候我最多
[24:23] 就是一天
[24:25] 我有做過24小時的半夜
[24:27] 保全就是
[24:29] 一個班是12小時
[24:31] 然後我曾經早上班
[24:33] 接著就晚上班
[24:35] 當時就是
[24:37] 坐在椅子上睡覺
[24:39] 然後呢
[24:41] 最誇張的時候
[24:43] 就是我洗澡
[24:45] 就跑到運動中心去洗
[24:47] 然後後來呢
[24:49] 我就創立市醫一直到現在
[24:50] 第一次領到千萬
[24:52] 日化八個月
[24:54] 然後那是一個寵物的公司
[24:56] 然後當時呢
[24:57] 我就是去
[24:58] 上課
[24:59] 上課的時候
[25:00] 那時候是一個課程
[25:02] 叫做
[25:04] 雲端事業家書器
[25:06] 那個老師現在已經沒有在交了
[25:08] 然後當時我
[25:09] 口袋其實沒有什麼錢
[25:11] 但是
[25:12] 因為之前有聽過這個老師的課
[25:14] 然後這個家書器
[25:16] 就是大家把你的產品帶來
[25:18] 課堂上面
[25:20] 直接的一步一步的做
[25:22] 然後把這個東西賣出去這樣
[25:24] 然後這個課呢
[25:26] 後來
[25:27] 我也在
[25:28] 跟
[25:30] 課裡面騎壓同學
[25:32] 就最後就一起創業
[25:34] 然後這個課程
[25:35] 結束之後
[25:36] 就有同學變成兩間公司這樣
[25:38] 然後目前這兩間公司
[25:40] 都還在
[25:42] 當時呢
[25:43] 我就去
[25:44] 一間同學
[25:45] 從事就在上課的同學
[25:47] 這樣
[25:48] 然後這邊從公司
[25:49] 第一次就是領導千萬這樣
[25:52] 然後接下來
[25:53] 我第二個
[25:54] 就是事業的這個公司
[25:56] 才是領導千萬這樣
[25:58] 然後後來呢
[25:59] 我們在事業
[26:00] 我們開始有把一些
[26:02] 我學會的東西
[26:03] 可以分享給別人
[26:05] 然後目的就是幫助
[26:07] 其他的人
[26:09] 從領開始
[26:10] 做出一個事業
[26:12] 然後我們當時開的這個課程
[26:14] 叫做雲端事業課程
[26:16] 然後在這裡面
[26:17] 我們從一開始
[26:19] 提案包裝
[26:20] 一直到最後
[26:21] 然後團隊管理這樣
[26:23] 然後在雲端事業課程裡面
[26:25] 有開的三期
[26:27] 然後銀收千萬的呢
[26:29] 大概有三到四位這樣
[26:31] 然後有一個做了機的
[26:32] 在當課的時候
[26:33] 他業績就爆衝
[26:35] 有一個學員
[26:36] 後來變成我們員工
[26:38] 然後後來出去創業
[26:39] 然後後來做彈劇
[26:41] 然後現在
[26:42] 在精湛有事的鬼
[26:43] 然後他也到千萬以上
[26:45] 有一個學員
[26:46] 他是做美法
[26:48] 然後他學習完之後
[26:50] 在桃園開一件美法學堂
[26:52] 然後是這個
[26:53] 北台灣美法學堂的
[26:55] 一代表這樣
[26:56] 然後我們合作的公司
[26:58] 有一個
[26:59] 他是做美裝產品
[27:01] 我們幫他從領到一年
[27:03] 在一年的時間這樣
[27:05] 然後
[27:06] 這個公司
[27:08] 然後你會想就是說
[27:09] 其實
[27:11] 有朋友在這邊寫
[27:13] 上面演就說
[27:14] 我不是在上面演就說
[27:15] 那個老師現在
[27:16] 沒有在開課
[27:17] 因為我剛才不是有講到
[27:19] 就是
[27:20] 後來我們那一個課
[27:22] 他叫云端
[27:23] 志業家書記
[27:25] 然後那一個課的學員
[27:27] 後來變成兩間公司
[27:29] 一間公司在做
[27:31] 這個科技健身
[27:32] 然後這個
[27:33] 我有介紹給這個主持人
[27:36] 然後另外
[27:37] 這間公司
[27:38] 就是一個
[27:39] 從誤的保健師兵公司
[27:41] 然後後來那個老師
[27:43] 他就是在
[27:45] 科技健身這間公司
[27:48] 他在做總經理
[27:50] 所以他後來沒有在教課
[27:52] 就不是稍微賣一點就說
[27:54] 然後我們
[27:55] 這個合作公司
[27:56] 一年從領就要
[27:58] 疑異這一個
[27:58] 他是一個美裝的公司
[28:01] 因為他自己本身
[28:03] 有藥廠
[28:04] 有這個
[28:05] 美裝廠
[28:07] 所以他的產品都已經
[28:09] ready了
[28:10] 然後他之前
[28:11] 就是在上這個
[28:13] 電視購物的
[28:15] 所以我們幫他
[28:17] 把電視購物那一套
[28:18] 把它放到網路上
[28:20] 然後很快
[28:21] 他就一年就脫意這樣
[28:23] 好
[28:25] 然後所以
[28:26] 我今天跟大家分享
[28:28] 第一個部分
[28:29] 就是領到千萬的三個藥廚
[28:32] 然後
[28:33] 其實領到千萬真的
[28:35] 不會很難
[28:36] 就是如果
[28:37] 你學會
[28:38] 我今天講的這個
[28:40] 還有後面
[28:41] 因為我是第一堂課
[28:42] 後面還有企業老師
[28:43] 會分享
[28:44] 像我的
[28:45] 他會分享
[28:46] facebook廣告的部分
[28:48] 其實你只要
[28:49] 會用付費流量
[28:50] 並且
[28:51] 搞定我剛剛講到的
[28:53] 這個
[28:54] 領到千萬的三個藥廚
[28:55] 我等一下會講
[28:57] 因為
[28:58] 你要或千萬
[28:59] 其實不會
[29:00] 太難
[29:01] 好
[29:03] 然後今天的課程
[29:04] 大剛才一開始會跟大家講
[29:06] 就是領到千萬的三個藥廚
[29:08] 然後如何用三招來
[29:10] 打造熱賣產品
[29:12] 然後第三個
[29:14] 就是
[29:15] 到底要放在哪些地方
[29:17] 放對地方
[29:18] 才會好賣
[29:19] 第四個
[29:20] 就是
[29:21] 如何讓更多人看到我的產品
[29:23] 然後其實
[29:24] 等一下
[29:25] 雖然這個課程大剛才講
[29:27] 等一下我可以講到三個藥廚
[29:28] 所以你會知道
[29:29] 這三個大為了講哪些了
[29:31] 然後所以第一個
[29:32] 廣入行銷的三大藥廚是什麼
[29:35] 這三大藥廚
[29:37] 你一定會有一個產品
[29:39] 然後你一定會有一個銷售的系統
[29:43] 第三個就是流量
[29:45] 對
[29:46] 然後所以
[29:48] 這三個藥廚
[29:49] 其實缺一步
[29:50] 那第一個
[29:51] 你不可能沒有產品
[29:53] 如果你沒有產品的話
[29:56] 你可能真的就
[29:58] 有一些人可能是服務
[30:00] 服務它也是一種產品
[30:02] 然後或者是你銷售
[30:04] 你自己銷售個人才是一個產品
[30:06] 然後這三個是為互相連動
[30:09] 如果好的產品
[30:12] 你行銷可能只要一點點
[30:15] 它這個很快就會引爆
[30:18] 那如果產品不好
[30:19] 你可能就會花比較多的能力
[30:22] 在建立系統
[30:24] 或者是我引導流量
[30:26] 對
[30:27] 然後所以如果你有產品
[30:28] 你沒有走網路上
[30:30] 曝光的地方
[30:31] 你只能做實險店面銷售
[30:33] 那就不是網路行銷對不對
[30:35] 你也有產品
[30:36] 你也有網站
[30:37] 但是沒有人看到
[30:38] 也就是你沒有流量
[30:39] 那就賣不出去
[30:41] 然後所以這個三個區塊呢
[30:44] 就是非常重要
[30:45] 當你可能事業到的
[30:48] 某一個程度
[30:49] 你發現上不去的時候
[30:50] 你就回過頭來
[30:51] 看看到底這三個藥宿
[30:53] 哪一個區塊
[30:54] 你沒有做得夠好這樣
[30:56] 那我們就開始講
[30:57] 第一個
[30:58] 第一個
[30:59] 產品
[31:00] 產品部分
[31:03] 產品可以分很多種
[31:05] 你也可以是實際產品
[31:07] 像我們
[31:09] 像我剛才講
[31:12] 第一個領導千萬的
[31:13] 這個它是重物
[31:15] 重物寶箭的產品
[31:17] 它算是一個實際產品
[31:20] 然後我是
[31:21] 是一型銷的這件工資呢
[31:23] 它是算
[31:24] 第二個產品
[31:25] 它算是虛擬產品
[31:27] 我因為我在這邊
[31:28] 把五五把它列成
[31:29] 虛擬產品
[31:30] 然後所以如果你是有
[31:32] 實際產品的部分
[31:33] 你就要看你自己
[31:35] 產品上面是不是
[31:36] 有競爭力
[31:37] 這個競爭力呢
[31:40] 除了價格以外
[31:42] 功能
[31:43] 還有差異化賣點在哪邊
[31:46] 那虛擬產品的部分呢
[31:49] 就是可能有一些
[31:50] 現場課程
[31:51] 音樂
[31:52] 或是遊戲或服務這些
[31:55] 第三個就是人物
[31:57] 就是人物
[31:59] 我們是有一個
[32:01] 很有趣的經驗
[32:03] 就是我們之前有幫一個
[32:05] 候選人進選
[32:07] 然後在進選的時候
[32:08] 我們也是透過網路行銷的方式
[32:11] 最後幫助它當選
[32:13] 然後這些
[32:15] 我覺得之後有機會的話
[32:17] 可以再多跟大家分享
[32:19] 或者是今天
[32:20] 如果我的課程
[32:21] 講得比較快
[32:22] 我們比較快
[32:23] 就講完的話
[32:25] 後面的時間
[32:26] 我們可以來做一些 Q&A
[32:28] 對
[32:29] 那這個時候
[32:30] 我就可以來分享一下
[32:31] 我們當時如何去賣一個人這樣
[32:34] 對好
[32:35] 然後呢
[32:36] 在這邊我們來看一下
[32:38] 這個產品呢
[32:40] 其實
[32:42] 我要如何把一個產品打造好
[32:46] 簡單來講
[32:47] 產品有三個部分
[32:49] 我教的產品三例
[32:51] 第一個部分呢
[32:53] 就是產品例
[32:54] 簡單來講
[32:56] 就是你的產品
[32:58] 價格是不是有競爭性
[33:00] 如果跟其他的
[33:02] 同業來比
[33:04] 我的工人上面
[33:06] 是不是有競爭力
[33:08] 然後如果
[33:10] 比外觀的話
[33:11] 是不是有競爭力
[33:13] 大家可以思考一下
[33:15] 你看像 iPhone 的手機
[33:17] 為什麼跟其他手機來講
[33:19] 就是比較好賣
[33:21] 在這邊就是它
[33:23] 有一個產品例
[33:25] 然後所以
[33:26] 我們等一下會給大家思考一下
[33:28] 要如何去
[33:30] 犧牲這個產品例
[33:32] 然後所以在這邊呢
[33:35] 我跟大家分享
[33:36] 就是產品例呢
[33:38] 它就是產品本身的賣點
[33:41] 對
[33:43] 然後到這邊的話
[33:45] 有沒有
[33:46] 很有
[33:47] 一些想要討論的部分
[33:51] 好
[33:54] 那這邊如果沒有的話
[33:55] 我就繼續
[33:57] 分享下去囉
[33:59] 然後第二個部分呢
[34:01] 就是
[34:03] 品牌例
[34:05] 對
[34:07] 那品牌是什麼呢
[34:09] 品牌就是客戶
[34:11] 認知的賣點
[34:13] 所以
[34:15] 如果我自己認為
[34:17] 我的產品很有賣點
[34:20] 客戶不認為
[34:22] 到最後呢
[34:23] 它就不會成為一個品牌這樣
[34:26] 好
[34:27] 然後第三個呢
[34:28] 就是
[34:29] 行銷力
[34:31] 然後所以呢
[34:32] 我們
[34:33] 講網路行銷啊
[34:35] 它就是
[34:37] 其中有一個區塊它
[34:38] 就是
[34:39] 行銷的部分
[34:41] 行銷呢
[34:42] 它就是透過包裝
[34:44] 它讓
[34:45] 產品變得更好賣這樣
[34:47] 那這邊
[34:49] 大家有沒有什麼問題
[34:50] 或者想要討論的部分
[34:52] 可以打在聊天這邊
[34:54] 來讓我知道一下
[34:56] 可是我怕點火狀況
[35:00] 因為這就像是我一樣
[35:02] 那這邊
[35:04] 如果有一些
[35:06] 有在創業的朋友
[35:08] 然後你可以分享一下
[35:09] 你現在的
[35:10] 產品
[35:12] 是哪些這樣
[35:14] 然後等一下
[35:15] 我們可以做一些討論就是
[35:16] 我們如何透過這個
[35:18] 產品的三例
[35:20] 來
[35:21] 把它變成
[35:22] 更好的賣的一個東西這樣
[35:26] 各位
[35:28] 好
[35:29] 很有有人在線上嗎
[35:31] 好
[35:32] 有人要說
[35:33] 有創業的朋友
[35:34] 你可以把
[35:35] 你創業的這個產品
[35:37] 可以把它打在這個
[35:39] 聊天室這裡
[35:41] 等一下我們就可以做一些互動跟跑
[35:46] 好
[35:48] 我們還想要先講
[35:50] 不過有經濟而表達
[35:53] 這個算閃
[35:55] 算閃密
[35:57] OK
[35:58] 有沒有是什麼公司呢
[36:05] 賣甜點
[36:07] 對
[36:08] 好
[36:09] 那我這邊的稍微
[36:13] 客製化圖案
[36:17] 客製化圖案
[36:19] 建材
[36:21] 建材
[36:23] 賣中式
[36:27] 創業兵紅豆湯
[36:28] 賣教練
[36:29] 客
[36:30] 那所以在這邊
[36:32] 大家都
[36:33] 是想要透過
[36:34] 網路的方式
[36:36] 來銷售自己的產品
[36:38] 對不對
[36:41] 好
[36:42] 那我上在這邊
[36:44] 我們等一下
[36:46] 我們來看一下
[36:48] 我這後面有準備的
[36:50] 就是如何去
[36:52] 提升產品地
[36:54] 然後在這邊
[36:56] 我們可以
[36:58] 這邊會有三個點
[37:00] 然後同時
[37:02] 這些朋友
[37:03] 你可以去想一下
[37:05] 就是如何透過這三個點
[37:07] 來增加我們產品地
[37:09] 第一個
[37:10] 就是要大家自己
[37:12] 做筆記這樣
[37:14] 然後第一個
[37:16] 像內
[37:18] 我們要找什麼東西
[37:20] 在這邊大家可以
[37:22] 用筆把它寫下來
[37:24] 就是我們像內
[37:26] 是找他一畫賣點這樣
[37:28] 好等一下
[37:30] 我再這邊打一下
[37:32] 好
[37:34] 好
[37:36] 好
[37:38] 所以在這邊
[37:40] 你可以去思考
[37:42] 就是
[37:44] 第一個我們一定會
[37:46] 做市場調查
[37:48] 市場調查的時候
[37:50] 我們去找
[37:52] 其他的
[37:54] 跟我們類似的產品
[37:56] 他有在網路上賣
[37:58] 然後在這邊跟大家分享
[38:00] 我會做市場調查方式
[38:02] 第一個我會先在Google
[38:04] 先收尋
[38:06] 譬如說
[38:08] 在這邊
[38:10] 我想要看一下
[38:14] 像這個中式畫兵紅豆湯
[38:18] 假設我是銷售
[38:20] 這個我想要在網路上銷售
[38:22] 我覺得第一步
[38:24] 就先Google
[38:26] 譬如說紅豆湯
[38:28] 然後這個時候呢
[38:30] 他會出現哪些部分
[38:32] 第一個他可能會出現
[38:34] 他可能會出現
[38:36] 然後現在
[38:38] 有一個
[38:40] 最近比較流行的
[38:42] 叫做Google Maps
[38:44] 其實像我們
[38:46] 開實體店面的
[38:48] 你可以去看Google Maps
[38:50] 上面其他
[38:52] 跟我們類似產品的這些廠
[38:54] 然後像這個
[38:56] 甜點也是一樣
[38:58] 你可以去找一下
[39:00] 同樣類似的甜點
[39:02] 可以大家一個工具
[39:06] 大家可以去
[39:08] 進去一下
[39:16] 大家可以看到我打在這個了解這邊
[39:19] 它叫Similar Web
[39:21] 就是我們剛才不是
[39:22] 第一步先去做收尋
[39:24] 收尋了之後呢
[39:26] 你可以看到其他人的網站
[39:28] 網站的部分
[39:29] 你就直接把它丟到Similar Web
[39:31] 去
[39:33] 這個今天我沒有做事實
[39:35] 這樣
[39:37] 在這邊的話
[39:39] 我們可以透過Similar Web
[39:41] 去看一下別人的網站
[39:43] 然後點到別人的網站之後呢
[39:45] 我們去開始
[39:47] 第一個叫做像那一早
[39:49] 差異化賣點
[39:51] 我們去看別人
[39:53] 有哪些東西
[39:55] 我去思考
[39:57] 跟別人比較
[39:59] 哪一些我可以變成最強
[40:00] 最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強
[40:30] 最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強的最強
[41:00] 如果你沒有你的產品沒有產品力到最後你就要花很多在行銷上面也就是行銷力這樣
[41:10] 然後像這個建材呢
[41:15] 建材你可能沒有辦法直接在網路上直接做銷售
[41:20] 所以你可能有一些方法是找到一些建築師然後或者是設計師跟你就配合
[41:28] 然後所以這個時候呢你在網路上的提案可能就不是直接銷售
[41:34] 你可能就要透過你的提案來找到這些人來跟你合作
[41:39] 然後所以在從這些角度去思考這樣
[41:45] 然後教練課的話呢
[41:48] 像我剛剛有講到我們剛才在雲端系列加速期他們就就做了一個科技健身
[41:54] 然後為什麼他們就可以健身因為市場上有很多教練
[42:00] 當然教練可能我們也可以當然這個主持人
[42:05] 你也可以找到你自己的差異化賣點
[42:08] 我們當時那間公司呢我的老師他們這間公司
[42:13] 他們就是在國外找到了一個衣服他穿在你的身上之後
[42:20] 通過這個電流的刺激啊你的這個肌肉沒有辦法出力
[42:25] 然後所以你在鍛鍊的時候要穿這一個電流的衣服
[42:31] 然後透過這樣他找到他的差異化賣點這樣
[42:35] 然後知識的部分也是你可以去思考一下
[42:38] 就是說那我提供知識跟市場上
[42:41] 其他提供知識的人有說不一樣這樣
[42:51] 然後所以這些呢其實都是
[42:53] 向內來尋找差異化賣點的方法這樣
[42:59] 然後我做的方法第一個就是先去Google找
[43:02] 然後找到我所謂看有哪些部分
[43:05] 第一個大家可以把他寫下來
[43:07] 就是有誰在打廣告
[43:09] 因為有打廣告這些人呢代表
[43:12] 你可以花了幾廣告費
[43:14] 代表他維修應該是超過廣告費
[43:18] 不然他廣告就不會繼續打了
[43:20] 那所以這些人呢他有可能是你的競爭對手
[43:24] 然後第二個呢就是排名排在前面這些
[43:29] 然後這些呢如果他是網站
[43:31] 就會點到網站裡面去看
[43:33] 然後並且把他的網站的網址
[43:36] 複製貼上在SIMMELO Web裡面
[43:39] 然後去藉此去分析他的流量
[43:43] 他是從哪些地方來得到流量
[43:46] 那在這個部分呢大家有沒有問題
[43:50] 就是我如何去找到我自己的差異化部分
[43:54] 然後我跟大家分享一下
[43:56] 有一個找差異化的方法
[44:00] 就是我可以在品質上面做一些變化
[44:07] 或者是我在形狀上面做一些變化
[44:10] 我舉例像一開始彈捲
[44:14] 彈捲是裡面的空心的嘛
[44:18] 但是後來呢有一間公司叫做海邊走走
[44:24] 大家可以可以搜尋看看
[44:32] 然後這間公司呢他就把這個彈捲裡面填線
[44:37] 然後他就做出另外一種差異化
[44:39] 這種就是我在職上面的變化
[44:44] 然後後來呢有一個
[44:52] 有另外一間公司我現在有點忘記
[44:55] 他叫做八捲彈捲
[44:56] 就是他把彈捲做成八字形的
[45:00] 然後所以如果你現在去Google
[45:02] 就是八字形彈捲
[45:04] 你就會發現你會找到這間公司
[45:07] 這間公司呢他也是破譯營手的
[45:09] 所以你看我只是形狀上面的變化
[45:12] 他就讓他找到差異化的
[45:14] 然後也可以做一些針對性的
[45:17] 針對性就是我針對某一些人
[45:19] 做某些事情
[45:21] 然後我可以說
[45:23] 我可以說我可以說
[45:25] 我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以說我可以
[45:55] 這個方法我們就是像內我們可以去找差異化賣
[46:00] 如果沒有大家沒有問題的話我們可以開始
[46:04] 第二個
[46:06] 第二個就是像外我們要找什麼呢
[46:10] 像外我們就是找
[46:13] 實事梗這樣這樣最近的
[46:15] 實事梗什麼有很多可能就是跟這個新冠肺炎有關
[46:20] 因為無論是我的廣告上面或者是我新銷上面
[46:25] 我是不是可以去朝這個方向這樣去思考這樣
[46:30] 然後在這邊舉一個例子
[46:32] 我當時呢在這個重物公司的時候
[46:36] 然後他是賣重物保健的食品
[46:40] 所以我們當時我們就
[46:42] 做了一個廣告叫做PPAP
[46:45] 因為那個時候PPAP是非常紅的
[46:49] 然後我們所以當時我們做了一個廣告就是
[46:52] AAPPAP就是A加B然後變成另外一個東西嘛對不對
[47:00] 然後所以我們當時就把它做成我有台選一個
[47:05] 皮膚不好的採權
[47:08] 然後所以當時他這個保健食品
[47:11] 吃了之後讓毛可以變更漂亮
[47:13] 然後皮膚變會變好的這樣
[47:15] 然後所以我們當時拍了一個廣告就是
[47:17] 哎我有採權然後我有這個產品
[47:19] 那個產品叫做福寶
[47:21] 然後就會就變成學美權這樣
[47:24] 然後我有吉娃娃
[47:27] 我有熱福寶
[47:28] 然後就會就變成這個學美權
[47:31] 然後最後就開始搞怪啊
[47:34] 我們到最後就是我有狗的
[47:36] 一直狗娃娃
[47:38] 然後到最後我有熱福寶
[47:40] 然後他到最後還是會變成學美權這樣
[47:43] 然後所以你在這邊的時候
[47:46] 你在設計你的產品的時候
[47:49] 或是我在行銷上面
[47:51] 我是不是可以找到一些十四的東西來搭配
[47:54] 然後這個就是我們在講
[47:57] 提升產品的業務的時候
[47:59] 向外我可以去找十四的給
[48:01] 然後第三個呢
[48:04] 水平我們可以找些什麼
[48:08] 大家思考一下
[48:10] 就是透過水平的這個方式
[48:14] 我們也可以提升我們的產品地
[48:17] 然後在這邊的水平的
[48:19] 大家可以寫下來就是賣認同
[48:21] 認同就是他有位要有這樣
[48:24] 然後所以你會發現有一些東西
[48:27] 因為他把它變成一種
[48:30] 像Apple好了
[48:32] 然後大家叫做國粉
[48:34] 像我自己有一台Mac
[48:36] 然後其實我自己對Apple
[48:38] 我不是太會用裡面的每一個功能
[48:42] 但是我覺得我帶的Mac之後
[48:45] 因為好像在咖啡廳
[48:47] 或者是做設計做行銷
[48:49] 很多人都帶Mac
[48:50] 對然後所以這個
[48:51] 我們也有辦法把我們的產品
[48:54] 在水平的部分
[48:55] 有取得某一些身份的人
[48:59] 他特別的認同
[49:01] 這個部分是大家可以去做思考
[49:03] 你的產品如何去達到這個認同感
[49:06] 然後舉一個例子
[49:08] 我們之前有賣一個緊整
[49:11] 就是登機的時候
[49:13] 大家會放在脖子這邊
[49:15] 然後我們當時進的這個產品
[49:19] 售價比較高
[49:21] 大概賣一千三百多這樣
[49:24] 那個時候我做了市場調查
[49:27] 市場調查去看的時候
[49:29] 而且市場上一般的緊整
[49:31] 大概賣六七百塊
[49:33] 然後所以你會發現
[49:35] 如果我們直接跟別人拼價格的話
[49:38] 可能是沒有辦法
[49:40] 所以後來我們就走
[49:42] 我們就想辦法去賣這個認同
[49:46] 然後所以後來我們去思考
[49:48] 會有哪一些人呢
[49:50] 他會用這麼貴的緊整
[49:52] 所以後來我們設定
[49:54] 我們的受眾是找
[49:56] 就是商務客的這個女性
[50:00] 剛好我老婆就是這種商務的女性
[50:03] 然後我就去問她
[50:05] 就是說像這樣一個緊整
[50:07] 你會花一千多塊來買嗎
[50:10] 她就會覺得還好
[50:12] 而且我那時候
[50:13] 我知道這個產品它是類似置的
[50:17] 而且它的資料是一般來的好這樣
[50:21] 然後所以後來我們主打的方向
[50:25] 就是這些高端的這個商務客女性
[50:31] 打他們的認同
[50:32] 他們認同是怎麼認同呢
[50:34] 像這些高端的商務客女性
[50:36] 她如果要出國的時候
[50:38] 你還大包小包的
[50:40] 她就會感覺她很不專業
[50:43] 然後如果你帶了一個像有一些緊整
[50:47] 她沒有辦法收起來
[50:49] 然後所以有一些人會掛在這個箱子上
[50:53] 然後去登機看起來不好看
[50:56] 然後所以我們這個緊整的
[50:57] 她是可以充氣
[50:58] 然後把它去卸掉
[51:00] 卸掉之後你可以放在包包裡面
[51:03] 然後你把它充氣充起來之後呢
[51:07] 你在飛機上手
[51:09] 她在前面還可以拉下來
[51:11] 她可以蓋住你的臉
[51:13] 然後當你在睡覺的時候
[51:15] 這個樣子不會被人家看到
[51:17] 然後所以我們就用這樣子的角度去設定
[51:21] 然後做這樣的素材出來
[51:23] 然後所以到後來呢
[51:25] 這個產品就可以在1300多塊把它卸掉
[51:27] 因為這些人呢
[51:29] 她認同了我是一個商務客女性
[51:32] 我應該要這樣深圳
[51:34] 我出國的時候不會喜歡這樣大包小包的事情
[51:38] 所以這樣就順利把它卸掉
[51:40] 然後所以呢你的產品
[51:42] 有沒有辦法去找到類似這樣子的認同感
[51:47] 她這樣也可以去提升我們的產品力
[51:50] 這樣
[51:51] 好那在這邊大家有沒有問題
[51:56] 如果沒有問題的話呢
[51:58] 我們就接下來看看
[52:02] 我們就接下來講囉
[52:04] 然後像我剛剛提的這個案例啊
[52:06] 就是海邊走走跟發自行彈捲這個部分
[52:09] 大家如果有空可以去
[52:11] 不夠看看
[52:14] 然後我之前也有遇到有另外一個例子
[52:17] 就是說如何去針對某一些人
[52:20] 給他特別的優惠
[52:22] 這樣變成一個差異的話這樣
[52:25] 我舉例來講
[52:27] 在這個大家有沒有聽過熱寧漢堡這樣
[52:34] 熱寧漢堡呢你會發現
[52:36] 就是
[52:37] 它的slok就是來熱寧漢堡穿短
[52:42] 然後所以你穿短褲的人
[52:44] 去他會有特別優惠
[52:46] 然後所以
[52:48] 當我去思考到
[52:50] 我去Google短褲漢堡的時候
[52:53] 因為他就你就會自然的人找到的熱寧漢堡
[52:57] 然後這種呢就是透過
[52:59] 客定的一種人
[53:01] 來創造出的差異化賣點
[53:05] 好那既然大家這邊沒有
[53:07] 太多問題的話呢
[53:09] 就繼續往下講了
[53:13] 因為我們剛剛前面有講到
[53:16] 很頻率嘛
[53:18] 第二個呢就是品牌力
[53:20] 那到底什麼是品牌力呢
[53:24] 對然後在這邊
[53:27] 讓大家稍微想一下
[53:29] 當客戶怎樣的時候
[53:31] 他開始會有這個品牌效應這樣
[53:35] 有沒有朋友想要嘗試回答看看
[53:39] 因為有很多朋友可能認為
[53:42] 我的
[53:43] 他名字有品牌了
[53:45] 但是事實上沒有
[53:47] 我當時創業的時候
[53:49] 我犯了一個錯誤這樣
[53:51] 就是我一開始
[53:52] 我就想要打這個品牌
[53:56] 然後所以呢
[54:00] 客戶
[54:01] 如果不認同你這個品牌的時候
[54:05] 他就代表他沒有品牌力
[54:07] 好那
[54:12] 有朋友寫就是說
[54:15] 當客戶會抱怨的時候
[54:17] 他就有品牌力
[54:19] 這都有可能是對答案這樣好
[54:21] 但是我這邊給大家的答案是
[54:23] 就是當客戶會開始期待
[54:26] 你有新產品上次的時候
[54:28] 你就品牌效應
[54:30] 為什麼因為客戶
[54:32] 他一定是
[54:33] 後過了某些東西認識你
[54:36] 然後認識你的時候
[54:38] 他在每一次接觸的時候
[54:40] 他會堆疊他在心中的效應
[54:43] 他會堆疊他在心中對你品牌的印象
[54:47] 有一些客戶
[54:49] 我舉一個例子
[54:51] 我們當時在做這個重物保健食品的時候
[54:54] 有一些朋友他會買了我們產品之後
[54:57] 打電話回來罵
[54:59] 罵沒有效
[55:01] 這個時候是不是客戶
[55:03] 也是在跟你就接觸
[55:05] 也是
[55:07] 然後這個時候我們會有
[55:09] 很厲害的這個符合人員
[55:11] 然後跟他
[55:13] 會嫌貨的才是買貨人
[55:16] 所以當他跟你接觸
[55:18] 他好處理他
[55:20] 這些客戶到最後是買了更多回去
[55:23] 所以你每一次接觸客戶的時候
[55:26] 他都是你堆疊品牌的
[55:30] 一個實際這樣
[55:32] 所以當客戶開始期待你有新的產品的時候
[55:35] 你這時候就開始就品牌效益
[55:38] 然後我剛剛有講到
[55:40] 我一開始我在創業的時候
[55:43] 我犯了一個錯誤
[55:44] 就是我一開始就想要做我要打品牌
[55:47] 然後那個時候我花了很多錢
[55:50] 設計的
[55:52] logo 設計職額
[55:54] 就會發現
[55:56] 因為我做蛋糕
