[00:00] 你一下
[31:25] 底子打好就足以做行銷的
[31:27] 其實不用那麼的複雜
[31:29] 就可以把行銷做好了
[31:31] 那這個
[31:33] 講自動化的流程
[31:35] 這樣
[31:37] 然後這邊講的是那個簡單
[31:39] 假博士跟老子
[31:41] 講的都是他大到自簡
[31:43] 他就寫四個字就這樣玩了
[31:45] 簡單比複雜更難
[31:47] 就是
[31:49] 所以結論上像那個
[31:51] 我覺得蘋果是最簡單的
[31:53] 講蘋果或是講
[31:55] 湯健雜是很簡單
[31:57] 他的變現要很簡單
[31:59] 所以
[32:01] 所有事情都要讓他越簡單越好
[32:03] 就會讓人
[32:05] 可以做
[32:07] 讓人越簡單
[32:09] 就是他比較容易被
[32:11] 複製跟馬上付費
[32:13] 太多選擇人家就會
[32:15] 不OK
[32:17] 之前有個例子我覺得很好
[32:19] 他講說他發現果醬25個
[32:21] 結果變成3個到6個果醬
[32:23] 人家會買3個果醬
[32:25] 業績增加了
[32:27] 之前我們在上行銷課的時候
[32:29] 有一個人
[32:31] 他在付費的時候他把會員
[32:33] 放進去
[32:35] 光這件事情
[32:37] 那個行銷顧問只做了一件事
[32:39] 就是把他把會員拿掉
[32:41] 就是他付費就好好去付費
[32:43] 業績就可以增加30%了
[32:45] 就這麼簡單
[32:47] 很多事情他本身是簡單的
[32:49] 你不要讓他複雜的話
[32:51] 就是產生業績了
[32:53] 你可以等
[32:55] 你可以先等他付費完之後
[32:57] 再私底下給一個email
[32:59] 再跟他講家路會有什麼好處
[33:01] 不是在那個付費的時候
[33:03] 給他那麼多複雜的東西
[33:05] 他就卡住了
[33:07] 有些老人家他就在那邊就卡住了
[33:09] 光那個
[33:11] 後面他就全卡了
[33:13] 所以就是這麼簡單
[33:15] 所以就是要講說
[33:17] 我們
[33:19] 就是這邊就大概講到這裡
[33:21] 然後我這邊可能可以
[33:23] 用這個來做舉例
[33:25] 我在思考有沒有舉例
[33:27] 我覺得我這個
[33:29] 很經典的我的自己做的案例
[33:31] 他沒有花費用廣告費
[33:33] 要創造20萬個處集跟2000多個留言
[33:35] 就是我講的
[33:37] 所謂的你剛剛那九個元素
[33:39] 就可以創造一個
[33:41] 地方業績增加3倍了
[33:43] 所以不用很複雜就行了那時候
[33:45] 那個也沒什麼就這麼簡單
[33:47] 這麼簡單
[33:49] 然後我就是把他做的
[33:51] 他原本做的地方呢
[33:53] 有強調龍蝦
[33:55] 強調一堆有的沒有的
[33:57] 我就把他急減化簡單
[33:59] 就好了
[34:01] 然後呢在夏天用白色系
[34:03] 就是盡量量
[34:05] 就是比較清爽的色系
[34:07] 然後呢他就很簡單
[34:09] 只要他原本是用Google評論
[34:11] 把它改成
[34:13] 他在FB上留言
[34:15] 所以呢他就2000多個留言
[34:17] 就因為這樣喔就是一個這麼小
[34:19] 這麼小一篇文
[34:21] 我這個小編很好轉
[34:23] 一個型要過就只做了一篇文
[34:25] 他就增加180萬的營業額
[34:27] 這家公司就就是
[34:29] 他的來客出售從52變192人
[34:31] 然後從營業額從63萬變252萬
[34:33] 就這麼簡單
[34:35] 就這麼簡單沒有很複雜
[34:37] 但這過程中要做市場分析
[34:39] 要去分析他在那個區域
[34:41] 那個區域
[34:43] 他的市場定位
[34:45] 他的那家店呢
[34:47] 離那個林口長庚有點距離
[34:49] 我也想林口長庚開店
[34:51] 我是不小心吃一吃飯
[34:53] 變成接到這個顧問的
[34:55] 所以就是他吃飯
[34:57] 他離那邊10分鐘
[34:59] 所以他不可能打醫生市場了
[35:01] 醫生也沒那麼有空給你吃
[35:03] 所以他要走高貴路線不扣零
[35:05] 他的定位就沒辦法
[35:07] 你要做他的裝潢也沒有辦法
[35:09] 然後他要打龍蝦
[35:11] 他原本的色系是一定要紅色跟黑色
[35:13] 他的Logo
[35:15] 很厚重然後紅色跟黑色
[35:17] 我就全部把它改掉
[35:19] 你色系就是白色染色
[35:21] 我就給他DN
[35:23] 看起來也不怎麼樣
[35:25] 他就做起來了
[35:27] 只是把它改了他的市場區域
[35:29] 他不應該去打那些
[35:31] 很忙碌的醫生
[35:33] 因為我在那個林口長庚待過
[35:35] 醫生跟護理師業績都太好
[35:37] 沒有空來這邊吃
[35:39] 所以你要打媽媽
[35:41] 你就要打得簡單講是一批紙
[35:43] 不用打高端
[35:45] 因為你那時候打不了
[35:47] 舉例子就講
[35:49] 因為那個品牌是比較新的
[35:51] 然後他
[35:53] 他用這個然後再加
[35:55] 現在萊克素這張客單
[35:57] 這樣他之後就加了很多料理
[35:59] 那我他
[36:01] 因為很多巴巴節或者是
[36:03] 他們來的時候就會去
[36:05] 他們來因為這個萊克素
[36:07] 他們因為
[36:09] 有時候帶朋友來就覺得
[36:11] 請吃好的他就從
[36:13] 特蘭就被拉高
[36:15] 他可以用很多高級的果
[36:17] 所以他只是把他的定位
[36:19] 做細分切分就可以做起來了
[36:21] 就這麼簡單
[36:23] 這是行銷課程
[36:25] 例如說
[36:27] 就講他的這個就是食肝
[36:29] 因為那時候
[36:31] 我最大的痛苦
[36:33] 我那時候最大的痛苦來源
[36:35] 我那時候我要
[36:37] 這個
[36:39] 疫情一來我要上現場課全不停辦
[36:41] 我就說那我自己開個線上
[36:43] 解決我的問題跟解決別人的問題
[36:45] 所以就變成
[36:47] 台灣第一個
[36:49] 開線上課程的
[36:51] 那時候都在講說什麼線下有溫度
[36:53] 不好意思就不能開
[36:55] 所以我就用這麼簡單的方式
[36:57] 也沒有花多少錢
[36:59] 沒有花多少預算
[37:01] 一塊錢都沒有花我就破了一篇文
[37:03] 就很多人了
[37:05] 所以他就是實施就這麼簡單
[37:07] 那像這是
[37:09] 我的客戶推薦文
[37:11] 他全部講的需求點
[37:13] 就前面他客戶的推薦文
[37:15] 這一篇文
[37:17] 就是在講我以前做
[37:19] 教室的時候
[37:21] 我故意起他們穿紅色的
[37:23] 因為那個時候是比較紅色跟黑色
[37:25] 是在心理學上
[37:27] 就是人們會注意的顏色
[37:29] 然後呢他裡面講的就是
[37:31] 身材這件事情就是
[37:33] 馬斯洛金字塔往下面的
[37:35] 跟年紀的焦慮
[37:37] 所以他的留言也是200多個
[37:39] 然後這個是
[37:41] 這個就是講
[37:43] 非常的簡單
[37:45] 沒有基礎我打的是
[37:47] 簡單的腦邏輯
[37:49] 就是要簡單
[37:51] 不要很複雜
[37:53] 然後呢
[37:55] 就是所以我打的
[37:57] 這一場我打的是簡單
[37:59] 就是說
[38:01] 2月多
[38:03] 過完年人們就是會有一個
[38:05] 新年新希望我要做運動
[38:07] 但是我會害怕
[38:09] 我害怕好難
[38:11] 所以我就故意請他打簡單
[38:13] 這樣子就所有東西被簡化
[38:15] 成最簡單
[38:17] 然後這個動作呢讓人家覺得也簡單
[38:19] 然後大家有偷偷發現
[38:21] 在2月15號這時候是冬天
[38:23] 我會帶紅色就是暖色洗
[38:25] 我是故意放的
[38:27] 暖色洗的人
[38:29] 然後就這麼
[38:31] 有300多個留言
[38:33] 所以我過年後大家不是說
[38:35] 說這個元宵前期
[38:37] 沒有業績嗎
[38:39] 因為人
[38:41] 就是他們
[38:43] 新年新希望他們想趕快
[38:45] 減肥或是想要趕快開始運動
[38:47] 所以就是用這個
[38:49] 其實就是用這麼簡單的元素
[38:51] 堆疊而已他們有很複雜的元素
[38:53] 就可以做
[38:55] 當然我們還是要講一下
[38:57] 這裡面這幾個內容
[38:59] 可能要丟進去一下
[39:01] 這個跟這個
[39:03] 就講定位定位可能要把這個
[39:05] 塞進去
[39:07] 這裡面稍微要
[39:09] 那我們定位的時候就有講說
[39:11] 怎麼講到你的黃金定位
[39:13] 這個就是最好的縫隙
[39:15] 我們課程會教
[39:17] 這個在定位那個地方再查進去
[39:19] 就是
[39:21] 他要做到高興任高單
[39:23] 你要去看要去找高需求
[39:25] 低競爭的地方你就有個黃金縫
[39:27] 縫隙舉例子說
[39:29] 我做行銷這件事情
[39:31] 他是
[39:33] 高需求高競爭他就很紅海
[39:35] 那些事實太
[39:37] 太多了太多人做行銷了
[39:39] 多到不行啊
[39:41] 不是不能做所以我這邊就是紅海的切一刀
[39:43] 我就變成
[39:45] 生新健康產業的
[39:47] 這個行銷
[39:49] 我就專做這一塊那就是切這一刀
[39:51] 就是所謂的紅海再切一刀
[39:53] 那低
[39:55] 需求低競爭這個就是
[39:57] 現在沒市場不代表未來沒有舉例
[39:59] 啊
[40:01] 像AI這邊就是黃金縫隙
[40:03] 我們就講一下AI因為AI這邊
[40:05] 真正的就是
[40:07] 交AI交的每一個
[40:09] 他還很新所以他的
[40:11] 高需求但是他競爭比較低
[40:13] 因為真正可以把它做好不割球
[40:15] 在那邊找的
[40:17] 我都鼓勵大家去做
[40:19] 然後我們自己也為什麼要把AI的
[40:21] 題目放進來就是因為
[40:23] 這叫高需求低競爭
[40:25] 所以我為什麼課程要有AI
[40:27] 這是生產
[40:29] 就是我的課程的命題要有AI
[40:31] 就是因為這個是黃金縫隙的地方
[40:33] 嗯
[40:35] 那低需求低競爭呢例如說
[40:37] 呃有些有些題目啊
[40:39] 現在真的是
[40:41] 哎呀真的是不容易啊
[40:43] 像那個
[40:45] 呃這個我在想一下怎麼舉例
[40:47] 我忘記他的原本的舉例了
[40:49] 那低需求低競爭就是
[40:51] 做什麼都沒有用了
[40:53] 你現在去做運動產業啊
[40:55] 去拼瑜伽課拼看看
[40:57] 這時候真的是太可怕了
[40:59] 這個瑜伽課已經超級價格戰
[41:01] 所以
[41:03] 這個時候瑜伽不能只做瑜伽了
[41:05] 那就是要把它變成
[41:07] 呃
[41:09] 他是高競爭啊然後給高需求
[41:11] 說錯了那真正就要講一個比較
[41:13] 這兩個範例出來
[41:15] 我忘記他的範例了
[41:17] 所以你要先知道你在哪裡
[41:19] 你在哪裡你就決定做哪個定位
[41:23] 然後呢因為今天課程時間
[41:25] 有限齁我們會跟大家講
[41:27] 所有的東西呢都會
[41:29] 給你範例例如說
[41:31] 呃我們講定位就有定位建議
[41:33] 塞到
[41:35] 嗯 ok
[41:37] 那定位呢好我們
[41:39] 來看這個
[41:41] 我就會講說我們這幾堂課
[41:43] 怎麼說設計的呢
[41:45] 我們前面不是剛開始講產品嗎
[41:47] 我們要打造什麼一個好的產品
[41:49] 我們會有最基礎的
[41:51] 真的是理論基礎但是我會講的
[41:53] 很好笑很有趣的齁不會只是
[41:55] 就是剛那個金桃一樣就是非常有趣齁
[41:57] 所以就是就是會
[41:59] 我會把事情講得很有趣但是
[42:01] 你要用回到最基礎的理論
[42:03] 你的產品怎麼打造一個
[42:05] 報品啊報告你自己
[42:07] 如果你沒有要賣產品就打造
[42:09] 你自己那你要怎麼找你的定位呢
[42:11] 你要怎麼找你的定位呢
[42:13] 這邊有客觀的工具
[42:15] 可以去找到你的獨特的定位
[42:17] 那定位有這些方式
[42:19] 那我前面不是有講嘛信任
[42:21] 有三個來源齁這前後是一致的
[42:23] 信任就是自己信任自己嘛
[42:25] 第二個就是別人說你好
[42:27] 第三個是客觀數據
[42:29] 這也是一個
[42:31] 同樣的邏輯就是你用這邊
[42:33] 去找到你的
[42:35] 用數據去找到就是
[42:37] 我認為所有的新作算命
[42:39] 它就是一種大數據
[42:41] 那或者是一種可信的
[42:43] 第三方認證嘛
[42:45] 所以你們可以用這個去找到
[42:47] 你自己然後呢
[42:49] 如果透過自傳就是講到自己嘛
[42:51] 自己我前面不是講到
[42:53] 你信任來自於自己那自己就
[42:55] 有時候你找不到
[42:57] 你從這邊找不到
[42:59] 你就是所有給AI所有的數據
[43:01] 去找齁那
[43:03] 這邊就要秀那個那個
[43:05] 字個圈圈那個圖
[43:07] 就是什麼三個圈圈那個圖
[43:09] 對還有意義
[43:11] 然後都在講
[43:13] 那個叫EchiGai啦
[43:15] EchiGai
[43:17] EchiGai
[43:19] 就會講一下從這邊去
[43:21] 講一下這個一般
[43:23] 可以用這個方式從內去
[43:25] 尋找從外去尋找
[43:27] 其實產品就是由那跟內找跟外找
[43:29] 那第三個就是
[43:31] 透過他人
[43:33] 你可能透過別人看到你的
[43:35] 所有的人生歷程之後
[43:37] 你會給你一些想法
[43:39] 這叫事產反饋嘛那我們現在就是
[43:41] 可以透過彼此的學員去
[43:43] 找到彼此的優點
[43:45] 那流量的話就講到
[43:47] 這邊就會講到現在
[43:49] 最流行的是脆
[43:51] 賴會較一點點
[43:53] 那FB會較
[43:55] 這三個是有點不一樣的
[43:57] 那三個都會講然後脆的有
[43:59] 常用的文案這邊就要接那個
[44:01] 這邊的那個
[44:03] 常用的文案
[44:05] 類別就可以放在這裡
[44:07] 那FB又常用文案的類別
[44:09] FB就是我之前給你的那個
[44:11] 那個圖裡面就是講FB的
[44:13] 那個就講做長文
[44:15] 然後脆的就是司峰製作短文
[44:17] 他們在這裡
[44:19] 所以你外面學的東西
[44:21] 這邊幾乎都會把它難刮進來
[44:23] 然後我們只挑重點
[44:25] 就是這樣
[44:27] 然後這邊還會講到的是
[44:29] 講到那個流量
[44:31] 講到那個短音好了
[44:33] 短音的話它會有那個
[44:35] 十幾個
[44:37] 這邊就要把
[44:39] 這邊我就要把這個推上去了
[44:41] 就是不是有講一個
[44:43] 裡面那個
[44:45] 元素裡面有講到那個流量的地方
[44:47] 就是
[44:49] 裡面有講到傳播有
[44:51] 正確的管道
[44:53] 就是這個這三個貼上去之後
[44:55] 就是把
[44:57] 我講的那個課就是把這個目錄
[44:59] 全部講完這個所有的
[45:01] 這個九大點有講完
[45:03] 等一下再把它改一下
[45:05] 這邊就會講到天王
[45:07] 天王的話就是自媒體
[45:09] 排設題材跟排設步驟
[45:11] 所以每一個地方
[45:13] 它不是只有大綱還會給你細節
[45:15] 就是把市場上所有的這個
[45:17] 都copy進來了
[45:19] 這樣子
[45:21] 然後呢我前面不是有講
[45:23] 複製模式嗎
[45:25] 複製模式這邊
[45:27] 我前面不是有講複製的
[45:29] 三個大元素就是
[45:31] 複製選題複製框架
[45:33] 複製哪些選題複製哪些框架
[45:35] 我們就會把它講完
[45:37] 複製要複製框架
[45:39] 跟選題在複製邏輯
[45:41] 要複製你的框架
[45:43] 跟選題跟你的模式都要copy
[45:45] 那我就用兩堂課
[45:47] 來把這個模式跟選題全部講得很清楚
[45:49] 包括
[45:51] 它的這個商業模式
[45:53] 怎麼叫copy怎麼超人家的模式
[45:55] 因為你自己創造也是挺辛苦
[45:57] 然後呢
[45:59] 我這邊的話就會從
[46:01] 這個
[46:03] 跟這個去
[46:05] 引導到他們成為我們代理商
[46:07] 因為這有商業模式
[46:09] 我就會直接拆解我的商業模式
[46:11] 所以我的企劃除在這邊是可以來用一遍
[46:13] 那如何選
[46:15] 就是那全部講完之後
[46:17] 那趙瑜怎麼選
[46:19] 怎麼選對這個好的產品
[46:21] 然後怎麼樣去
[46:23] 這邊會講
[46:25] 然後呢這邊有
[46:27] 一對一銷售跟一對多銷售的一些基本的課程
[46:31] 然後最後就
[46:33] 就秀這個所有的目錄
[46:35] 然後最後呢我們有一些要現場交
[46:37] 會比較效果比較好的
[46:39] 跟最後要給錢嘛
[46:41] 所以最後你們全部完工課要給錢
[46:43] 所以就會來到這裡
[46:45] 那這邊我們會送你們大家測量一個
[46:47] 我們會送那個測量數據給你
[46:49] 所以就是我們所有的課程
[46:51] 所有的要素就是全部把它細講
[46:53] 把它講完
[46:55] 這樣子所以大家就有個
[46:57] 不管說行銷100分
[46:59] 但至少60分
[47:01] 等級上是有的
[47:03] 至少基礎的60分就有了
[47:05] 那你就可以用這樣子的方式呢
[47:07] 來做這個
[47:09] 把初階上完
[47:11] 然後讓自己產生你的行銷跟流量
[47:13] 所以呢現在就開放大家
[47:15] 問問題
[47:17] 問問題完之後就
[47:19] 那就是說這個收費方式呢
[47:21] 收費方式是3000
[47:23] 然後退你3000嘛
[47:25] 你自己決定
[47:27] 那外面我這會把前面賣點再講一遍
[47:29] 就是這邊可以學到的東西是哪些
[47:31] 大概就結束了
[47:33] 嗯
[47:35] 大概這樣
[47:37] 那你看哪裡要調整
[47:39] 我們再看中間
[47:41] 就講這些就是它的賣點
[47:43] 嗯
[47:45] 那這邊就講這個
[47:47] 嗯
[47:49] 嗯
[47:51] 就講完了
[47:53] 我們講多久了
[47:55] 我們過了
[47:57] 多久了
[47:59] 一個多小時吧
[48:01] 嗯
[48:03] 差不多應該是講完兩個小時
[48:05] 嗯
[48:07] 案例還沒有
[48:09] 那個
[48:11] 案例跟對啊
[48:13] 就可以啦就
[48:15] 就是
[48:17] 對啊
[48:19] 那我自己講愛的那一段
[48:21] 我是很風險的
[48:23] 是我今天早上冥想的時候
[48:25] 我的高我講的這些
[48:27] 但是我不知道確定了不能哪用
[48:29] 就不敢不敢哪用
[48:31] 我原來說這個是
[48:33] 原本沒有寫的
[48:35] 昨天就是今天早上那個
[48:37] 才有感覺的
[48:39] 嗯
[48:41] 我講他們應該會覺得聽你懂的話
[48:43] 我想要把真善跟愛的
[48:45] 這三個元素融在行銷課程裡面
[48:47] 你看那個
[48:49] 那個真真誠這兩個字
[48:51] 我把它放進去這樣
[48:53] 我把放進那九大元素裡面
[48:55] 我就是故意用這個在裡面
[48:57] 去把文化慢慢的置入進去這樣
[48:59] 嗯
[49:01] 這樣以後來的人
[49:03] 應該就會比較好了
[49:05] 嗯
[49:07] 好大概這樣
[49:09] 我空手啊
[49:11] 現在是AI會幫我分析嗎
[49:19] 就
[49:21] 嗯
[49:23] 剛剛過程都有回饋啦
[49:25] 哦那就這樣
[49:27] 是那個什麼
[49:29] 可能要比較符合一般人的案例吧
[49:31] 哎
[49:33] 他給我的案例真的都不太不太不太那個
[49:35] 就是可以廣泛一點啦
[49:37] 對
[49:39] 嗯
[49:41] 確實不管
[49:43] 應該說就是
[49:45] 可以多多準備一點
[49:47] 嗯
[49:49] 嗯
[49:51] 因為每次聽的人不一樣吧
[49:53] 什麼點什麼點會有連結
[49:55] 什麼點會有連結你不確定
[49:57] 所以準備多是好的
[49:59] 這種具體的東西
[50:01] 嗯
[50:03] 對
[50:05] 好D哦
[50:07] 這個表格是可以copy給你的嗎
[50:09] 還是沒有辦法
[50:11] 啊你已經
[50:13] 都是已經傳給我了嗎
[50:15] 就訊息版
[50:17] 反正已經做
[50:19] 反正已經做成那個新製圖了
[50:21] 嗯
[50:23] 你已經做好了
[50:25] 新製圖啊那個
[50:27] 很快啊
[50:29] 換我分享
[50:31] 哦
[50:33] 哦那個
[50:35] 長這樣
[50:37] 長這樣
[50:39] 我們現在在哪裡
[50:41] 看到嗎
[50:43] 長這樣
[50:45] 長這樣
[50:47] 有
[50:49] 嗯
[50:51] 哎還幫我做那個
[50:53] 可以動的
[50:55] 啊
[50:57] 哎還幫我做
[50:59] 可以變化的
[51:01] 你可以玩
[51:03] 可以放大縮小
[51:05] 然後這裡面的東西
[51:07] 如果你要改可以直接改
[51:09] 這個可以幹嘛
[51:11] 哦這個這個旁邊不能改
[51:13] 我在想啊
[51:15] 我已經很白癡的想法
[51:17] 就是這個三角形裡面就是愛
[51:19] 我覺得好像很悲劇
[51:21] 好像又怪怪的
[51:23] 產品跟系統可以產生
[51:25] 三角形裡面就是愛
[51:27] 可以啊其實我剛剛在聽的時候就覺得
[51:29] 就是你這
[51:31] 你這時候的愛課程
[51:33] 你可以
[51:35] 這根本就是戀愛課程嗎
[51:37] 對啊產品就自己
[51:39] 不是啊乾你真的是戀愛
[51:41] 自己然後不是
[51:43] 我只是想到
[51:45] 啊就
[51:47] 就產品啊對啊然後流量就是怎麼認識
[51:49] 然後系統就是怎麼走長遠
[51:51] 之類的
[51:53] 其實他好通用哦他超通用
[51:55] 對啊超通用的啊
[51:57] 因為創造價值傳遞價值嘛對啊
[51:59] 這不就是那個人際交往之間
[52:01] 你是那個價值互相交換嗎
[52:03] 對啊
[52:05] 你要給無條件的愛
[52:07] 比較少啦不是說沒有
[52:09] 是說我們
[52:11] 無條件的
[52:13] 無違吧我們還是
[52:15] 我們還是活在三維世界還是會有
[52:17] 那個對
[52:19] 還是會有那個三維的條件
[52:21] 反正反正大概就講這樣
[52:23] 這都可以改的
[52:25] 對這也可以改
[52:27] 愛長怎樣就長怎樣
[52:29] 這個小字不能編輯
[52:31] 我再叫AI修一下
[52:33] 都可以編輯
[52:35] 手機板就長這樣比較簡單
[52:37] 因為手機小嘛
[52:39] 對
[52:41] 那我覺得手機板可以再加一些
[52:43] 什麼加個流程之類的
[52:45] 什麼第一步
[52:47] 然後
[52:49] 拉個箭頭然後產品
[52:51] 然後再拉個箭頭流量這樣子
[52:53] 再拉個箭頭系統然後
[52:55] 導到成交或者是交往之類的
[52:59] 交往是你
[53:01] 交往是你自己想的你自己做的
[53:03] 戀愛課程好了
[53:05] 就是改一下就變戀愛課程啦
[53:07] 我還蠻有資格的
[53:09] 對
[53:11] 可以去拯救那個
[53:13] 善男姓名的是吧
[53:15] 對啊
[53:17] 通用的模塊
[53:19] 超通用的
[53:21] 對啊
[53:23] 對新日圖就長這樣
[53:27] 應該沒
[53:29] 面試工作也是一樣的模塊
[53:31] 對啊
[53:33] 全世界都在做行銷啦
[53:35] 應該說
[53:37] 行銷是本來是通用於任何模塊
[53:39] 行銷你在自我介紹
[53:41] 也是一種
[53:43] 行銷啊
[53:47] 對啊
[53:49] 創造價值傳立價值
[53:51] 天天都在做
[53:53] 對啊
[53:55] 你也可以講這個
[53:57] 這個也很好啊
[53:59] 對
[54:01] 放出四海接通用
[54:03] 好棒
[54:05] 好好用
[54:07] 反正是系統最難
[54:09] 就是
[54:11] 怎麼樣把這些碎片化的東西整理在一起
[54:13] 對
[54:15] 對啊
[54:17] 好啊那你知道
[54:19] 那要做什麼
[54:21] 我把東西文字丟給你
[54:23] 你看怎麼修
[54:25] 我是覺得
[54:27] 反正他提供的案例
[54:29] 有些都不好用
[54:31] 沒關係
[54:33] 對
[54:35] 再收集就好
[54:37] 我只是在思考
[54:39] 我要把案例最後講
[54:41] 還是穿插的講
[54:43] 我剛才在想的就是
[54:45] 剛剛誰就講了
[54:47] 我覺得好像穿插講效果比較好
[54:49] 就是用這個
[54:51] 題來講就是這個事
[54:53] 會啊效果比較好
[54:55] 但是時間要抓
[54:57] 你不能以下太大包
[54:59] 大家會分心
[55:01] 一樣同一件事情
[55:03] 因為大企業對他們而言
[55:05] 都太遠了
[55:07] 沒有一個比較
[55:09] 他們小型工作室我就比較屬於
[55:11] 因為來的受重
[55:13] 不太會來大企業的
[55:15] 第一波一定沒有
[55:17] 所以應該要大企業要居立
[55:19] 但是也要居立一個比較跟他們有關連的東西
[55:21] 比較實際
[55:23] 所以你要準備不同版本
[55:25] 根據受重
[55:27] 這一場聽的人
[55:29] 你這個是線上還是線下
[55:31] 從沒問過
[55:33] 線上
[55:35] 線上
[55:37] 我線下去誰是哪裡講
[55:39] 沒地方
[55:41] 我就覺得
[55:43] 不會啦不會在那邊
[55:45] 那邊不會
[55:47] 我連親月都不想給他錢了
[55:49] 就覺得壓力太大了
[55:51] 線下就要等
[55:53] 之後辦公室找好再說吧
[55:55] 這種類似的
[55:57] 唉
[55:59] 好油
[56:01] 就這樣囉謝謝
[56:03] 你看整理怎麼樣我們下午的時候再說
[56:05] 應該你格式弄好了之後都只是
[56:07] 對啊
[56:09] 格式弄好了然後應該文字
[56:11] 我可以再微調啦
[56:13] 我先幫你的工作
[56:15] 環境重整一下我幫你把
[56:17] 電腦上的程式裝好
[56:19] 你就在電腦上用
[56:21] 就那麼奶飄
[56:23] 放在線上的
[56:25] 我先吃飯我爸叫我好多次
[56:27] 好
[56:29] 現在幫你弄工作
[56:31] 環境
[56:33] 我們下午約幾點
[56:35] 三點可以吧
[56:37] 好拜拜
[56:41] 拜拜
