[00:00] 你就會講我的獨特的優勢是什麼
[26:09] 對紅或白啦紅或白
[26:11] 因為我們
[26:12] 不金色啦
[26:13] 反正我們外的顏色是紅白金
[26:15] 這種紅白金其中一個
[26:17] 但是他也不像Apple啦
[26:19] 而且Apple怎麼是黃的
[26:21] 對我不知道他他色的
[26:23] 沒關係啦
[26:25] 都完全跟原本的不一樣
[26:27] 然後
[26:28] google應該是那個橘紅色那個懂懂啊
[26:32] 然後
[26:35] 然後那個
[26:40] 然後大概就這樣讓你理解整個大方向
[26:43] 長什麼樣子啊
[26:44] 比較大的大方向
[26:46] 然後我就可以用這個
[26:48] 來做這個
[26:50] 嗯
[26:52] 所以你就知道每一個頭影片
[26:53] 他要塞去哪裡的
[26:55] 那我希望看到的就是說
[26:57] 呃你
[27:03] 你有空的時候
[27:06] 你看你覺得你心思圖比較好塞進
[27:08] 還是把頭影片塞進來一個比較好
[27:10] 還是你都
[27:11] 抽過那個層次出來都好了
[27:12] 這樣也行
[27:14] 哦什麼意思塞塞到哪裡
[27:20] 你的
[27:23] 斷訊哦
[27:25] 然後我然後我現在在思考就是
[27:27] 斷訊我應該把頭影片
[27:28] 塞成好幾歲還是一歲從頭到尾
[27:30] 有我現在有
[27:32] 東西叫心智圖一個叫頭影片啊
[27:36] 好那那就是我們兩個要討論
[27:38] 就是說我應該要把
[27:41] 呃我們怎麼樣有效率的做出
[27:43] 要給陳老師看的東西
[27:46] 嗯
[27:49] 就哎哎做啊
[27:51] 嗯好繼續說
[27:54] 頭影片嗯我們要送頭影片
[27:56] 那
[27:57] 好你剛剛那個內容他是要
[28:00] 另外開這個地起堂課
[28:02] 然後變成頭影片的這個內容
[28:04] 還是你要先把它變成文字
[28:06] 然後文字變成
[28:07] 那個心智圖跟頭影片
[28:09] 然後把心智圖拉出來給他這樣子
[28:13] 還是你覺得頭影片就好
[28:15] 我
[28:18] 我我我繼續說你繼續說你現在
[28:21] 我繼續說你現在把四封的課
[28:24] 變成了一大堆文字跟心智圖跟頭影片
[28:27] 他可以變成三個東西出來嗎
[28:28] 對啊
[28:30] 那他
[28:31] 能不能把他心智圖往這邊接上來
[28:34] 可以嗎
[28:35] 哦
[28:38] 能不能接近你這個哦
[28:40] 就是我
[28:41] 呃可能
[28:44] 可能要手動合併哎
[28:46] 好
[28:47] 那我們現在比較有效率
[28:48] 是變頭影片這件事情是有效率的
[28:50] 對吧
[28:51] 對啊其實心智圖也是可以變出來
[28:54] 只是就是他就是
[28:55] 接上去接上去而已
[28:57] 對他會是一個獨立的答案要
[29:00] 呃你看你這邊可不可以會出
[29:02] 你應該可以會出圖片吧
[29:04] 就是你這邊做完之後
[29:06] 呃也不用手動併啦
[29:08] 你做完之後圖片給我
[29:10] 然後我一樣叫ai去
[29:12] 合併這兩個東西
[29:14] 應該可以用markdown的話
[29:15] 就是這邊出來應該是markdown的形式
[29:17] 哦你看他markdown又不要付費啊
[29:19] 如果要付費的話就
[29:20] png也可以
[29:23] 就單純的文字
[29:25] 因為我看不懂英文
[29:26] 其他一個
[29:27] 哦我看一下哦
[29:28] 我很明明
[29:30] 我看一下哦
[29:32] 會出
[29:34] 就是應該是這個吧
[29:35] export讓小爸
[29:37] 對對對對對
[29:38] 對啊你看得懂嗎
[29:41] 還說
[29:43] 沒有markdown是pro版
[29:46] 沒有markdown啊
[29:48] 有啊markdown是pro版啊
[29:50] 有啊
[29:51] 往上一點對那個是
[29:53] pro版所以你就png
[29:54] png就好了
[29:56] png可以啦
[29:57] png可以
[29:59] 不然就是這樣子
[30:00] 我們也不要把它複雜的話就是
[30:02] 因為陳老師也不會看那麼細的東西
[30:04] 就是你獨立一堂課做那個事情就好了
[30:07] 就是例如說第五堂課的心智圖給他看就好了
[30:09] 不要給他看那麼多
[30:11] 也可以這樣子的時間就更快一點
[30:14] 你要把接起來
[30:15] 就是我們先求
[30:16] 你那堂課獨立出來
[30:18] 就是完全在講吹的那個課程
[30:20] 完全獨立就好哦
[30:21] 因為那個什麼
[30:22] 適風很
[30:23] 很聚焦於萃嘛
[30:24] 他就把聚
[30:25] 就把脆的更衣生出來就好了
[30:27] 啊
[30:28] 對我就可以給他看
[30:30] 你看我有把脆的課程做出來哦這樣
[30:32] 嗯
[30:33] 他就是可能是在這堂課吧
[30:36] 有量
[30:37] 有這堂課
[30:39] 嗯
[30:40] 我就要教他
[30:43] 現在的狀況是
[30:46] 呃
[30:47] 現在狀況是這個這食堂課就是
[30:51] 你要教的行銷課
[30:53] 然後都在那個心智圖裡面
[30:56] 還沒有沒辦法做進去了
[30:59] 哦還沒做
[31:01] 那你這個痛片連結你有啊
[31:02] 就是食堂課而已啊
[31:04] 對啊
[31:05] 不是現在是你要給陳老師看的是什麼
[31:09] 就是跟他講我的頭髮片幹嘛
[31:13] 講你這個
[31:14] 那我以陳老師的性格就是
[31:16] 陳老師的性格一定要看這個
[31:18] 我太了解陳老師的個性
[31:20] 陳老師的個性就是前五分鐘要有重點
[31:22] 不然他聽不下去
[31:23] 他的個性就這樣子
[31:25] 那
[31:26] 他的個性就是非常的
[31:29] 指聽重點
[31:30] 嗯
[31:31] 就是我講的這個就是說
[31:32] 我就講說我的
[31:34] 這個課程的獨特優勢
[31:36] 這我會講這個
[31:37] 對
[31:39] 然後
[31:41] 我想獨特優勢跟對
[31:43] 什麼樣的人適合
[31:44] 為什麼我剛開始一開場就這樣講
[31:46] 因為陳老師喜歡
[31:48] 一開始就講重點
[31:50] 他喜歡這樣
[31:51] 不然他後面停不下去
[31:53] 哈哈
[31:56] 他習他的教育也是這樣
[31:58] 就前五分鐘重點就要講完
[32:01] 哦
[32:02] 後面都是延伸
[32:04] 對所以就是我就會去講
[32:09] 他的優勢先講完優勢
[32:11] 然後優勢往下往下聽了下去
[32:14] 這樣他可能也不會停下去
[32:15] 但是我要多做一點
[32:17] 他可能聽也不聽
[32:18] 這樣
[32:19] 他其實也很搞
[32:21] 我跟他的他的個性就這樣
[32:24] 他會說我讀完了
[32:25] 這樣我說啊哈哈哈哈
[32:26] 他說你的腦袋的東西我讀完了
[32:28] 這樣哦這樣
[32:30] 他連聽都不聽
[32:32] 但是我要準備的多啦
[32:33] 我習慣準備的多一點
[32:35] 嗯
[32:38] 嗯
[32:39] 我就會跟他講啊
[32:40] 我這個是很科學的行銷的
[32:43] 底層
[32:44] 我會教
[32:45] 但其實呢從頭到尾
[32:48] 最後整合出來
[32:49] 其實跟陳老師在教的東西是一樣的
[32:52] 嗯
[32:54] 例如說行銷的基礎定義就是這個嘛
[32:57] 創造溝通傳遞交換有價值的事物嘛
[33:00] 好
[33:01] 所以所以所以你要
[33:04] 你要準備很多東西給陳老師
[33:07] 對但是他最後會不會用
[33:09] 會不會看我不知道
[33:10] 這至少我以他的個性
[33:11] 他原本跟我約要約三個小時
[33:14] 要看這些東西跟企劃書
[33:16] 所以我估計我會想一個半小時
[33:19] 所以其實你也不曉得到底
[33:21] 被多少就對了
[33:22] 就是要有檢報
[33:23] 我是準備到全部準備完的意思啊
[33:25] 就是我現在
[33:26] 哦
[33:27] 對啊因為我不知道他要多少啊
[33:29] 我不知道啊
[33:31] 我就只能全部都弄好啊
[33:34] 所以又需要檢報
[33:35] 又要新製圖又要什麼什麼什麼
[33:37] 這樣
[33:37] 新製圖他應該不太會想要
[33:39] 太太需要通音片比較需要的
[33:42] 哦
[33:44] 通音片比較需要
[33:45] 因為他的眼睛不好
[33:46] 要看大一點的字
[33:48] 我用這個給他看的目的
[33:49] 只是跟你講說
[33:50] 我所有東西都有基礎邏輯哦
[33:52] 這樣
[33:53] 這樣我只要給他看
[33:54] 我所有東西都是基礎邏輯去
[33:57] 這個出來的
[33:58] 所以那每個人都可以學會這樣
[34:00] 就是有底層邏輯的這樣
[34:04] 就這樣
[34:05] 我給他看啊
[34:06] 但同時我自己也是打算
[34:08] 就是
[34:09] 我覺得這很屌啊
[34:10] 因為目前沒有一個行銷老師
[34:12] 可以做成這樣
[34:12] 我目前好像沒看過
[34:14] 我自己覺得很屌啊
[34:15] 就像你想要做個圖一樣
[34:17] 我會覺得這樣很屌
[34:18] 就是
[34:19] 當然可能這最後也可以變成一張圖
[34:24] 嗯
[34:24] 嗯
[34:25] 有可能
[34:26] 這樣
[34:30] 例如說這邊講定位的時候
[34:32] 這邊就會產生你的那個
[34:34] 很多的東西就是
[34:35] 很多的圓形變成了
[34:37] 這是怎麼樣去找定位的
[34:39] 123527820個步驟這樣子
[34:42] 嗯
[34:43] 對這也很屌
[34:45] 就是
[34:46] 好像沒有人可以把它整合起來
[34:48] 嗯
[34:49] 不對啊
[34:50] 你可以想像我們在做的事情很像哦
[34:52] 就是我有我基礎的東西
[34:54] 但是他們外面的課程就會
[34:56] 就說他是個拼圖
[34:57] 例如說
[34:57] 是封的
[34:59] 就是他就是
[35:00] 流量裡面的其中的脆額
[35:01] 有把一個拼圖拼進去
[35:03] 這樣
[35:03] 嗯
[35:04] 所以等於就是我們全部都教會
[35:06] 但是我們都只擷取各家的重點就好
[35:08] 那些不是重的就不用講
[35:10] 這樣
[35:10] 對
[35:11] 就像那個可能黃家新
[35:13] 他講一對一跟你講一
[35:14] 一對多很好啊
[35:16] 但是其實蠻多都是廢話的
[35:17] 就把它摘取到後面的重點就好
[35:21] 嗯
[35:22] 嗯大概是這樣接
[35:27] 然後這邊應該第二階段就是講一對一啦
[35:30] 一如何
[35:32] 如何一對多
[35:35] 然後如何一對一
[35:39] 對一銷售
[35:42] 好就是這個第
[35:43] 這是高階的課程
[35:44] 這個就這個就外面就賣很貴了
[35:46] 就怎麼樣公開的說明的課程
[35:50] 那我自己有包房家新的這個課
[35:53] 嗯
[35:54] 那這個課他收很貴
[35:56] 這樣
[35:57] 所以就是
[35:58] 就拿這個來抄他的
[36:00] 這個這是另外的
[36:01] 他也不會陳老師不會聽到這裡
[36:03] 他應該蠻難多聽這個
[36:06] 就反正就盡量做啦
[36:08] 我們就都盡量做能做多少算多少
[36:10] 像我最近要把黃家新的
[36:12] 因為黃家新的你不可能看
[36:13] 你也看不下去
[36:14] 所以我就我自己就
[36:15] 我是給你看得下去的東西而已
[36:18] 我已經很盡力了
[36:20] 給你的就是比較有乾貨的
[36:23] 嗯
[36:24] 那黃家新的我自己自己補就好了
[36:26] 或者是當然我也可以給你影片
[36:28] 然後你幫我擷取出來也可以
[36:31] 不然我聽的也是很痛苦
[36:33] 對啊你就雲端開給我就好了
[36:35] 是風是風老師那個也是啦
[36:38] 我從youtube抓居然抓不完整
[36:40] 也是很像哦真的嗎
[36:42] 對啊抓了一個多小時結果不完整
[36:44] 對這都前面幾分鐘而已
[36:47] 哦那我就直接給你影片就好了
[36:49] 我給你影片連結
[36:51] 對啊你那個
[36:52] 雲端連結給我就
[36:56] 嗯
[36:59] 嗯好我都找給你
[37:01] 這樣
[37:01] 這樣子我們就投影片就可以出來了
[37:03] 所以你理解我大概投影片的邏輯是什麼
[37:07] 大概的邏輯
[37:10] 就這食堂課吧
[37:12] 對啊就這食堂課的邏輯
[37:14] 但我這邊可能會
[37:17] 還會稍微調整啊
[37:19] 大概調整就好了
[37:20] 嗯
[37:21] 嗯
[37:25] 地堂課我已經寫完了不用再寫了
[37:27] 這有基礎理論我不要講幾百遍
[37:30] 嗯然後
[37:31] 定位的那個
[37:32] 就是要在眼神就好了
[37:35] 嗯
[37:36] 其實那個不需要就是
[37:39] 對啊就是我自傳我也寫好了啊
[37:40] 所以也不太需要
[37:42] 就是我到時候在真正在教的時候就會秀我的
[37:45] 秀我這怎麼樣給為ai這些文字的
[37:49] 這樣嗯
[37:51] 嗯
[37:54] 你這樣大概理解我可以要幹嘛嗎
[37:56] 然後你問你有什麼建議你可以說
[38:01] 大概大概
[38:07] 哇那就這樣啊
[38:08] 就是
[38:10] 因為因為我自己聽的時候
[38:12] 因為我自己聽的時候
[38:13] 我覺得你很容易會
[38:15] 進入細節
[38:17] 然後就講開始講
[38:18] 開始講內容了
[38:19] 可是如果你開始是介紹大綱的話
[38:21] 其實是不用開始講內容
[38:24] 對啊就比如說swatt就swatt
[38:27] 或是psd就psd
[38:29] 可以不用講p是什麼
[38:31] e是什麼這樣子
[38:33] 反正進入內容帶
[38:34] 睡覺
[38:37] 哦
[38:40] 你的意思說在說明會的時候不要不要做這些嗎
[38:44] 就是我自己聽的感覺啦
[38:47] 你剛剛是說明會的版本嗎
[38:50] 沒有剛剛前面剛開始是
[38:52] 後面就不是了
[38:54] 後面就是只是跟你講什麼放在哪裡
[38:56] 什麼放在哪裡
[38:57] 嗯嗯
[38:58] 那不然的話
[39:00] 嗯因為那個都是專有名詞
[39:02] 所以不要不要講對不對
[39:05] 就不要講
[39:06] 哦好嗯
[39:08] 可以
[39:13] 其實我也可以不要講專有名詞
[39:15] 可是我會覺得
[39:16] 這樣又顯得不夠
[39:18] 這樣又不夠的
[39:20] 怎麼講
[39:22] 不夠
[39:23] 回到最基礎的
[39:24] 就是比較
[39:26] 就是正科班的啦
[39:27] 就是真正科班的東西
[39:29] 這樣子
[39:30] 但是
[39:30] 哦
[39:31] 對
[39:32] 我那我這邊翻譯行銷
[39:34] 這就是真的就是利他幫助別人
[39:36] 得到他要的
[39:37] 嗯這樣
[39:39] 方案的利苦得樂
[39:40] 其實行銷跟我們在深信裡講的東西是一樣的
[39:42] 這樣可以嗎
[39:44] 行銷講這個
[39:44] 但是其實他就
[39:45] 我翻譯成
[39:47] 深信的語言就是這個語言
[39:48] 嗯
[39:50] 這樣
[39:53] 這樣
[39:53] 創造價值幫助人家離開痛
[39:55] 提開他的痛苦解決他的問題
[39:58] 這經典就好
[40:01] 對
[40:03] 對
[40:04] 嗯
[40:07] 好
[40:08] 也就是說不要講細節
[40:10] 順便會不要講細節
[40:11] 好
[40:12] 我只
[40:13] 嗯
[40:14] 我拿聽到細節就不愧疑了
[40:16] 好
[40:18] 嗯
[40:19] 嗯
[40:20] 嗯
[40:20] 嗯
[40:21] 嗯
[40:21] 嗯
[40:22] 嗯
[40:22] 嗯
[40:23] 這樣子我想一下啥子了
[40:25] 嗯
[40:26] 唉
[40:27] 你們不能講這種很
[40:28] 很乾的乾貨
[40:30] 太乾了
[40:30] 嗯
[40:31] 太太
[40:32] 太無聊了
[40:33] 哈哈
[40:35] 還是都要講故事
[40:36] 一直在講故事這樣
[40:37] 然後講故事之後
[40:38] 就是給我上課這樣
[40:40] 嗯
[40:41] 好
[40:42] 我想想看
[40:44] 嗯
[40:46] 嗯
[40:50] 那如果講我的流量之過去怎麼開發人的
[40:53] 這要講嗎
[40:54] 不要講
[40:55] 我想一下
[40:56] 哦
[40:57] 嗯
[40:57] 我就講我就要秀說我們所有的
[41:00] 那個新製圖出來給他看就好了
[41:02] 那就不要講
[41:03] 我是講說
[41:04] 那是按照學術的基礎
[41:08] 然後慢慢的提升你的每一個步驟
[41:12] 哦當然學術的定義很硬
[41:15] 但其實真正的重點
[41:18] 我們在比較一般人聽得懂的什麼
[41:20] 界定人的策略
[41:21] 一個句話
[41:22] 這是學術的說法
[41:23] 那這講來講是找到你的定位啦
[41:25] 哦這講到你要幹嘛
[41:26] 哈哈
[41:27] 人生要幹嘛
[41:28] 簡單講就是這個意思
[41:30] 然後呢人生要做什麼
[41:32] 那分析內外部環境就是找到你的內外部的優勢
[41:35] 就簡單講是這個意思
[41:37] 嗯
[41:39] 就是說我們
[41:40] 我們呃就是我們會把
[41:43] 專門的學科
[41:44] 講他有基礎的這個邏輯
[41:47] 但是我們會把它講得非常的
[41:50] 身心靈或是行銷約一般的人類的話這樣
[41:55] 嗯
[41:56] 可能就比較可以接受了
[41:59] 嗯
[42:01] 不然就這樣講很有趣
[42:03] 好就這樣
[42:05] 嗯就麻煩你了
[42:06] 所以你光是四風那一段弄出來就已經很久了
[42:10] 那你那個剛好都可以
[42:11] 哦就這樣拜拜
[42:13] 雲端給我啊
[42:14] 雲端給我
[42:15] OK好拜拜
[42:16] 所以我我會交給你的東西
[42:18] 我自己可能會來不及做
[42:20] 因為我不知道陳老師到底什麼時候要
[42:22] ok拜拜
[42:23] 啊對我要我要先說
[42:26] 明天我是
[42:28] 凡日上午全下午的事哦
[42:29] 所以應該要可能下午四點
[42:32] 破五點過後吧回到家
[42:34] 對好我了解了好啊
[42:37] 好那就麻煩你盡量了
[42:41] 嗯
[42:42] 就盡量有什麼文字就什麼文字
[42:44] 然後那個上次你給我的陳老師的這一段啊
[42:48] 你看能不能把那個
[42:49] 怎麼真凌光都把它刪了這樣
[42:51] 哦可以啊可以啊這也是
[42:53] 叫你愛做就好了
[42:55] 裝個裝個完
[42:56] 裝個功能就可以了
[42:58] ok好好好你真的很厲害哦
[43:00] ok就這樣幫我把這個什麼
[43:01] 這個時間跟這個名字拿掉哦拜拜
[43:04] ok
[43:06] 時間跟名字拿掉 ok謝謝拜拜
[43:08] 然後再分隔線最好了最好分隔一下哦
[43:11] ok好拜拜
