[00:00] 我們即將開始先跟大家講一些我們今天的
[22:18] 這個吹其實
[22:19] 是比
[22:20] 關於
[22:21] 他的前提
[22:22] 有更大
[22:23] 關於他在美國
[22:24] 跟中國
[22:25] 相對
[22:26] 我覺得
[22:27] 前提
[22:28] 因為美國
[22:29] 就很開心
[22:30] 他們很喜歡
[22:31] 表現自己
[22:32] 比較喜歡看
[22:33] 比較不喜歡看
[22:34] 文字類的
[22:35] 這個是這樣子
[22:36] 跟大家
[22:37] 鼓舞一下
[22:38] 剛才沒講說
[22:39] 為什麼要進一頁這個東西
[22:40] 好
[22:41] 那我們就正式進到這個課程
[22:43] 那首先
[22:44] 我們就來講
[22:45] 這個吹
[22:46] 這個進一頁的這個
[22:47] 邏輯
[22:48] 邏輯
[22:49] 有三塊
[22:50] 這是叫做
[22:51] 底層的邏輯
[22:52] 你要做好
[22:53] 那很事情之前
[22:54] 你要先
[22:55] 瞭解這個底層邏輯
[22:57] 我剛看一下
[22:58] 剛剛有人問說
[22:59] 如何用AI寫
[23:00] 適合的文章
[23:01] 找會紅的主題
[23:03] 與自身職業
[23:05] 應該說怎麼找
[23:06] 會紅的職業主題
[23:08] 這個我們後面會講
[23:09] 所以我就先不回答了
[23:10] 好
[23:11] 那我們來講
[23:12] 吹的底層邏輯
[23:13] 多樂和事情
[23:14] 最重要就是要去瞭解
[23:15] 他的這個底層的邏輯
[23:18] 這可能可以說是
[23:20] 整行課最重要的
[23:22] 東西
[23:23] 所以大家一定要
[23:24] 好好的認真聽
[23:25] 然後有任何問題的話
[23:26] 就是你都來上課
[23:28] 請你就
[23:29] 留言提出來
[23:30] 等一下我會可能會有些
[23:31] QA討論時間
[23:32] 所以你可以
[23:33] 邊做迷迸
[23:34] 因為你把你想到問題先
[23:36] 先記下來
[23:37] 對
[23:38] 那第一個就是
[23:39] 這個地他的思維
[23:41] 就是你一定要去
[23:43] 以他的你的利益
[23:45] 為出發點
[23:46] 對你要去想的說你
[23:48] 怎麼去幫別人
[23:49] 創造這個價值
[23:50] 你怎麼去講
[23:51] 你句話是
[23:52] 別人想要
[23:53] 別人想要聽的
[23:54] 我不是說
[23:55] 你要去銀河邊
[23:56] 而是說你要去
[23:58] 想說
[23:59] 你想要講的東西
[24:01] 是不是你可以講一些
[24:02] 你同時想講
[24:04] 同時又對別人用價值
[24:06] 甚至是
[24:07] 這句這個東西別人
[24:08] 又很好吸收了
[24:09] 這是我覺得
[24:10] 這個
[24:11] 這個地他思維
[24:12] 很重要的點
[24:13] 等一下我會好好來跟大家講
[24:15] 第二個是心態是
[24:17] 在使用脆的時候
[24:18] 你一定要
[24:19] 很輕鬆的心態
[24:20] 再去使用
[24:22] 對你不要把它當作
[24:23] 是一個
[24:24] 功課
[24:25] 或是你說我
[24:26] 我
[24:27] 我要來賺錢
[24:28] 所以我每天要
[24:29] 來日跟
[24:30] 這樣子就會搞得很疲憊
[24:32] 然後你會很
[24:33] 沒有樂潛
[24:34] 對
[24:35] 而且在脆上面使用的
[24:37] 其實現在
[24:39] 非常廣
[24:40] 有些人是
[24:41] 以前很熟悉練書的
[24:43] 有些人是
[24:44] 他們可能
[24:45] 已經不落口了
[24:46] 有些人是
[24:47] 他可能
[24:48] IG的
[24:49] 那
[24:51] 我搬到一個現象
[24:52] 為什麼很多人
[24:53] 經營脆可能會進一步
[24:54] 好
[24:55] 就是因為他
[24:56] 他非常固執
[24:58] 他就是要寫他寫寫的
[25:00] 心中有一個
[25:01] 非常強烈的道德標準
[25:03] 他覺得
[25:04] 對
[25:05] 做這個東西才是
[25:06] 正義的
[25:07] 做的東西才是
[25:08] 這個
[25:09] 不會
[25:10] 震到了
[25:11] 其實
[25:12] 或者寫這東西才是
[25:13] 不合我的
[25:14] 我的形象
[25:15] 那
[25:17] 這樣子
[25:18] 如果可能運氣好
[25:19] 他可能會重建
[25:21] 他運氣不好
[25:22] 可能就是
[25:23] 一直在寫自己想寫的東西
[25:25] 所以
[25:26] 但使用脆的東西
[25:27] 他要輕鬆
[25:28] 因為
[25:29] 你要去理解
[25:30] 大家
[25:31] 在使用脆的
[25:32] 緊勁
[25:33] 就是
[25:34] 很多年輕的
[25:35] 很
[25:36] 15歲
[25:37] 或是
[25:38] 或是
[25:39] 15歲到27歲
[25:40] 他們可能都要
[25:41] 一用
[25:42] 當使用脆
[25:43] 不是要上來
[25:44] 經營自媒體的
[25:45] 也不是要上來
[25:46] 買東西了
[25:47] 他是
[25:48] 在大家捷運上班的時候
[25:50] 我們
[25:51] 滑一下
[25:52] 要找樂子
[25:53] 或是
[25:54] 把他
[25:55] 去的事情
[25:56] 所以
[25:57] 他們是
[25:58] 用一個
[25:59] 很棒的形態
[26:00] 你
[26:01] 其實
[26:02] 你如果用
[26:03] 很嚴肅的
[26:04] 犧牲
[26:05] 你的受證
[26:06] 會比較有限
[26:07] 再來
[26:08] 就是說
[26:10] 講什麼
[26:11] 就是
[26:12] 他就像
[26:13] 你說
[26:14] 你在
[26:15] 脆的時候
[26:16] 你要想的是
[26:17] 你現在是去
[26:19] 業店
[26:20] 交朋友
[26:21] 或是你現在
[26:22] 去一個
[26:23] 請進
[26:24] 在這個
[26:25] 語境下
[26:26] 適合的東西
[26:27] 你不要
[26:28] 今天就是
[26:29] 你當然
[26:30] 你可以是一個專業人
[26:31] 死
[26:32] 沒有人說你不行
[26:33] 你可以是一個
[26:34] SIO專家
[26:35] 你可以是一個
[26:36] 金融的
[26:37] 高層族館
[26:38] 或是你是一個退休
[26:40] 他要
[26:41] 才不自由的
[26:42] 這個
[26:43] 很厲害的
[26:44] 專業工作者
[26:47] 但是你
[26:48] 在用脆的時候
[26:49] 你就要當成
[26:50] 你在
[26:51] 交朋友
[26:52] 認識
[26:53] 他對你感到
[26:54] 我興趣
[26:55] 所以你必須要先講一些
[26:57] 跟大家
[26:58] 有接軌話題
[26:59] 這個其實
[27:00] 很好理解
[27:01] 另外就是說
[27:02] 我們在一個
[27:04] 聚會的時候
[27:05] 其實我們業
[27:06] 就算你在
[27:07] 厲害
[27:08] 你也不開口
[27:09] 就開始
[27:10] PDParallel講你的
[27:11] 風光文業
[27:12] 或是你
[27:13] 專業素
[27:14] 那這樣
[27:15] 沒有人想要聽
[27:16] 不管是在
[27:17] 獨立
[27:18] 好的
[27:19] 人的聚會
[27:20] 大家都是
[27:21] 不是怎麼樣
[27:22] 這就是
[27:23] 這個
[27:24] 底層的一個邏輯
[27:25] 好講太多了
[27:26] 好
[27:27] 脆的風
[27:28] 最後這脆的風格
[27:29] 就是這個
[27:30] 規跑舞時
[27:31] 大家可能看我們母界
[27:32] 規跑舞時
[27:33] 感到苦
[27:34] 我覺得
[27:35] 脆就是
[27:36] 他現在是一種
[27:37] 混亂狀態
[27:38] 可是混亂
[27:39] 就會有很多的機會
[27:40] 你要保持在一種
[27:42] 隨時去接受
[27:45] 變化
[27:46] 他今天演算法改變
[27:47] 就是說
[27:48] 很棒
[27:49] 演算法改變
[27:50] 對
[27:51] 演算法改變
[27:52] 沒頭不好的
[27:53] 你就是
[27:54] 你就是還是寫你的東西
[27:55] 但是你可以去觀察一下
[27:56] 現在新的寫法
[27:57] 怎麼樣
[27:58] 所以你要去接受
[27:59] 你必要說
[28:00] 一直在
[28:01] 很堅持
[28:02] 很不止
[28:03] 然後再來就是
[28:04] 道德表準要太高
[28:05] 像是
[28:06] 我這邊可以跟大家講
[28:07] 其實早期
[28:08] 會
[28:09] 很多文章
[28:10] 我參考比例比較高
[28:11] 因為我
[28:12] 那時候我想了解
[28:13] 說這個
[28:14] 不同文章在上面
[28:15] 發的
[28:16] 效果怎麼樣
[28:17] 所以
[28:18] 我就覺得說
[28:19] 我現在
[28:20] 脆上面
[28:21] 我又不是什麼大神
[28:22] 我肢肉
[28:23] 我三百根
[28:24] 最終則以
[28:25] 是要我
[28:26] 怎麼樣
[28:27] 沒有人在
[28:28] Keyer你
[28:29] 不管你在外面
[28:30] 躲厲害
[28:31] 在上面可能只有幾百個最終則
[28:32] 沒有人
[28:33] Keyer
[28:34] 所以我覺得你不要太
[28:35] 演出
[28:36] 或是道德表準
[28:37] 太高
[28:38] 你要去
[28:39] 進行長時間
[28:40] 不同的風格的文章
[28:41] 然後可能
[28:42] 即使是這個文章
[28:43] 不覺得
[28:44] 這好像不是我喜歡
[28:45] 或是我覺得
[28:46] 很帥
[28:47] 對我一張的風格
[28:48] 你發一篇文
[28:50] 就不會要你的名
[28:51] 你又感覺
[28:52] 很多人在看你
[28:54] 其實沒有人在看
[28:55] 對真的
[28:56] 對好
[28:57] 那因為我現在
[28:58] 最終則比較多
[28:59] 我就會比較幾歲
[29:00] 因為
[29:01] 很老因為我會不會
[29:02] 演哨
[29:03] 但你可能
[29:04] 一兩千的時候
[29:05] 或是幾百多其實
[29:06] 沒有差
[29:07] 好
[29:08] 我可以講那個
[29:09] 政客
[29:10] 好
[29:12] 立他思維
[29:13] 好
[29:14] 那天我有個
[29:15] 東西忘記跟大家講
[29:16] 大家可能沒有看
[29:17] 到左上面
[29:18] 左上角
[29:19] 有一個
[29:20] 這邊
[29:21] 這類似這個標籤
[29:23] 其實是我們
[29:24] 工程師
[29:25] 會用他
[29:26] 叫面包學
[29:27] 但不重要
[29:28] 好
[29:29] 總之就是
[29:30] 為了大家
[29:31] 在聽客從米度
[29:32] 因為今天課程內容
[29:33] 非常龐大
[29:34] 你看
[29:35] 會聽聽知道到
[29:36] 你現在
[29:37] 是聽到美國
[29:38] 還是日本
[29:39] 所以這邊會幫助大家
[29:40] 了解說
[29:41] 現在在講哪裡
[29:42] 所以現在就是在講
[29:44] 這邊有一點沒做好
[29:45] 沒關係
[29:46] 在講
[29:47] 立他思維
[29:48] 那黑色的就是
[29:49] 現在這一頁
[29:50] 然後剩下就是
[29:51] 說這個
[29:52] 主題的
[29:53] 所以你這邊就可以
[29:54] 保保會教的
[29:55] 不是教的
[29:56] 好
[29:57] 那現在講
[29:58] 立他思維
[29:59] 第一個是要講的
[30:00] 因為我都快速帶過
[30:01] 我
[30:02] 沒理大部分
[30:03] 都來做
[30:04] 一個比較深文
[30:05] 第二個是要講
[30:07] 講能化
[30:09] 然後第二個是
[30:10] 要去想著
[30:11] 你的寫東西
[30:12] 是不是
[30:13] 有帶個別人
[30:14] 這樣子點
[30:15] 那第三個是
[30:16] 要
[30:17] 美國有本書叫做
[30:19] 這個
[30:20] 要徒冷吧
[30:21] 好像是這個
[30:22] 非常成功的領導學的
[30:23] 老實寫的
[30:25] 就是說
[30:26] 最好的領導者
[30:27] 其實就是一個
[30:28] 徒冷
[30:29] 所以呢
[30:30] 你要非常的
[30:31] 尊敬你的
[30:32] 你的課了
[30:33] 或是你的
[30:34] 粉絲
[30:35] 或者說你的
[30:36] 有在使
[30:37] 跟你互動的人
[30:38] 你要非常尊敬別人
[30:40] 因為他們
[30:41] 不管他們有沒有付錢
[30:42] 給你
[30:43] 可是他們今天
[30:44] 還有點像是
[30:45] 他就是來
[30:46] 你家做課
[30:47] 那你就是說
[30:48] 你要把自己當成
[30:49] 是一個
[30:50] 他回了
[30:51] 你什麼留言的話
[30:52] 如果你有
[30:53] 課
[30:54] 或是
[30:55] 可以
[30:56] 現在一團的粉絲
[30:57] 還沒有那麼多
[30:59] 你看
[31:00] 沒有那麼忙的話
[31:01] 請你好好的
[31:02] 用心的
[31:03] 回復他
[31:04] 可是他打五個字
[31:05] 你可以打一百個字
[31:07] 去跟他
[31:08] 去互動
[31:09] 因為你把當作
[31:10] 是一個主人
[31:11] 然後去
[31:12] 然後你
[31:13] 要進口的去
[31:14] 轉貼
[31:15] 只要你覺得
[31:16] 文章你認同
[31:17] 你就去轉貼
[31:18] 然後去按讚
[31:19] 然後甚
[31:20] 甚至是你去留言
[31:21] 因為我觀察
[31:22] 其實在
[31:23] 吹上面
[31:24] 他會
[31:25] 其實大家會去
[31:27] 轉貼留言
[31:29] 的人都還是
[31:30] 偏少
[31:31] 尤其是
[31:32] 轉貼的人
[31:33] 現在又越少
[31:34] 所以我們
[31:35] 帶進
[31:36] 指媒
[31:37] 提供說我們在做
[31:38] 任何一件事情的時候
[31:39] 很重要的一件事情
[31:40] 就是
[31:41] 你要去做別人
[31:42] 不會做的事情
[31:43] 尤其是那件事情
[31:44] 他不會花你
[31:45] 很大的分佈的時候
[31:46] 你就要特別
[31:48] 多做
[31:49] 但
[31:50] 轉貼別人的文章
[31:51] 是一件
[31:52] 會讓別人
[31:53] 非常的
[31:54] 覺得你
[31:55] 非常有一個
[31:56] 幫助到他的事情
[31:57] 可是對你來說
[31:58] 你只需要點一個字頭
[32:00] 像我非常長的一段時間
[32:01] 因為我覺得好
[32:02] 或是我覺得
[32:03] 他剛經營
[32:04] 然後
[32:05] 我想
[32:06] 我覺得我短貼的他可能會
[32:07] 讓他被看到
[32:08] 我就會
[32:09] 轉貼
[32:10] 他的這個風格
[32:11] 或是他的價值
[32:12] 是我認很
[32:13] 就會
[32:14] 我一定會轉貼
[32:15] 然後我甚至會點進去
[32:16] 我找他
[32:17] 比較好一片文章
[32:18] 去轉貼
[32:19] 所以
[32:20] 在
[32:21] 什麼是補了
[32:22] 就是你要進可能
[32:23] 的服務別人的需求
[32:24] 所以這個就是
[32:25] 你一個
[32:26] 可以服務的機會
[32:27] 就是去轉貼別的文章
[32:29] 這不會
[32:30] 破壞你的
[32:31] 生意
[32:32] 也不會破壞你的形象
[32:33] 他就只是
[32:34] 在脆上面
[32:35] 你轉貼那個文章
[32:36] 不會有任何的後果
[32:38] 而且你不需要任何的成分
[32:39] 這麼好
[32:40] 事情為什麼不做呢
[32:41] 對
[32:42] 就是這樣
[32:43] 好
[32:44] 看一眼
[32:50] 好
[32:51] 這個
[32:52] 講能話呢
[32:53] 這個其實
[32:54] 很
[32:55] 對很多人來說
[32:56] 蠻困難的
[32:57] 因為
[32:58] 很多人他們
[32:59] 不是一個
[33:00] 從小做文
[33:01] 就很好玩
[33:02] 沒關係
[33:03] 再一次呢
[33:04] 我會跟你講
[33:05] 這個邏輯跟規則
[33:06] 你們只要去瞭解的話
[33:08] 你們都可以做到
[33:09] 程度以上
[33:10] 講能話就是講別人
[33:12] 容易聽的話
[33:14] 裡面分成
[33:15] 三個
[33:16] 部分
[33:17] 一個
[33:18] 孟永三個部分
[33:19] 品牌
[33:20] 幫轉貼文章
[33:21] 比較困難
[33:22] 我覺得可能
[33:23] 你要去
[33:24] 想一下說
[33:27] 轉貼文章
[33:28] 到底
[33:29] 會造成什麼
[33:30] 應該說我想問一問題
[33:31] 就是說
[33:32] 這個會造成什麼
[33:33] 後果
[33:34] 就是說
[33:35] 你算是一個
[33:36] 全聯的
[33:37] 反正是全聯
[33:39] 轉貼了一個
[33:40] 某個
[33:41] 用戶的文章
[33:42] 或是
[33:43] 轉貼的某個
[33:44] 人家的
[33:45] 奇聞
[33:46] 甚至是
[33:47] 人家的感情
[33:48] 故事
[33:49] 這個會
[33:50] 好像
[33:51] 我自己理解
[33:52] 好像
[33:53] 我會造成什麼
[33:54] 後果
[33:55] 那可能你老闆會理解
[33:57] 說我們是品牌
[33:58] 不要亂轉貼
[33:59] 你剛才說
[34:00] 進行
[34:01] 最其實
[34:02] 就是
[34:03] 就是
[34:04] 方便轉貼文章
[34:05] 所以
[34:06] 我覺得可以
[34:08] 溝通一下
[34:09] 我自己覺得
[34:10] 沒有什麼後果
[34:11] 如果你
[34:12] 覺得什麼
[34:13] 想法
[34:14] 也可以
[34:15] 可以幫你看一下
[34:16] 第二個是
[34:17] 方便被書管告轉
[34:18] 將本質轉到他方去
[34:20] 沒錯
[34:21] 沒錯
[34:22] 你這個問題
[34:23] 問得非常好
[34:24] 就是
[34:25] 很多人
[34:26] 他就是會
[34:27] 很在意說
[34:28] 我幫你轉貼
[34:29] 是不是我會
[34:30] 把本質轉到你那邊
[34:31] 或者是
[34:32] 你懂我是進品
[34:33] 所以
[34:34] 上面
[34:35] 社群的本質
[34:36] 是社交
[34:37] 所以
[34:38] 在社交上面
[34:39] 你是朋友越多
[34:40] 還是敵人越多越好
[34:42] 我想大家
[34:43] 應該會認同
[34:44] 就是
[34:45] 朋友越多越好
[34:46] 所以我開始
[34:47] 我就想
[34:48] 我會覺得這樣
[34:49] 後來發現
[34:50] 其實你好
[34:51] 跟國好
[34:52] 不衝突
[34:53] 對啊
[34:54] 那麼
[34:55] 台灣2,300萬人
[34:56] 我今天只要做
[34:57] 可能
[34:58] 2,000人
[34:59] 就已經對我品牌
[35:00] 幫助的大
[35:01] 那
[35:02] 為什麼
[35:03] 你不能你也好
[35:04] 我也好
[35:05] 所以這前面就是
[35:06] 一開始跟大家講
[35:07] 第二點就是
[35:08] 立他的思維
[35:09] 你要去想的是
[35:10] 我們一起
[35:11] 更好
[35:12] 而不是去帶進去
[35:13] 說
[35:14] 本質會
[35:15] 跑到你那邊去
[35:16] 因為今天你
[35:17] 轉貼
[35:18] 文章給他了
[35:19] 那是不是
[35:20] 如果他也是一個
[35:21] 比較
[35:22] 可能也是
[35:23] 比較有
[35:24] 這種概念的人
[35:25] 他可能
[35:26] 也幫你
[35:27] 下次也幫你轉貼
[35:28] 但這樣就行
[35:29] 一個
[35:30] 正向
[35:31] 我自己
[35:32] 像是
[35:33] 另外一個
[35:34] 新銷入人家
[35:35] 他自己是在做
[35:36] 脆的行銷
[35:37] 然後
[35:38] 我就去買
[35:39] 我就去買
[35:40] 他的這個電子書
[35:41] 一方面是
[35:42] 我想要了解說
[35:43] 別人
[35:44] 他的內容
[35:45] 都怎麼做的
[35:46] 叫我可以
[35:47] 更有話我的
[35:48] 內容
[35:49] 融合到我的這個
[35:50] 這個
[35:51] 可以帶給你的
[35:52] 含金量
[35:53] 裡面
[35:54] 那第二個是
[35:55] 我就覺得說
[35:56] 他可以做這個
[35:57] 那我們
[35:58] 那
[35:59] 我講的故事就是說
[36:00] 我們就互相追蹤了
[36:02] 然後後來基本上
[36:03] 他把我
[36:04] 我覺得他其實
[36:05] 真的也還不錯
[36:06] 我也蠻喜歡
[36:07] 所以我只要看到
[36:08] 他把我
[36:09] 一句都轉貼
[36:10] 那你想
[36:11] 他經營脆的行銷
[36:12] 或是
[36:13] 脆變線
[36:14] 那不是就
[36:15] 就
[36:16] 就這麼到錢
[36:17] 本質就
[36:18] 關給他
[36:19] 會這樣嘛
[36:20] 其實我覺得
[36:21] 我覺得
[36:22] 他後來
[36:23] 就是
[36:24] 他會幫我去分享
[36:25] 甚至他會
[36:26] 會想課程
[36:27] 那是不是
[36:28] 說我們兩個都
[36:29] 很好
[36:30] 因為市場很大
[36:31] 所以其實不用去擔心
[36:32] 說這種
[36:33] 機貿算體
[36:34] 的事情
[36:35] 對
[36:36] 所以我覺得是
[36:37] 這樣子想
[36:38] 那這我的講法
[36:40] 好 第二個是
[36:41] 斷好
[36:42] 斷好這個其實
[36:43] 很多意思
[36:44] 有專家有講
[36:45] 那我今天也有
[36:46] 特別在整理一些
[36:47] 我覺得
[36:48] 很重要的
[36:49] 格式
[36:50] 跟你們講
[36:51] 那第三個是
[36:52] 不要讓專業有名詞
[36:54] 經可能用
[36:55] 白話文
[36:56] 這個是講
[36:57] 我們就是
[36:58] 繼續往下走
[37:00] 好
[37:01] 這很重要
[37:02] 就是開場白
[37:04] 講人話重點是開場白
[37:06] 就是你開場的時候
[37:08] 最重要就是你
[37:09] 就要去創造一個
[37:10] 衝擊感
[37:11] 那在脆上面
[37:13] 你的文章
[37:14] 不管你還儘量多高
[37:15] 或是你寫得多好
[37:16] 只要你的開場
[37:18] 買基本上你
[37:19] 只要寫不好的話
[37:20] 這邊文章
[37:22] 就是不會有人看
[37:23] 所以
[37:24] 所以這是一個重點
[37:26] 我還甚至為了他
[37:28] 就是
[37:29] 要把開場白
[37:30] 要分成三點
[37:31] 就知道我覺得
[37:32] 東西多重要
[37:33] 所以
[37:34] 我給你一些格式
[37:35] 跟一些半例
[37:36] 但是你要知道
[37:37] 就是在使用脆的人
[37:39] 他們就是在急於
[37:40] 放滑手指
[37:41] 或是他可能是
[37:42] 上廁所的時候
[37:43] 他來看一下
[37:44] 我自己有時候有
[37:45] 看一下
[37:46] 上廁所的時候
[37:47] 所以注意是很破碎的
[37:48] 你的文章開場白
[37:49] 如果
[37:50] 你不要吸引人的話
[37:52] 誰想要看
[37:53] 就是你只要滑
[37:55] 所以你開場買一定要去
[37:57] 創造一個衝擊感
[37:58] 你要讓他被電到
[38:00] 被電到的感覺
[38:01] 所以
[38:02] 開場白
[38:04] 非常重要
[38:05] 決定是可以文章的
[38:06] 甚至其他一切都不要
[38:08] 什麼字界寫得不好
[38:09] 什麼變性
[38:10] 你的服務開場白寫不好
[38:12] 你就
[38:13] 脆就是經營
[38:14] 就沒辦法寫得好
[38:15] 這是很重要的
[38:17] 我警報增加
[38:18] 非常多的效盟
[38:19] 他之前有上過房座的房
[38:20] 他應該知道
[38:21] 我增加超爆破的
[38:23] 對
[38:24] 好
[38:25] 那我就是繼續講
[38:34] 好
[38:35] 衝擊感的
[38:37] 衝擊感這個
[38:39] 對
[38:41] 好
[38:42] 衝擊感的重點是什麼
[38:43] 要怎麼讓你家
[38:44] 第一句話就被電到
[38:46] 其實我幫大家整理了
[38:48] 兩個重點
[38:49] 第一個就是
[38:50] 請要創造的
[38:51] 請去張立
[38:53] 請去張立是什麼
[38:54] 請去張立
[38:55] 你這句話
[38:56] 要讓別人聽到
[38:57] 我心裡是
[38:59] 有感覺的
[39:01] 對
[39:02] 這個概念其實是
[39:03] 老實說
[39:05] 我覺得今天教會課程
[39:07] 你們如果是在做什麼
[39:09] 其他身心靈
[39:10] 我是行銷物業務
[39:11] 其實我覺得都很受用
[39:12] 你可以嘗試看
[39:14] 那我還是
[39:15] 就脆的角度跟你講
[39:17] 因為
[39:18] 衝擊感就是
[39:19] 創造別的請去張立
[39:21] 你講第一句話
[39:22] 這句話
[39:23] 就是要讓別人有感覺
[39:24] 那要怎麼做呢
[39:25] 分成兩種
[39:26] 第一種是
[39:27] 負面的請去張立
[39:29] 然後第二種
[39:30] 是正面的請去張立
[39:32] 那負面請去張立
[39:33] 我們就
[39:34] 借用這個
[39:35] 佛教的這個
[39:36] 七毒
[39:37] 無毒
[39:38] 對
[39:39] 無毒就是
[39:40] 貪層吃
[39:41] 賣
[39:42] 對
[39:43] 因為
[39:44] 人的
[39:46] 遇望
[39:47] 其實
[39:48] 我們的遇望整理出來
[39:49] 流傳的千百
[39:51] 所以
[39:52] 所以你可以去
[39:53] 用
[39:54] 這五種方式
[39:55] 去
[39:56] 去想你的開場白
[39:58] 那貪的就是要讓別人
[40:00] 你要引起他覺得
[40:02] 這東西
[40:03] 這個
[40:04] 很需要的念頭
[40:05] 就是
[40:06] 那他覺得
[40:07] 這個東西
[40:08] 很稀傻
[40:09] 比如說你可以講
[40:10] 說現實
[40:11] 優惠的商品
[40:12] 可能
[40:13] 沒比是
[40:14] 我今天這個密密之後
[40:15] 不到一%
[40:16] 知道密密
[40:17] 我現在跟你
[40:18] 關開給你
[40:19] 對
[40:20] 第二個是
[40:21] 稱
[40:22] 稱好像是類似生氣
[40:23] 就是讓人家
[40:24] 勾引
[40:25] 引起別人
[40:26] 他的共感
[40:27] 他的共同的感覺
[40:28] 是對這件事情
[40:29] 確實
[40:30] 確實
[40:31] 確實他也很不爽
[40:32] 你把它講出來
[40:33] 所以為什麼你到現在
[40:34] 存得到錢
[40:35] 就可能是願意
[40:36] 大家如果感到
[40:37] 為什麼
[40:38] 對
[40:39] 為什麼我現在存到錢
[40:40] 麻了
[40:41] 我一定要來表解一下
[40:42] 然後吃的
[40:43] 就是說
[40:44] 因為我好
[40:45] 但是總之就是
[40:46] 製造一些神秘感
[40:47] 我是讓人家覺得
[40:48] 好像有點
[40:49] 心患
[40:50] 心炫神秘
[40:51] 就是說
[40:52] 搞不懂
[40:53] 為什麼這個不氣眼
[40:54] 的小動作
[40:55] 可以讓別人
[40:56] 約路百萬
[40:57] 然後賣一次挑戰
[40:58] 讓他的自尊心
[41:00] 他說
[41:01] 只有專業
[41:02] 人事或是
[41:03] 只有這個高階工程
[41:04] 是才會懂得
[41:05] 覺跳
[41:06] 然後人家就
[41:07] 如果他是做相關
[41:08] 他說我帶到來看看
[41:09] 到底是多高階
[41:10] 我說
[41:11] 我也是高階工程師
[41:12] 這個我一定懂
[41:13] 那要來看看
[41:14] 所以
[41:15] 所以就是提出一個
[41:16] 他會疑惑
[41:17] 矛盾的資訊
[41:18] 引發到奇心
[41:19] 你可能
[41:20] 誤解了
[41:21] 經營脆的法則
[41:22] 你看你誤解了
[41:23] 流量的本質
[41:24] 所以他就是
[41:25] 說
[41:26] 什麼誤解
[41:27] 我沒有誤解
[41:28] 然後我要來看一下
[41:29] 你今天聞到
[41:30] 那來寫什麼東西
[41:31] 這就是開
[41:32] 這是開場
[41:33] 我還把他整理一些家公
[41:35] 但其實你還可以去
[41:36] 產黨一些
[41:37] 別人寫了
[41:38] 有很多方式
[41:40] 但我整理一個家公
[41:41] 是你比較去
[41:42] 然後下面是那個
[41:44] 基督教授
[41:45] 把七個人寫
[41:46] 毆曼基督
[41:47] 奮帶多
[41:48] 貪婪
[41:49] 報死
[41:50] 社律
[41:51] 整理出來的好處是什麼呢
[41:53] 非常大的好處
[41:54] 跟你講
[41:55] 只要你把這個
[41:56] 檢報拿去
[41:57] 委屈的指標題
[41:58] 你要說請就這四個面向
[42:00] 請互相
[42:01] 情緒長你報一下
[42:02] 這篇文章開場
[42:03] 白
[42:04] 他就會幫你想出來
[42:05] 所以
[42:06] 就是幫大家寫了
[42:07] 大家公夫
[42:08] 很棒
[42:09] 這項情緒長
[42:10] 那是感動溫暖有趣
[42:13] 這個就比較
[42:15] 比較
[42:16] 比較是
[42:17] 比較
[42:18] 比較平不直速
[42:19] 其實就是你
[42:20] 真實
[42:21] 覺得的故事其實就可以
[42:23] 就最近
[42:24] 今天發現
[42:25] 感動是很溫暖的事
[42:27] 那像我之前寫過一篇文章
[42:28] 是我前天跟一個
[42:30] 繼承哲司機聊天
[42:31] 因為他看起來開心
[42:33] 這件事情就很有趣
[42:34] 繼承哲司機
[42:35] 不是很累嗎
[42:36] 他不是這個
[42:37] 比較
[42:39] 服務業應該就是
[42:41] 很情緒的勞動
[42:42] 很多嗎
[42:43] 怎麼看起來開心
[42:44] 他覺得那有趣
[42:45] 來看看
[42:46] 那立他就是說
[42:48] 你去分享
[42:49] 一些比較正向的觀念
[42:52] 或是說你去分享
[42:54] 有這樣子的東西
[42:56] 最近我讀到
[42:57] 到社合服的一句話
[42:58] 讓我特別有感
[43:00] 他就覺得說
[43:01] 不錯
[43:02] 那你幫我看得這麼舒嘛
[43:04] 或是你幫我去
[43:05] 瞭解這個到社合服的思想
[43:07] 那到底有什麼感覺
[43:08] 你有什麼想法
[43:09] 這其實就是在幫助別的
[43:11] 對好
[43:12] 那這邊我要特別提一下
[43:14] 就是
[43:15] 負面情緒張力
[43:17] 其實
[43:18] 我覺得要
[43:20] 還是最後還是要問你
[43:21] 還是要回到貢獻價值別
[43:23] 因為如果你
[43:24] 一直過
[43:25] 你一直來用
[43:26] 負面情緒張力的話
[43:27] 最後
[43:28] 你人家就會覺得
[43:29] 是一個
[43:30] 垃圾站好
[43:31] 或是覺得
[43:32] 是一個機場站好
[43:33] 因為
[43:34] 你前面可能
[43:35] 你用這個
[43:36] 請負面情緒張力
[43:38] 引起他的助於力子
[43:39] 後面必須要
[43:41] 我自己覺得
[43:42] 要回到這個正向的收穫
[43:44] 或是你回到
[43:45] 真的你
[43:46] 確實覺得
[43:47] 價值的東西
[43:48] 你要去跟他講
[43:49] 而不是說你
[43:50] 就是
[43:51] 來用這個開場
[43:52] 然後其實內容都寫了
[43:53] 林伊蘭啦
[43:55] 其實
