[00:00] 你是深信念老師
[25:45] 偏向是地均的文章
[25:47] 啊
[25:47] 下面是空軍的部分
[25:48] 就寫一些各種
[25:50] 是
[25:50] 在這個產業
[25:52] 呃
[25:52] 服務的時候遇到的故事
[25:54] 那很多人說我
[25:55] case
[25:56] 我個個案不給我寫
[25:57] 那你可以去做工藝場
[25:59] 然後跟他說我們做教壞
[26:00] 或者是你看書
[26:01] 去寫別人
[26:02] 去寫書上看到的
[26:03] 那另外一個方式是
[26:05] 這個你可以直接把你的字節貼上去
[26:07] 千里是你字節已經定位很明確了
[26:10] 不然他就會
[26:11] 好就會定位很明確
[26:12] 我一把修過就這樣子
[26:14] 很明確的一個定位
[26:15] 然後你就可以跟確的去逼講說
[26:18] 假設這是我的trade的字節
[26:19] 記根據我的定位包
[26:21] 想出100篇在催上可以寫的主題
[26:23] 記得議題要選公司
[26:25] 兼具極大的討論性
[26:26] 補給性的
[26:27] 那給大家看一下怎麼弄的
[26:34] 給大家看一眼
[26:38] 所以這一半想好
[26:39] 魔法咒語了
[26:40] 只要把它貼上去就好
[26:42] 但字節要先寫好
[26:44] 卡羅梅加主題題
[26:51] 這樣子剛剛就是我截圖的
[26:53] 然後他們就幫你100個適合的主題
[26:55] 什麼樣的梅加最適合性
[26:56] 做從事假看順理討論話
[26:58] 因為梅加 vs 素假
[26:59] 百格系列
[27:00] 卡羅牌真的能準確嗎
[27:02] 看出你的需求一次搞懂
[27:04] 關係是什麼
[27:06] 所以你不用擔心沒有主題
[27:08] 嗯
[27:09] 就是幫你解決了
[27:10] 你只要去寫就好了
[27:12] 每天日更去寫
[27:14] 你要經理就是日更每天
[27:16] 你可以一天寫
[27:17] 你可以一天寫五篇
[27:18] 然後一次寫完
[27:19] 然後因為你工作的忙
[27:20] 話一天可以寫五六篇
[27:22] 然後每天去發
[27:24] 好
[27:26] 好
[27:27] 好
[27:28] 後面要講快一點
[27:29] 有些會重點會講
[27:30] 可能會講不清楚
[27:33] 好可以後面好
[27:34] ok好
[27:35] 這邊要講一個這個
[27:37] 最進階的部分
[27:39] 這進階的部分呢
[27:40] 意思就是說
[27:41] 你前面前面的東西
[27:43] 全部先做到位
[27:45] 然後這個部分呢
[27:46] 你再來慢慢的去用
[27:48] 因為太多了
[27:49] 然後這個東西很
[27:50] 很
[27:51] 很複雜很進階
[27:53] 但是很有趣
[27:54] 然後因為但是因為我自己太多方法
[27:57] 把全部都
[27:58] 大大補貼全部都交給你
[28:01] 絕對就是
[28:02] 非常
[28:03] 就是很多啦
[28:04] 然後
[28:05] 但是你不用開始就想要全部用到
[28:07] 這樣可以慢慢的去去去使用出來
[28:10] 第一個是連環串
[28:13] 軍師的思維第一個是連環串
[28:15] 原本
[28:16] 要轉貼的貼
[28:17] 你原本的貼我有沒有
[28:20] 這有快速
[28:21] 我可能快速講過去
[28:22] 好
[28:23] 你好這邊就是剛剛講的
[28:24] 我看了一本書把它變成這個
[28:26] 然後
[28:27] 這樣子這樣子這樣子
[28:29] 然後
[28:30] 這邊有個箭頭是按負字連結的
[28:33] 然後最後再把它貼到最下面
[28:39] 他就會這樣出來
[28:41] 所以用這個方式呢
[28:43] 你就可以
[28:43] 他讀者他可能用手機滑到這裡的時候
[28:45] 他覺得這邊文章不錯
[28:47] 你等一下說你可以
[28:48] 很方便的再點進去
[28:50] 他就可以在很方便的分享
[28:52] 這是叫做連環串的策略
[28:55] 軍師的這個策略
[28:57] 那跳起來
[28:59] 第二個是三風點火
[29:01] 那三風點火就是寫一些這個
[29:03] 大家會很有爭議性的話題
[29:05] 然後你觀點要很強烈
[29:06] 反正就是寫說
[29:08] 你也可以寫確的gbt幫你寫
[29:09] 就是
[29:10] 你就是像剛剛一樣
[29:11] 跟他說明清楚家幫你寫
[29:13] 一般人與有錢人最大的差距
[29:15] 就是業務人力
[29:16] 然後下面大家就吵半天了
[29:18] 就是你知消保險是垃圾
[29:20] 我不認同
[29:21] 好
[29:22] 不相信生性的人
[29:23] 只是迷信科學
[29:25] 科學的派
[29:26] 科學的狂熱份
[29:27] 都出來吵半天
[29:28] 然後生性的人說
[29:30] 啊你真的是很了解
[29:31] 他們就會開始在下面
[29:33] 這個討論
[29:34] 但是
[29:35] 我也不是說二一要去這個
[29:37] 去我去去這樣子去亂講
[29:40] 而是我真的認同這觀點
[29:41] 然後然後我覺得也是促進討論
[29:44] 好第三個就是下幾代去
[29:47] 就是下幾代去就是
[29:48] 呃你前面把你的豬瘟寫的很吸引人
[29:52] 然後跟他說好剩下的親民
[29:55] 我們這邊有個箭頭
[29:56] 往下去去看
[29:58] 幫你留言的地方
[29:59] 那這樣子的話演算吧就會覺得說
[30:01] 在你的貼文上
[30:02] 提留的時間比較久
[30:04] 所以就會
[30:04] 呃對你這個這個互動率就比較良好
[30:07] 這也是一招
[30:09] 然後再來有一招是草船借鑒
[30:12] 草船借鑒呢就是直接拿現有的文章
[30:14] 去給確的GBT改
[30:16] 那這個呢我就
[30:18] 不秀出了個人隱私
[30:20] 反正總之你可以去
[30:22] 爬
[30:22] 提到說你可以去把我的十篇文章
[30:24] 風格都
[30:25] 丟給確的GBT
[30:27] 跟他說呃你
[30:29] 那我請你記住這這五篇文章的風格
[30:32] 然後接下來呢
[30:33] 你再把這個
[30:35] 這本書的內容
[30:36] 一字不動的丟給確的GBT
[30:38] 跟他說請你照上面那五篇文章的風格去改寫
[30:42] 然後那內容請維持一字
[30:44] 他就會幫你寫
[30:45] 啊這這篇文章都是確的確的GBT寫的
[30:48] 然後內容是從書上
[30:50] 從書上擷取下來的
[30:54] 好
[30:55] 那第五點呢是這個
[30:57] 遺址氣勢
[30:58] 就是人類很需要別人跟他講要怎麼做
[31:01] 所以
[31:02] 你就要去跟別人說要請他追蹤你
[31:04] 尤其是你文章報的時候就要請他去追蹤
[31:07] 那這篇文章因為報了總共
[31:09] 130萬人看過
[31:11] 然後下面我就
[31:12] 放了一個字底留言說如果你喜歡
[31:14] 歡迎追蹤我
[31:15] 然後呃
[31:17] 我會寫什麼
[31:18] 然後這邊文章呢16萬
[31:20] 這個
[31:21] 被被被文留言
[31:23] 被文字底留言16萬流浪
[31:25] 對
[31:26] 然後也換取了不少追蹤
[31:29] 所以就是你必須要告訴別人
[31:31] 明確告訴他
[31:32] 請他追蹤請他追蹤你
[31:34] 對
[31:35] 然後為什麼追蹤你
[31:36] 因為你會寫什麼給他價值
[31:38] 好沒講就是沒有
[31:40] 然後再來就是無限彈藥
[31:42] 無限彈藥就是報文
[31:44] 其實基本上是你
[31:46] 重疤或是一樣都會報
[31:47] 因為翠玲也算吧
[31:49] 上面他是呃
[31:50] 可能衝可能很常會推給不同的人
[31:52] 然後上面的流動率很高
[31:54] 所以其實看到的人
[31:56] 常都不會重複
[31:57] 比方說這篇文章
[31:59] 10月28號發一篇
[32:01] 然後最近12月6號因為沒空
[32:03] 最近在推推那個
[32:04] 宣傳宣傳各式的沒空
[32:06] 響新聞章
[32:06] 所以就把它再貼一次
[32:08] 然後就呃
[32:10] 也蠻多的727個
[32:12] 然後有染量基本上是差不多的
[32:14] 所以三個月前你可以重複發
[32:16] 所以你就每天一直寫
[32:17] 然後寫到報的時候
[32:18] 你就是
[32:20] 變成是你的彈藥庫
[32:21] 你可以永遠都用不完
[32:22] 兩個月後發三個月前
[32:24] 然後三個月後又發
[32:25] 五個月前又發五個月前
[32:27] 你就永遠都發不完文章
[32:28] 然後永遠都一直
[32:29] 無限增加你的追蹤
[32:33] 好
[32:33] 那這篇這個
[32:34] 這個策略到重心諷悅
[32:36] 這個策略就是說
[32:38] 呃我
[32:39] 我那時候請很多朋友幫我推中
[32:41] 推呃宣傳我的課程
[32:43] 然後這個人
[32:43] 這個我學長寫得特別好
[32:46] 所以我就
[32:47] 覺得這個是一個很好的素材
[32:49] 可以去利用
[32:50] 然後下面看到他
[32:51] 92個轉貼哇
[32:53] 到底是怎麼做到的
[32:54] 哇其實全部都是我
[32:56] 因為那時候在幫
[32:57] 大家說你我來幫你字界見解的時候
[32:59] 全部都引用這篇
[33:00] 引用這個
[33:01] 引用這個
[33:03] 引用這個貼文給他
[33:05] 說歡迎購客
[33:06] 然後怎麼用呢
[33:07] 就是按這個右面這個鍵
[33:09] 他會有複製連結
[33:10] 然後貼在呢
[33:11] 連裡面就可以
[33:13] 把流量全部灌到這篇文章上面
[33:16] 這叫重心諱悅
[33:19] 這個就然後在第八個招叫一乾淨洞
[33:22] 一乾淨洞就是
[33:23] 你文章如果有報的話
[33:25] 記得下面放一個字頂留言
[33:26] 把它轉換到你的思慾
[33:28] 或是你的產品的購買連結
[33:30] 那記得是你看這邊就是
[33:32] 我放了好多
[33:33] media分論
[33:34] 訂閱電子報
[33:36] 哦
[33:36] 工作榜趕快報名
[33:38] 上一場活動花絮參考這個
[33:40] 然後海報也貼一下
[33:41] 然後就是
[33:43] 思慾什麼呢
[33:44] 就是你的light社團或是你的電子報
[33:46] 或是什麼叫思慾
[33:47] 因為那個是你私人領域
[33:49] 就是對你有興趣的人
[33:50] 他可以在你私人領域
[33:51] 在多跟互動
[33:52] 持續互動
[33:54] 所以這招叫一乾淨洞
[33:55] 要文章有報才有用
[33:58] 好
[33:59] 那這招必久招叫顯尾蛇
[34:01] 顯尾蛇就是兩篇文章
[34:03] 無限的循環
[34:04] 無間地域這樣子
[34:06] 這篇我寫了一個
[34:08] 呃
[34:09] 前幾天寫了一個什麼
[34:10] 小心漂亮的女生
[34:12] 然後後來隔幾天我都寫了一個
[34:15] 呃啊我那天講的有點不好
[34:17] 自我檢討
[34:18] 然後所以
[34:19] 這邊我下面就把前幾天寫的
[34:21] 放在這個留言
[34:23] 然後這個
[34:24] 這前幾天寫的
[34:25] 我再把他把最新這篇
[34:27] 的留言用
[34:28] 這個文章放在這邊
[34:29] 所以他點繼續點到這邊
[34:31] 點這邊看留言點繼續點到這邊
[34:33] 無限這樣循環
[34:34] 就叫顯尾蛇
[34:36] 因為好
[34:37] 最後是機犬升天
[34:40] 就是把相關的主題的文貼文
[34:42] 都放在這個報
[34:43] 字頂字頂留言
[34:45] 比方說
[34:46] 這邊要太長了
[34:47] 他沒寫出來
[34:49] 今天文章報了
[34:50] 那我就是覺得
[34:51] 哎很棒哦
[34:52] 那我趕快把我相關
[34:53] 再講類似主題的都把貼下去
[34:55] 瘋狂貼這樣子
[34:57] 我這邊這個也貼下來
[34:59] 然後這個也貼下來
[35:00] 就全部放在留言
[35:01] 這樣子他們就會有機會
[35:02] 這留言就會灌到其他文章
[35:04] 所以其他文章也跟著機犬升天了
[35:07] 很棒
[35:09] 我
[35:10] 一篇一篇
[35:11] 一篇文報就其他人
[35:12] 會跟著不錯
[35:13] 好
[35:14] 然後這樣一個叫
[35:15] 疑花節目
[35:16] 疑花節目是什麼意思呢
[35:17] 就是說
[35:18] 這篇文章
[35:19] 下面我已經有這個
[35:21] 這個是剛剛有前面講過的叫做那個
[35:23] 什麼
[35:27] 叫做那個
[35:28] 呃相機待續嘛
[35:29] 對
[35:30] 把相機待續
[35:30] 這次混合策略
[35:32] 這個有放下幾代去
[35:34] 然後前面是沒有這個業配置路的
[35:37] 但是因為我就是
[35:39] 我先我先放這個內容
[35:41] 然後因為因為我要這樣子呢
[35:43] 因為不要讓人家覺得說
[35:45] 這個文章是要賣什麼產品
[35:47] 或是要業配
[35:48] 所以就是讓他單純一點
[35:50] 等到他流量已經起來了
[35:51] 說這時候已經事如過足
[35:52] 不合當
[35:53] 然後趕快把這邊字體流行刪掉
[35:55] 然後再換成你想要業配置路的東西
[35:59] 就這樣
[36:00] 所以這個是我後來把刪掉
[36:02] 換成新的
[36:03] 再加了加了下面這一段
[36:06] 好
[36:07] 然後第二十二招叫做這個順勢而為
[36:10] 順勢而為就是這個報文
[36:11] 報了以後呢
[36:12] 我就會去把字界調成我的內容
[36:14] 比方說我那天可能寫深心理的報
[36:16] 我就寫說我是什麼
[36:18] 字界調成是我什麼
[36:19] 就是最深心理的愛的這個
[36:22] 人
[36:22] 他確實也是事實
[36:24] 然後如果可能那天可能職場
[36:26] 呃可能脆的經營報
[36:27] 就是把字界改成是什麼
[36:29] 是脆的這個
[36:30] 呃呃
[36:31] 達人這樣子
[36:32] 就是這樣
[36:33] 那其實我寫的也是事實
[36:35] 是因為字界一次字寫單一個點
[36:37] 所以那時候很前期
[36:39] 前期開始想要追蹤長快點的時候就會
[36:42] 很認真在經營
[36:43] 就是我如果文章
[36:45] 就有兩告就趕快調整字界
[36:48] 因為我知道大家會去看字界決定
[36:50] 要不要追蹤
[36:51] 那現在因為呃
[36:52] 沒有那麼多時間就就就沒有再調
[36:55] 好
[36:56] 然後這個是後備均原
[36:58] 每篇文
[36:58] 因為脆的每一篇文章都是一個節點
[37:01] 你可以重複利用
[37:02] 按這個就可以取得連結
[37:04] 所以你跑了文章
[37:06] 呃有報文的文章應該要存起來
[37:08] 因為下次他就可以插入在你新的文章
[37:10] 下面的留言
[37:11] 比方說我這邊寫這個
[37:12] 呃
[37:13] 有錢人跟一般人差距是業務人力
[37:16] 然後下面就是我趕快就
[37:17] 把這個後ai時代的另外兩個關鍵能力
[37:20] 這邊就是放在這裡
[37:23] 因為這個就可以重複利用
[37:24] 因為這邊文章原本就是流量很好
[37:26] 所以他放在這邊其實對使用者也是有價值的
[37:29] 你就可以不斷的貢獻使用者價值
[37:33] 這個點進去就會點到這裡
[37:35] 可以從這邊點到說從這邊點
[37:37] 去看看
[37:38] 然後預滿來符比
[37:39] 寫文章的時候就要加上所以這是一個好的習慣
[37:43] 因為你又不知道這邊文章會不會報
[37:45] 所以你先加上去
[37:46] 以後等到報了以後就趕快寫第二篇
[37:48] 就可以插入你的思慾連結
[37:50] 或者是或者是你的產品都可以
[37:53] 那像我有時候先寫
[37:55] 然後先二字二就會寫說
[37:56] 有點累晚上在寫
[37:58] 但是我這邊文章明報了我就不寫了
[38:00] 沒有沒
[38:01] 就沒就沒熱情
[38:03] 這樣子
[38:04] 這樣
[38:05] 好然後這個是第四五招叫隱蛇出動
[38:08] 隱蛇出動就是把球舉給其他KOL打
[38:11] 其他的大神打
[38:13] 讓他們來留言帶流量
[38:14] 然後這邊就是推薦哪些帳號
[38:17] 就我會推薦一堆很厲害的人
[38:20] 他們看到你推薦對他們來說也是加分
[38:22] 因為他們會長粉絲
[38:24] 他也會回來過來留言說
[38:25] 感謝你推薦或是他會留一些話
[38:27] 他這樣子他們整個文章互動率就會很高
[38:30] 基本上是這文章不太可能會
[38:32] 不太可能會沒觸及率或是沒互動率
[38:36] 然後可以點這邊去看
[38:38] 然後第十六招是
[38:40] 要怎麼去變現賣產品的一個好用招數
[38:43] 叫做亂棒打死老師傅
[38:45] 一棒不行
[38:46] 那我打一百棒起步好棒棒
[38:49] 就是
[38:50] 那時候我就日更
[38:51] 因為我知道
[38:53] 寫自己的產品這種有銷售意圖的文章流量一定會比較低
[38:56] 沒關係
[38:57] 一篇文章一千瀏覽
[38:59] 那我就發十篇
[39:00] 那這樣十篇也是一萬
[39:02] 就是你就是一直發一直發一直發
[39:05] 反正脆上面
[39:06] 只要你
[39:07] 但重點還是你這個文章要價值
[39:09] 然後我還是在寫
[39:10] 我覺得有價值的內容
[39:12] 只是因為加入銷售意圖
[39:14] 大家就會覺得不想點贊
[39:15] 或是不想要
[39:17] 不想要分享
[39:19] 所以
[39:20] 這個就是
[39:22] 一拳不行就多出幾拳
[39:24] 然後最後一招就是
[39:26] 這個鄉村包圍都市
[39:28] 這個就是
[39:29] 像說要宣傳課程的時候呢
[39:30] 就會跟
[39:32] 請很多朋友幫忙推薦
[39:33] 那他們可能不一定有辦法成交
[39:35] 但是
[39:36] 就會讓整個氣氛可以炒熱
[39:38] 然後也會讓你的這個人見度提高
[39:41] 比方說像菊米最近他就是
[39:43] 就是我
[39:43] 我很
[39:44] 我可能
[39:44] 某篇東西有提到菊米
[39:46] 然後菊米就幫我分享說
[39:48] 哇
[39:48] 這個
[39:49] 感謝世風老師
[39:50] 然後我就看到他轉帖
[39:52] 我在轉帖一次
[39:53] 我說感謝菊米
[39:54] 然後菊米當然還可以在轉帖說
[39:56] 感謝世風
[39:57] 不用轉帖一次
[39:58] 我在轉帖一次
[39:58] 我在感謝一次
[39:59] 感謝菊米
[40:00] 要轉帖一次
[40:01] 那就是無限循環這樣
[40:02] 那就
[40:03] 反正
[40:04] 就是脆上面只要寫的文章是
[40:06] 有品質的就會有基本的觸及
[40:08] 然後下面就是這些很多人
[40:10] 就是祥春包圍都市
[40:11] 大家一起包圍都市
[40:13] 這樣子
[40:15] 就是你要去
[40:16] 管節善源的原因就是這樣
[40:18] 就是大家互相推生
[40:20] 好
[40:20] 最後就是約法三章
[40:22] 告訴使用者你會持續說這件事情
[40:24] 這就像列了裡面的庫拉比卡
[40:26] 他去跟
[40:27] 那個心臟簽訂契約以後
[40:29] 大家就知道說
[40:30] 哦
[40:31] 你現在
[40:31] 很
[40:32] 嗯你會遵守這個約定
[40:34] 那
[40:34] 你我會給你相對應的這個好處
[40:37] 那這個御師就是做得很成功
[40:38] 他是每日一帖
[40:40] 直到我買下整層律師樓
[40:42] 聽起來很厲害
[40:43] 而且他真的每日都發他的美照
[40:45] 所以
[40:45] 你心裡就會有期待感
[40:47] 然後就會一直
[40:48] 嗯
[40:49] 去追
[40:49] 你看會追蹤他
[40:50] 然後你也會看到他的文章
[40:51] 就會去看一下
[40:52] 因為你知道他又要發美照
[40:53] 然後他有承諾
[40:54] 他說他真的每日一帖
[40:56] 他真的還
[40:57] 我看好像真的是
[40:58] 信呼每日一帖很屌
[41:01] 對
[41:01] 那你持續做這件事情
[41:03] 遵守約定
[41:04] 但是不要發現在無聊
[41:05] 還有什麼
[41:06] 每日分享的財務之四
[41:08] 可能沒人想看
[41:10] 對
[41:14] 好
[41:15] 這個策略的講完了
[41:18] 下一頁
[41:20] 好
[41:20] 最後要講到變現
[41:21] 變現也是這個
[41:22] 大家其實最最
[41:23] 不知道到底要怎麼做的
[41:25] 然後其實這個概念
[41:26] 如果你前面的東西
[41:27] 都有做好的話
[41:28] 其實變現
[41:29] 就是一個
[41:30] 呃水道取成
[41:32] 只需要最後跟你講一個訣竅
[41:34] 那就是
[41:35] 第一個是公寓要轉到思慾的概念
[41:37] 再來是
[41:38] 變現的工具有哪些
[41:40] 最後是假設你可能想要採用一個
[41:43] 可能主動開發策略的話
[41:44] 有沒有一些
[41:45] 方式可以去做
[41:49] 好
[41:50] 下一頁
[41:52] 好下一頁公寓轉思慾
[41:53] 為什麼要公寓轉思慾呢
[41:57] 公寓是思慾是什麼
[41:59] 我相信很多人可能不一定很懂
[42:00] 社群平台
[42:01] 就是一個公寓
[42:02] 公寓就是思慾
[42:04] 就是公開領域
[42:05] 公開領域的時候人很多
[42:07] 然後每個人助力都很分散
[42:09] 這時候你的目標應該是要去
[42:11] 呃增加你的流量
[42:12] 然後去盡可能增加你的目標受眾
[42:15] 那這時候不適合在這邊去講一些
[42:17] 太深入的東西
[42:18] 不太專業的東西
[42:19] 那如果這些人他對你有興趣的話
[42:22] 你應該就要邀請他去
[42:24] 加入你的思慾
[42:25] 這就像是說你派
[42:26] 你去派對認識的很多新朋友
[42:28] 那你可能要深入認識
[42:29] 你要一對一約出來談
[42:32] 所以
[42:33] 這時候到思領域
[42:34] 思領域的時候他就是會比較穩定
[42:36] 可以接收到你的訊息
[42:37] 比方說他加入你的Light
[42:40] 或者說他加入你的電子報
[42:42] 那他就可以穩定接收到你的訊息
[42:44] 那這時候你就可以持續的去
[42:46] 發信給他跟他溝通
[42:47] 而不會說他每次
[42:49] 一次看到一次沒看到一次
[42:50] 看到一次沒看到
[42:51] 這樣你當然不可能跟他
[42:53] 去變現或成交啊
[42:55] 所以就是這個概念
[42:57] 好
[43:00] 好公寓轉思慾就是
[43:01] 如果你今天不趕時間了
[43:03] 你率先公寓轉思慾
[43:05] 那就是軍師的
[43:07] 策略吧一乾盡動
[43:09] 在報文的下面
[43:10] 其實你就要去
[43:11] 把大家去導入你的思慾
[43:14] 對這個就是
[43:15] 你就有機會跟他持續溝通
[43:17] 然後持續去貢獻價值給他
[43:19] 最後他累積性能感
[43:21] 到一個程度足夠以後
[43:22] 他就會覺得說
[43:23] 你不會去欺騙他
[43:24] 他可能就願意跟你去做價值交換
[43:26] 買你的產品
[43:28] 那可是因為我在推線上課程的時候
[43:30] 時間很趕
[43:32] 就是很臨時這樣子
[43:33] 就是突然決定要推
[43:35] 來不及轉
[43:36] 所以就趕時間的話就是
[43:38] 只好用這個下測
[43:40] 下測就是
[43:41] 直接直球對決
[43:43] 直球對決就是
[43:44] 我直接
[43:45] 直接用那個亂棒拿食老師傅
[43:47] 一直狂發然後
[43:48] 然後最後實驗出一開始的
[43:50] 一開始的時候
[43:52] 不確定一開始想說我是要把那個
[43:54] 課程連結放在留言
[43:55] 後來發現其實
[43:56] 這時候就是直球對決
[43:57] 直接放在上面
[43:59] 因為你放在留言的話
[44:00] 那個轉換率會掉
[44:01] 那這時候就直接
[44:02] 反正不管怎麼樣
[44:04] 這個轉換率都已經
[44:05] 你沒有銷售意圖的話
[44:07] 流量都已經
[44:08] 他的那個觸及率都已經比較低了
[44:10] 所以這時候就直接直球對決
[44:12] 然後就直接連結
[44:13] 直接放這邊比較快
[44:14] 然後
[44:16] 你就發夠多就好
[44:18] 然後地均
[44:18] 這時候就是你要持續
[44:20] 這時候就是要持續把地均了
[44:22] 地均要佔七成
[44:24] 七成就是你要一直寫專業的東西
[44:26] 因為你這時候已經要提供產品
[44:27] 也必須讓人家知道
[44:28] 你真的是有料還是沒料
[44:30] 他才有辦法去
[44:32] 決定他要不要下一個決策
[44:34] 那最後
[44:34] 可是最後還是要回到情感
[44:36] 情感就是海軍
[44:38] 你寫你的真實的情感
[44:39] 才有辦法去成交或是去轉換
[44:41] 因為人都是情感的動物
[44:43] 理性上知道ok
[44:45] 還是必須要感情
[44:46] 以上可以接受
[44:47] 所以就地均七成
[44:49] 海軍三成
[44:50] 直球對決
[44:51] 但是你的文章必須要提供
[44:53] 還是必須要提供價值
[44:54] 這才是最根本的東西
[44:57] 好那這邊也是
[45:00] 在銷售的時候
[45:01] 另外一個策略叫做重心
[45:02] 也是採用重心公約
[45:03] 這時候那個
[45:05] Danny他也是分享一篇
[45:07] 但是因為他這個可能也是有銷售預讀
[45:09] 所以流量也都會比較低
[45:11] 雖然他已經寫得很好
[45:12] 那這時候你就看到說
[45:14] 怎麼又有七個分享
[45:15] 是誰呢
[45:16] 而全部都是我
[45:17] 對
[45:18] 一直分享把全部流量灌到這篇這樣子
[45:21] 對
[45:24] 好
[45:25] 最後是思慾
[45:26] 思慾有哪些思慾可以去用
[45:29] 思慾的核心精神就是你要
[45:30] 有辦法持續去跟你的受眾去溝通
[45:34] 你爸持續去跟他傳遞價值
[45:37] 所以你會降低每次的宣傳的壓力
[45:39] 你可以專注在你的內容本身
[45:41] 這時候你可以就可以寫些相對比較專業的東西了
[45:44] 而且可能不用再
[45:46] 在提供那些東西
[45:48] 你會覺得
[45:49] 你會覺得
[45:50] 你會覺得
[45:51] 你會覺得
[45:52] 不用再
[45:53] 在提供那麼高的情緒價值
[45:56] 因為你可以專注在內容本身
[45:58] 那有哪些思慾可以用推推薦大家去用電子報
[46:01] 我覺得電子報是未來可能
[46:03] 五年的趨勢
[46:04] 就是因為像我電子報開心率都到在
[46:07] 70%就是相對廣告可能只有10%
[46:10] 算是非常的高
[46:11] 然後很推薦用這個傻不得
[46:14] 因為傻不得是國外目前最大的電子報免費的
[46:17] 他唯一
[46:19] 他比較麻煩的地方是他的收費需要外國的帳戶
[46:22] 可能你要去找你的國外的朋友去幫你收錢再轉給你
[46:25] 再來就是說如果有人他
[46:27] 要付費訂閱電子報的時候他會抽成
[46:30] 但是前面都免費
[46:31] 所以就不會有什麼壓力
[46:33] 那其他的電子報也可以用
[46:34] 就是看你個人的需求
[46:36] 我目前自己是用需要付費電子報一個月以前
[46:39] 搞得我壓力很大這樣子
[46:41] 對
[46:41] 好 第二個是網站
[46:43] 網站的話其實就是
[46:44] 我覺得比較不是那麼推薦
[46:46] 因為網站就是你要靠SEO
[46:48] 但是網站好
[46:49] 就是他今天如果他到你網站之後
[46:52] 他可能會去可以看你很多的文章
[46:54] 全方位的認識你
[46:55] 所以如果建議是你要認真做自媒體的人
[46:58] 還是要建一個自己的網站
[47:00] 然後有需要可以
[47:01] 我可以協助建制網站
[47:03] 好
[47:04] 然後再來就是
[47:06] IG好很多其實人次推薦說你要把
[47:09] 你要在IG上面
[47:10] 你他私語就是IG
[47:12] 但是其實我覺得IG其實不是那麼好
[47:14] 因為IG他其實也是根據
[47:16] 馬克主克伯格的演算法
[47:19] 所以你雖然有人他去IG追蹤你
[47:21] 可是你也無法確定他是不是會
[47:23] 看到你的文章
[47:24] 但是基本上機率上會比脆高一點
[47:28] 然後我這邊整理了用脆晶銀IG
[47:30] 用脆晶銀品牌IG
[47:32] 要怎麼經營好的
[47:33] 那一些整理的推薦的帳號可以去看
[47:36] 然後除了電子報以外最推薦的
[47:38] 就是官方帳號
[47:39] 或是官方的社團
[47:41] 或是社群
[47:43] 就是有讓他加入一個群組
[47:45] 基本上補輸會的
[47:46] 他們有報名的話
[47:48] 我都會讓他們加入補輸會的群組
[47:50] 這樣就會讓我後續宣傳壓力會比較小
[47:52] 因為我已經可以持續跟他們溝通
[47:55] 這樣子
[47:56] 所以這個就是你要變現的話
[47:57] 你就是必須要一律全部是
[47:59] 平常就要累積你的私語的流量
[48:02] 會比較
[48:03] 不會讓你壓力那麼大
[48:04] 或是純粹要靠臉書廣告
[48:08] 好
[48:09] 那有哪些產品可以變現呢
[48:10] 這邊也是幫大家想一些產品給大家參考
[48:13] 第一個是
[48:14] Media上面是可以現在可以開營利工人
[48:17] 就是你寫的好文章的話
[48:19] 他就可以去分論
[48:20] 那這邊我寫一篇報文
[48:23] 在Media上面超報
[48:25] 然後這邊文章就是
[48:26] 2024你要怎麼加入Media and partner
[48:28] 所以你可以把Media當中
[48:29] 你的是一個變現的產品
[48:31] 從粹上面導流量過去
[48:33] 我自己是這樣子做的
[48:34] 然後證實是有效
[48:36] 累得到錢
[48:37] 然後第二個是數位產品
[48:39] 這個是比較經典
[48:40] 比較多人在用的方式
[48:41] 就是用電子書啊
[48:43] 或是你的
[48:44] 呃付費的軟體啊
[48:46] 或是你的線上課程啊
[48:48] 那我最推薦台灣最推薦
[48:50] 我是覺得可以用這個
[48:51] 傳送門
[48:52] Potterly
[48:54] 大家可以到收學去搜尋
[48:55] 這個東西我覺得上面可以直接
[48:58] 去用導金流
[48:59] 你可以在上面直接買你的產品
[49:01] 是一個蠻好的
[49:02] 去建置數位產品的一個平台
[49:05] 那其他的很多方式
[49:07] 只要你可以
[49:08] 去賣都可以
[49:09] 好
[49:09] 組織行銷也是一個好方式就直銷
[49:12] 呃組織行銷就是你
[49:13] 這些人可能他們對你興趣以後
[49:15] 他可能會想要加入你的
[49:17] 組織或是買你組織的產品
[49:19] 那你就可以把這些油量變現成
[49:22] 這個呃收入
[49:23] 或是實際事業上的增長
[49:25] 然後最後其實也是一個
[49:27] 呃所有小白都可以用的
[49:29] 就是實體組物
[49:30] 你可以提供一個專業的資訊
[49:32] 像是塔羅派
[49:33] 或是幫他算他的詹心
[49:35] 或是你跟他說我我來呃
[49:37] 給你一對一顧問一小時
[49:38] 然後我們收費是多少
[49:40] 那如果你的粉絲不多的話
[49:42] 建議你的這個貸服務
[49:43] 就是要提供一個呃
[49:46] 比較沒有壓力的入門款的價位
[49:48] 因為這樣子可以讓你有辦法快速去實驗
[49:51] 知道你現在的問題說在哪裡
[49:53] 如果你定價定十萬可能十年才成交一個
[49:56] 那就永遠都很難去修正
[49:57] 到底你的問題在哪裡
[49:59] 所以就是產品給他一些推薦
