[00:00] 時間很寶貴
[28:22] 就是不要給勞他說
[28:24] 他說其實
[28:26] 廣告業的一個成功模式就是
[28:28] 你找到一個東西有效的話
[28:29] 你就一直試一直試
[28:30] 試到沒效為止
[28:32] 所以試到沒效為止
[28:34] 沒效為止
[28:35] 你看我這邊我留言是打說
[28:37] 直到不行為止
[28:38] 因為我就是學到這個精髓
[28:40] 你找到一個成功的方式以後
[28:42] 拜託你不要給勞去改他
[28:44] 因為你根本就不知道你為什麼成功的
[28:46] 社群媒體的演算吧
[28:48] 我們用
[28:48] 沒有
[28:49] 我們又沒有看到他現規則
[28:51] 所以我們
[28:52] 老實說你在做行銷
[28:54] 或是你在做業務
[28:55] 你有時候成功你根本不知道為什麼成功
[28:57] 你去教
[28:58] 你去教課你只是整理你成功的方法
[29:01] 但是你根本不知道你怎麼成功
[29:02] 所以你不要去
[29:04] 改理成功的方法
[29:05] 你可以去嘗試發明新的成功方法
[29:07] 那不要去
[29:08] 不要去改他不要去給勞
[29:10] 那這個就是很多人
[29:12] 就很會
[29:12] 很會給勞
[29:13] 尤其是
[29:15] 這個
[29:16] 尤其是越不懂的
[29:17] 越不懂社群媒體的人越給勞
[29:20] 對他就是越不懂的
[29:21] 他就越說我要發什麼
[29:22] 我要發什麼發什麼
[29:23] 我就說不用
[29:24] 照我
[29:24] 照我跟你講的
[29:26] 去做就好了
[29:27] 對
[29:27] 然後你照我講有做有效
[29:29] 你就維持
[29:30] 這樣子
[29:30] 那你可以去維持
[29:32] 同時你去發明新的
[29:34] 對
[29:34] 這就是這樣
[29:35] 那我給大家看一下說
[29:36] 到底是哪一篇文有效
[29:37] 其實那篇文也非常的
[29:39] 沒有什麼技術含量
[29:41] 但是
[29:42] 可能其他人就是想不出勞
[29:45] 對啊今天我們直播的東西
[29:47] 請大家
[29:48] 這個
[29:49] 不要截圖分享
[29:50] 因為有些是可能
[29:51] 我覺得可能
[29:53] 雖然也沒有什麼
[29:53] 沒有什麼問題
[29:54] 但是我覺得就是可能
[29:55] 不要流傳太多
[29:57] 不然可能會被人家有新的事
[29:58] 哪來利用這樣子
[30:00] 好那這就是
[30:01] 我就幫他試嘛
[30:03] 我就寫說那個互追文
[30:04] 把他放大一點
[30:05] 不知道為什麼那麼小
[30:07] 互追文
[30:08] 就是說哎我說願這個演算法
[30:10] 幫我認識下面這群
[30:12] 對但是互追文
[30:13] 有一個問題就是
[30:15] 很多互追文就是
[30:17] 呃
[30:17] 就是複製文
[30:19] 然後他其實也毫無道理
[30:22] 這毫無道理要複追
[30:24] 但是我
[30:25] 我在發這個是有策略的
[30:27] 因為他這個平台就是一個
[30:29] 幫助
[30:30] 這個創作者去
[30:32] 接店家的任務的這個平台
[30:36] 所以我是真的需要找這些店家
[30:38] 合作
[30:39] 然後我我的產品是真的對這些人
[30:42] 是有曝光價值
[30:44] 其實他們也需要這個產品
[30:46] 只他們不知道
[30:47] 所以我下面其實這些補充的
[30:49] 文字其實都是
[30:51] 我認為是
[30:53] 就是是
[30:54] 有明確說明為什麼要互追的理由
[30:58] 那這篇文其實他原本之前是
[31:00] 沒有半篇
[31:02] 他沒有半篇文他只有一篇
[31:04] 那這個感覺是
[31:06] 哎不知道是ig聯動的
[31:08] 反正只有一篇
[31:09] 那我發了第一篇文就是破了
[31:12] 破萬追的理由
[31:14] 然後十一萬二還是十二
[31:16] 一萬二吧
[31:17] 下面很多留言
[31:23] 所以我發現這個模式有效之後
[31:25] 我會跟他們講說我會維持這個模式
[31:28] 對雖然這個貼文可能本身很簡單
[31:30] 可是
[31:31] 嗯你你今天可能有
[31:33] 雖然就是想不出來
[31:34] 好那我第二天就繼續發
[31:36] 但是我第二天我就改成
[31:37] 不同的店什麼蛋糕店麵包店素食店咖啡店
[31:41] 所以我是不是還是用同一個成功模式
[31:43] 沒錯啊但是
[31:44] 他互他互動也還ok啊33個人互動
[31:47] 然後接下來我就發了一篇
[31:49] 比較偏海軍的
[31:51] 或是比較偏空軍的文章
[31:54] 這應該是比較偏
[31:56] 比較偏像是空軍啦
[31:58] 對所以這邊文章效果也還行
[32:00] 對
[32:01] 然後接下來我也發了一篇其他的
[32:03] 但是接下來我就繼續再發
[32:05] 我發現改成是
[32:07] 帶我認識高雄的店家
[32:09] 然後我加一句高雄朋友幫忙
[32:11] 然後我還加一個這個
[32:13] pitch take
[32:14] 但下面都完全一樣
[32:15] 然後這邊文效果也非常好
[32:17] 單篇文的追蹤數字看一下
[32:19] 基本上都破
[32:21] 然後都破6050 60以上
[32:25] 哎哦
[32:27] 呃馬上他這
[32:28] 現在這個帳號還不能看
[32:30] 他的單篇貼文的分析
[32:33] 因為現在催他們是就是有些長
[32:35] 很多功能就是
[32:36] 有些帳號有有些帳號沒有
[32:38] 這個不是你看
[32:38] 但這邊我印象中就是
[32:40] 破了50 50 60的追蹤
[32:42] 100個追蹤以上
[32:43] 然後效果非常的好
[32:46] 所以我後面
[32:47] 後面基本上我也
[32:49] 同樣模式我一直
[32:50] 自己是吧
[32:51] 我這邊都發台南的
[32:52] 我台南特別多人
[32:53] 104個
[32:54] 那我會發到什麼時候呢
[32:56] 我發到死
[32:57] 發到沒有效為止
[32:59] 對我就一直發
[33:01] 我管他了
[33:01] 但是我會去改
[33:03] 就是我要讓這個成功模式他不要
[33:05] 我不要是人家覺得我在複製
[33:07] 完全一樣的
[33:08] 但是
[33:09] 這個模式可以的話
[33:10] 就要讓他執行不同的任務
[33:13] 大概是這樣
[33:15] 所以這個就是
[33:17] 一個精髓
[33:19] 好
[33:22] 善意
[33:26] 重點一下
[33:27] 我脆了他的
[33:28] 不是這個
[33:29] Gama的那個
[33:30] 有時候會卡卡的
[33:32] 好那我們今天
[33:34] 我們今天會留待
[33:36] 20分鐘
[33:36] QA
[33:37] 然後幫大家看一下大家的注意力的狀況
[33:42] 好
[33:42] 然後可能看一下有限的帳號的問題
[33:45] 對好
[33:45] 那第二個是發酵
[33:47] 就第二個階段
[33:48] 剛剛講的第二個階段
[33:49] 那第二個階段
[33:51] 呃最重要重點就是你這時候就要開始去打造你的雙軌
[33:54] 雙軌的制度
[33:57] 然後連冷射跟機器的互動
[33:59] 這些等一下我都會
[34:01] 呃
[34:01] 用些範例給大家看
[34:03] 對但是其他都不要
[34:05] 有些
[34:07] 呃
[34:07] 反正今天的內容你不要去
[34:10] 截圖外流
[34:11] 那你分享的話我覺得是
[34:13] 分享的話是ok的
[34:14] 因為有些我覺得稍微比較偏
[34:17] 模糊地帶怕有新人是會覺得
[34:19] 不開心或是覺得
[34:20] 來操作這樣子
[34:21] 那我跟因為今天是大家都是陪跑客學的
[34:24] 所以我就是
[34:25] 講一些更
[34:26] 和聖的
[34:26] 我的秘密的東西
[34:28] 讓你們知道
[34:29] 讓你們就是更快可以
[34:31] 受力這樣子
[34:33] 好
[34:35] 看一下哦
[34:36] 對這個剛剛都講這其實就是剛剛講的就是我們主線要穩定
[34:40] 但是你不要玩主線穩定的時候其實你不要
[34:43] 完全一樣可以去變化一些微調
[34:46] 然後再來就是你要去用你要去發展出你的
[34:49] 什麼叫雙軌制就是你要發展你第二個成功的
[34:52] 模式
[34:54] 對就是你要去寫你可能第二個成功的模式
[34:57] 所以我也得以剛剛的那個賬號去做示範
[35:01] 你要說我發了那個以後我為我再發其他東西
[35:04] 其實是有發其他東西
[35:07] 我
[35:09] 原本
[35:10] 也有
[35:11] 像這一篇是我直接轉KIG
[35:13] 就沒效
[35:14] 因為我就我就發現說
[35:16] 因為我這邊是直接用ig轉K過來的
[35:18] 而且那個內容是別人
[35:20] 就發現說其實這種東西好像也算吧
[35:22] 的效果是很差的
[35:24] 就我就我就不用
[35:26] 就發一次而已
[35:27] 但我也沒有去散問
[35:30] 到最近就是在實驗一個東西我就發現說
[35:32] 哎這種標註這種
[35:34] 這種零光筆的這種東西
[35:36] 我就站在我說我今天是脆的官方的立場
[35:39] 因為這東西我已經看到蠻久
[35:41] 大概
[35:42] 出來一個多月
[35:43] 然後前面都不想用我就覺得說幹我用轉貼用的好好的
[35:47] 突然加個零光筆
[35:48] 我就不想用啊幹要幹
[35:50] 那我後來就是我就轉
[35:51] 轉一個面頭想一想看說
[35:54] 哎假如我是
[35:55] 今天我是脆的那個公司
[35:57] 我現在推出一個新功能確定要推出的話
[36:01] 我會不會去獎勵這個
[36:03] 有用這些功能的
[36:04] 然後我的答案是會
[36:06] 所以我就好就最近開始積極用這個功能
[36:09] 那我發現效果其實真的還不錯
[36:11] 我發現他們可能是演算法
[36:13] maybe是有在
[36:14] 獎勵這個他們的新功能
[36:16] 這怎麼用呢
[36:18] 用手機版的話這邊會多一個標註
[36:20] 你就是標註以後就可以在這邊換零光筆
[36:23] 所以這功能我就開始去用
[36:25] 然後這個模式我發現其實也蠻Walker的
[36:28] 所以我就發現一個新的模式就是
[36:30] 我一篇文章爆了之後
[36:32] 我接下來隔兩三天
[36:33] 我再來自己highlight一次
[36:34] 我再分享一次
[36:37] 然後還是可以賺個34000的流量
[36:39] 有染率
[36:40] 而且很多人在這邊留言
[36:42] 所以我就找到其他的成功模式了
[36:45] 然後還有一個功能是
[36:47] 最近推出這個
[36:49] 他現在你只要有加hash tag的話
[36:51] 你都會標在這裡
[36:53] 非常然後用手機的話其實非常的顯眼
[36:56] 顯眼到不行
[36:57] 那我發現這個東西其實還蠻
[37:00] 對我在操作這個帳號蠻有利的
[37:02] 因為很多的
[37:03] 我的帳號
[37:04] 這個帳號的受眾很多人
[37:06] 他們就是想要找店家
[37:07] 互惠合作
[37:09] 或他們就是想要創作者來曝光
[37:11] 所以我就直接在那邊寫
[37:13] 我也不會去寫一些奇奇怪怪的東西
[37:15] 比方說像是
[37:16] 嗯
[37:18] 什麼寶可夢抓寶
[37:19] 那他真的誰知道
[37:22] 就是那
[37:23] 沒有人知道你寶可夢抓寶要幹嘛
[37:25] 你可能覺得你這樣很有創意
[37:27] 但沒有人知道你要幹嘛
[37:28] 那我就是寫的很明確
[37:30] 我就寫說找創作者
[37:32] 不然我就是寫說互追曝光
[37:33] 那互追曝光大家
[37:35] 不管我內容打什麼
[37:36] 大家就開始按讚追蹤留言
[37:38] 然後他就知道他就想要跟我互追曝光
[37:40] 所以我就發現這個功能也是一個
[37:42] 成功模式
[37:44] 所以這些都是我去嘗試的成功模式
[37:48] 那再來就是
[37:49] 呃
[37:50] 等一下
[37:53] 然後這邊這邊就是也是前幾天要寫的
[37:55] 因為是10萬標籃
[37:57] 這邊
[37:59] 這邊以文字來說會不會很困難
[38:02] 其實老實說啊
[38:03] 你寫這段話大概花你
[38:05] 兩秒鐘
[38:07] 就兩秒鐘的小
[38:09] 但是你要想的到這篇文章
[38:11] 你要想的到說你這個帳號你要配這篇文章的話
[38:14] 老實說也沒那麼容易
[38:16] 如果用超的當然ok
[38:18] 但是我是完全是自己想的
[38:20] 對所以
[38:21] 簡單來說就是
[38:22] 我會去幫大家想一些成功的模式
[38:24] 那你們其實你們就是要去
[38:27] 好好地去執行你們的配套作業
[38:29] 那我在社團裡面會去更新
[38:32] 還是編文上就是我試出來的一個成功模式嘛
[38:35] 下面
[38:36] 真的超誇張多了
[38:38] 而且每個人都
[38:39] 超有趣的
[38:40] 在想說他們髒話是活下來的
[38:43] 因為我說我立志成為沒核電家的什麼
[38:45] 然後請他們類似都說你你接龍幫你曝光
[38:49] 所以以他們心理學來說他就覺得說他留言是
[38:52] 不是在幫我曝光他是在幫他曝光
[38:55] 可是實際上還是
[38:56] 實際上也沒錯啦他也曝光到他
[38:58] 但他也他們也集他們的力量曝光到我
[39:02] 所以這是我的策略
[39:04] 好
[39:05] 所以我這邊
[39:06] 我這邊就是有一個字頂
[39:07] 然後下面就他們每個都是立志成為
[39:12] 立志成為那個全台灣少見的
[39:14] 這個
[39:15] 哇好多好多啊
[39:17] 多到爆
[39:19] 對
[39:20] 所以這個就是
[39:22] 剛講的說你先有個成功策略之後你就可以去試
[39:25] 試第二個成功策略
[39:27] 因為假設
[39:28] 以我幫客戶代曝的話我一定要確保
[39:31] 我可以做到基本KPI嘛
[39:33] 可是我想要做到佐越
[39:35] 所以我一定要有個策略是ok的我就持續用
[39:38] 那這樣子我就娛力去
[39:40] 娛力娛力去那個
[39:42] 去試新的策略
[39:45] 我這個超紅的
[39:46] 我媽家我不要創業
[39:47] 他們也來留言
[39:49] 對所以這就是大家心理壓力
[39:51] 這樣可以去做
[39:54] 自己的策略
[39:55] 然後也就可以成功
[39:58] 那我會我會去跟大家
[40:00] 定期去更新
[40:02] 所以這個是這樣大概是這個
[40:14] 這一頁的話就是我覺得大家可以去看
[40:17] 反正他就是一些你要怎麼去
[40:19] 持續調整優化的重點但這個這也有我覺得我就不細講
[40:23] 因為案例我還沒有加好
[40:26] 那最後就是要講
[40:27] 就是
[40:28] 在發酵的階段的第二個重點
[40:32] 就是你要開始去打造你的人設
[40:35] 打造人設的重點是其實我覺得這個也是很多人
[40:39] 做的不夠好的地方
[40:41] 比方說就是很多人他們會一直去轉貼
[40:45] 那種
[40:46] 痾
[40:47] 雞湯紋好了
[40:49] 我不知道這樣用別人帳號來示範會不好
[40:52] 但是因為今天這個也不會錄
[40:54] 所以應該沒差吧
[40:57] 看一下
[40:58] 好我不要我就直接用水雞滑的好了
[41:01] 這樣比較不會說我好像
[41:02] 特意針對
[41:03] 針對神好可怕
[41:15] 那水雞水雞出現因為現在開了
[41:17] 開了Gama跟那個以後變得有點慢
[41:20] 我張號被封了為什麼也是
[41:22] 同時不行
[41:23] 好再試一次不行就算
[41:26] 好有了有了
[41:28] 看一下
[41:31] 真的變得比較慢一點
[41:33] 但沒關係
[41:34] 稍微看一下
[41:43] 我覺得像是
[41:48] 像是這種文章就是偏向是有點
[41:57] 比較是空軍空軍類型的文章
[41:59] 空軍類型的文章其實你也不需要觀點輸出
[42:02] 你只要就是讓大家覺得說很共鳴
[42:05] 我說
[42:06] 催上有優優感的時候
[42:07] 什麼突然爆了
[42:08] 然後什麼今天七百追蹤了
[42:10] 或者我今天一千追蹤了
[42:12] 或者說什麼你開始沒看很正常
[42:14] 重點是要持續努力
[42:16] 然後持續放大你的優勢
[42:18] 這個就是
[42:19] 我覺得偏向是一種雞湯類型
[42:22] 他比較沒有什麼辨識度
[42:23] 但是會有很多人幫你按讚
[42:25] 這是沒問題的
[42:27] 對
[42:29] 那種也是
[42:30] 空軍的類型
[42:31] 他就講一些生活小敘事
[42:34] 對
[42:35] 但是這種文型文章我覺得就是
[42:37] 呃
[42:38] 他比較沒辦法塑造你一個比較強
[42:40] 強比較強的冷色
[42:42] 那比較強的垃圾就是你對一件事情
[42:44] 你有
[42:45] 你有很明確的觀點
[42:47] 而且這觀點可能甚至
[42:48] 甚至是這觀點跟別人的不一樣
[42:51] 那這種觀點就可以去寫
[42:54] 而且也會讓人家覺得這個人
[42:55] 很真實
[42:57] 那
[42:58] 這個的話其實像我
[42:59] 我在做這種代操的時候
[43:00] 其實有時候會遇到一些困難
[43:02] 也像說像我寫
[43:03] 我代操的帳號他是一個
[43:05] 那個在細谷創業的
[43:07] 創業的人然後一年賺好幾百萬
[43:10] 就是
[43:11] 很多個百萬這樣子
[43:13] 那我就寫
[43:14] 我就想要把他寫說什麼
[43:16] 我們放棄了百萬年薪
[43:18] 不想要回來台灣創業
[43:20] 然後那他他就他就會把他後來就
[43:23] 我後來發來後來緊急把我這個文章刪掉
[43:25] 我就想說幹
[43:27] 那小
[43:27] 那但是以他的立場還都覺得說
[43:30] 他們可能有個團隊
[43:32] 然後他不想把光芒集中在他身上
[43:34] 就會他會有這種包袱
[43:36] 所以我就跟他說好
[43:37] 那你這個之後你就自己多寫
[43:39] 那我站在
[43:41] 我在顧問的角色去跟你講
[43:43] 因為我幫你寫的話你可能覺得不好
[43:46] 那你自己寫寫看
[43:47] 我看你有量可以寫多高
[43:49] 所以像你們是自己操作自己的帳號的話
[43:51] 你們就是可以把這心理包袱
[43:53] 直接放掉
[43:55] 然後你們也會比較靈活
[43:56] 你就可以去寫一些你自己的
[43:58] 這個
[43:59] 真實的故事跟
[44:01] 有情感連結的
[44:02] 那我還是
[44:04] 我剛剛操作那個帳號來舉例好了
[44:06] 這樣可能會比較清楚
[44:10] 像我這邊寫完之後我就開始去
[44:12] 這個也是片空軍的
[44:13] 這是片空軍的
[44:15] 那我可能操作一個禮拜之後
[44:17] 就開始去寫一些
[44:19] 自己的事情
[44:21] 然後說我就是寫說這個餐飲業真的很辛苦啊
[44:24] 然後他
[44:24] 我從從這個戲國回來後發現
[44:28] 有什麼問題
[44:29] 所以立志要做什麼東西
[44:31] 這其實就是開始寫一些
[44:33] 自己的想法跟故事
[44:35] 那因為這篇我知道這個詩會報
[44:37] 因為我之前就已經報過了
[44:39] 我已經寫了一年
[44:41] 我之前就報過了
[44:42] 所以我都是我自己抄襲自己的都會報
[44:45] 所以
[44:45] 我在這個帳號寫這樣太報了
[44:49] 那這邊就是開始寫說一些比較那種心情類的
[44:52] 就是說創業開店
[44:54] 當老闆的不容易啊什麼的
[44:56] 這篇也是會報
[44:58] 那這種就是比較偏向是寫你自己的故事
[45:00] 跟你自己的
[45:01] 比較一些那種感情共鳴的
[45:05] 對
[45:06] 所以這個大概是去打造你們的很色
[45:09] 你可以去
[45:10] 開始當你去找到一個成功模式
[45:12] 因為初期可能我是要
[45:14] 追蹤或是我是要流量
[45:16] 可是當這東西他到一個地步之後
[45:18] 我就要開始去寫自己的故事
[45:20] 就算那個東西沒流量我還是要照寫
[45:22] 沒有東西就是我要讓這些可能
[45:25] 很常會看到文章的人
[45:27] 他們對我這個人有印象
[45:29] 而不是只對我
[45:31] 這個寫的這種雞湯的這個格式有印象
[45:33] 我要讓他就是好奇我是誰
[45:36] 我要讓他就是知道說
[45:37] 哎我也是一個活生生的一個人
[45:39] 所以我會去寫專業以外的東西
[45:44] 好那最後就是這個也是在講海軍啊
[45:47] 就是剛剛在講的海軍的東西
[45:50] 這個是偏冷色的
[45:51] 那我們後面再講細一點好
[45:54] 好照冷色互動
[45:58] 好我們講那個互動
[46:01] 這個互動就是講說你
[46:03] 因為像我初期的時候
[46:05] 我也是以那個張浩為例子
[46:10] 像我初期的時候呢
[46:12] 我只要有文章有量好
[46:14] 我都會非常的
[46:16] 呃非常的認真的回覆
[46:19] 就是比方說太多了
[46:22] 有些來不及回但是
[46:25] 我前面都很很認真回
[46:28] 反正有人有力就會回
[46:30] 我按按鈴然後留言回
[46:32] 我發現這個東西對你
[46:34] 對你的本色擴散出去其實是很有效的
[46:37] 所以這種文章即使他是超多人
[46:39] 我都會回說哎彬其林店也很讚
[46:41] 想看照片然後他我會再右老
[46:44] 他回下下一個
[46:45] 我說想看照片他就會再回他照片
[46:48] 所以就變成是一來一回的
[46:50] 一直在一直在發
[46:51] 如果他們沒發照片我就會請他
[46:53] 就是說回補個照片
[46:56] 那這個是以這個帳號的這個性質
[46:58] 可以適合這樣子做
[46:59] 大部分都會回
[47:00] 那都想看照片啊我剩單7分
[47:02] 偷偷問有照片嗎
[47:04] 他就回了
[47:05] 對所以這個就是會讓你的文章
[47:08] 第一個是前面的
[47:09] 因為其實以我
[47:11] 我現在對社群了解
[47:14] 其他會有時候把社群媒體當作是一個數字
[47:17] 或是把他把對方當成是一個陌生的
[47:20] 可是當你把對方當成一個陌生的時候
[47:23] 他就更把你當成一個陌生了
[47:25] 那你把你把他當成數字的時候
[47:27] 他也把你當成一個數字
[47:28] 所以但是當你今天是
[47:30] 像我是我是當下我真的都覺得
[47:33] 呃真情流露了
[47:34] 對我就是會加一些表情符號啊
[47:36] 或是我會真的蠻有興趣的
[47:39] 我會回一些我真的有興趣興趣的點
[47:41] 那其實他就會變成是
[47:43] 呃他會覺得說
[47:44] 哎你這個帳號不只是一個
[47:46] 那個業配帳號或是不是只是一個那種
[47:49] 就是粉專那種
[47:51] 然後小編操作的粉專
[47:54] 他會覺得你這個帳號是有人設的
[47:56] 所以他會去跟你互動
[47:57] 那這個東西也會塑造
[47:59] 就是讓他後續也會想繼續跟你互動
[48:02] 所以你就是在等於是你出席的時候
[48:04] 就是要養你的貼粉
[48:05] 所以你有而且出席的時候
[48:07] 其實流量也很真過
[48:08] 所以有人回覆其實你都要
[48:11] 你都要認真去認真去回覆他們
[48:14] 對這就是一個策略
[48:15] 那我這邊也看到一個案例
[48:17] 我可以給大家參考
[48:18] 然後有一個有一招是怎麼樣
[48:22] 跟大家講
[48:23] 因為我最近看到有個之前來
[48:25] 聽講座的學生我覺得他蠻認真的
[48:27] 就是他是那個叫做夢夢哥
[48:31] 按下啊
[48:34] 嗯
[48:38] 嗯
[48:40] 是不是
[48:42] 這個
[48:43] 好
[48:45] 就是這個夢哥
[48:47] 他蠻認真的
[48:48] 我覺得他這個方式蠻好的
[48:50] 所以來我們這個其實
[48:53] 翠上面很多為什麼我課程裡面講說
[48:55] 翠的答案都是公開的
[48:57] 因為真的就是公開的
[48:59] 我這邊文章他有多少瀏覽
[49:00] 我點進去看得到
[49:01] 嗯
[49:03] 大概就是我可以去看到他回覆別人
[49:06] 那我就觀察到他回覆別人的很好
[49:08] 你看他就是他
[49:10] 我看到他的策略就這樣
[49:12] 他今天是這個什麼
[49:14] 好像是一個什麼那個難同的事件
[49:16] 這這兩天是很
[49:18] 社會關注的十四吧
[49:20] 所以他就是今天集中全部回這個
[49:23] 感謝發聲
[49:25] 然後感謝發聲
[49:26] 他都有時候回很認真哦
[49:28] 他不是都是
[49:29] 只有回一句的哦
[49:30] 他有時候回很認真哦
[49:32] 你看他不是回人民看重案件就會越少
[49:34] 人民意思我們就會幸福
[49:37] 然後
[49:40] 嗯
[49:40] 孟哥也曾經想像過
[49:42] 曾經歷心裡充滿
[49:43] 希望也讓他感受到世界管案
[49:45] 我會去永遠記住他的名字
[49:47] 所以他都寫得很有這種溫度
[49:50] 那可是他是有策略的來寫
[49:52] 我認為說策略
[49:53] 哎就今天可能早上起來一想
[49:55] 假設了
[49:56] 我猜啊因為假設他也很忙
[49:58] 哇可能就是像我一樣
[49:59] 早上起來一小時
[50:00] 他全部今天都回這個
[50:02] 但是他不是每天都回這個哦
[50:04] 他是
[50:06] 每天回不一樣的
[50:08] 那我們往前話
[50:10] nd老師事件他就開始回
[50:12] nd定席吧nd
[50:14] 然後我們要讓網路跟感情
[50:16] 清楚公正言論
[50:17] 什麼給受害
[50:19] 退出演藝圈給這一意
[50:21] 而且他都回很認真
[50:23] 對所以
[50:24] 所以他這個
[50:25] 我認為他的追蹤數應該會從這邊漲了很多
[50:29] 對那
[50:30] 再來就是有個策略是
[50:32] 有個策略是
[50:33] 想想
[50:34] 策略是
[50:35] 沒有辦法
[50:36] 哦想起來了
[50:37] 就是說
[50:39] 你你在回的時候
[50:40] 你要去用課程中學到了三軍的思維
[50:44] 第一個是你要辨識
[50:45] 你要可以去辨識這篇文章
[50:47] 他到底有沒有機會流量會很棒
[50:50] 那如果這篇文章
[50:51] 他是剛發了一小時兩小時的話
[50:53] 我們就要認真去回覆
[50:56] 因為認真回覆越好
[50:58] 因為他現在他的流量成長空間
[51:00] 可是他現在可能
[51:02] 如果你其實你
[51:05] 第一個是你三軍的思維你了解
[51:07] 然後多看一些範例
[51:09] 你就知道什麼文章會報
[51:10] 什麼文章不會報
[51:13] 再來就是我給大家一個數據
[51:14] 如果一篇文章他有超過十個留言
[51:17] 可是他今天才剛發一小時兩小時
[51:20] 他流量率甚至還沒有破萬
[51:22] 可是他就已經有十幾個留言
[51:23] 那代表就是這邊文章就是會
[51:25] 一個會讓人很想留言的文章
[51:28] 那這種
[51:31] 知百定
[51:33] 比方說像這個Slake
[51:36] 我在那時候就預言
[51:38] 欸 這樣會不好
[51:40] 直接開沒關係
[51:41] 拿的
[51:41] 應該還好
[51:42] 就是只是說這個業務的作用
[51:44] 好 反正我要講那個
[51:46] 最近有個案例是
[51:47] 那個
[51:48] 這個在這裡
[51:49] 他就我讓我剛開始就寫說這篇文章應該會
[52:00] 高轉蛋
[52:01] 然後
[52:02] 反正有人就問我說
[52:04] 就是
[52:04] 問
[52:05] 他說就是
[52:06] 怎麼觀察到的
[52:08] 我就說
[52:10] 就說那個
[52:12] 因為說因為剛發一小時就很多人留言
[52:15] 所以應該一兩天內會發酵
[52:17] 那
[52:18] 當天晚上他就說
[52:19] 幹 你真的報
[52:20] 就真的當天晚上就報了
[52:22] 當天晚上就破萬
[52:23] 而且是好像破兩三萬吧
[52:26] 所以這種文
[52:26] 這種類型的文章就是
[52:28] 你去觀察這些數據你就知道說他
[52:30] 肯定一天後會報
[52:32] 那你就可以去
[52:33] 去認真地去回覆這個文章
[52:35] 等於是在一個
[52:37] 很多人會看到地方去
[52:39] 表達你的觀點
[52:40] 這就是一個就是說你出奇的時候
[52:42] 你要怎麼累積冷色的
[52:44] 另外一種方式
[52:45] 那還有一個方式是
[52:46] 你事先準備好一些
[52:49] 比較長的
[52:50] 比較長的這個觀點
[52:52] 那你就是
[52:53] 你就所有人可以用這個觀點的東西去改
[52:56] 比方說像
[52:57] 我相信
[52:58] 可能夢倫他其實也有一個比較長的版本
[53:01] 但是他可能就是會每篇文章
[53:03] 他會去微調去改
[53:04] 但他對他來說他其實
[53:06] 留言速度就很快
[53:08] 那還有一個是我之前也用過一個策略就是說
[53:11] 比方說我整理一些月經文
[53:14] 就是說
[53:15] 呃
[53:15] 呃
[53:17] 很多人會在槌上面問人家書單
[53:20] 或是問
[53:20] 所以他們會問說最推薦的10個
[53:23] 往後
[53:23] 那這種時候呢
[53:25] 我其實就可以去搜尋
[53:27] 然後我就搜尋說
[53:28] 書單
[53:29] 推薦
[53:35] 然後選最近
[53:39] 好
[53:40] 這邊就是
[53:41] 有人開始在推薦書單了
[53:44] 然後有人就開始來問推薦書單了
[53:47] 然後這邊也是在推薦書單
[53:49] 所以我可以一事先就整理一篇就是一千字的長文
[53:53] 然後推薦十本真的超精彩的書
[53:56] 而且非常認真推薦
[53:57] 然後我這些
[53:58] 這些
[53:59] 書單推薦的最近剛發的
[54:01] 我就每一個都去留一樣了就好
[54:03] 就以為其實這個幫助也很大
[54:06] 這也是一個策略
[54:07] 而且我也實際去用過
[54:10] 對
[54:10] 所以這就是
[54:11] 舉一個例子
[54:14] 對
[54:14] 因為當你看到
[54:15] 你當年可能對這有興趣去滑
[54:17] 往下滑的時候
[54:18] 你看到有個人寫很長
[54:19] 你就會很
[54:20] 想要認真看
[54:21] 因為你覺得他是很認真
[54:22] 這是
[54:24] 我覺得是塑造人設的一個方式
[54:26] 那
[54:27] 蠻夢歌的方式我覺得也蠻可以參考的
[54:30] 甚至是你可以
[54:30] 興趣的gbt
[54:32] 參考他的方式去去幫你
[54:34] 寫新的
[54:35] 對
[54:37] 好
[54:38] 再來就是下面
[54:40] 你們最後講那個
[54:42] 三軍
[54:45] Ai的這個講講過了
[54:48] 好我們最後講引爆階段
[54:50] 這就是最後一個階段
[54:51] 就是說你前面已經經過測試
[54:53] 然後你也經過發酵
[54:55] 說你要怎麼去引爆
[54:58] 這時候其實
[54:59] 就分成三個方式
[55:01] 也是我實際都操作過的
[55:03] 第一個是叫一擊避命
[55:05] 然後第二個是叫開門見散
[55:07] 第三個是引量取勝
[55:09] 對那其實這都是實戰
[55:11] 經過考驗過的
[55:12] 第一個是一擊避命
[55:15] 這個就是說
[55:15] 你前面經過那麼多的嘗試之後
[55:18] 我們要做的是
[55:19] 就是我們要了解
[55:20] 到底我們的粉絲
[55:22] 對我們什麼東西有興趣
[55:24] 再來就是
[55:25] 海軍的故事
[55:26] 其實你是要留一些
[55:27] 壓箱堡
[55:28] 就是你知道你生命中
[55:30] 你發生過一些
[55:31] 真的是很重大的事件
[55:34] 或是很奇葩的事件
[55:35] 這些事件你就可以留
[55:37] 等到最後
[55:38] 再一次
[55:40] 一次輸出
[55:42] 或是你可以重複輸出
