[00:00] 我真的不知道為什麼我在路上遇到綠色和平
[29:14] 然后彼此讨论彼此激励
[29:16] 那就是
[29:18] 这个动力可以帮助你
[29:20] 走下去
[29:21] 好
[29:21] 我觉得有一句话说得很有道理就是我们常常在
[29:24] 应该要
[29:25] 使用创造力的时候雾用了意志力
[29:29] 我们常常想说我要努力我要坚持
[29:32] 比如说有人用意志力坚持在早起
[29:34] 好些人用意志力坚持在日更
[29:36] 好那意志力可能可以帮助你支持一天两天
[29:39] 可是没有办法带你走了长久
[29:41] 我们应该要用一些更有创造力的方法
[29:44] 来帮助自己享受在过程里面
[29:46] 那我觉得
[29:48] 陪跑
[29:48] 找伙伴一起就是一个很棒的方式
[29:51] 每天自己在家想你要什么灵感什么灵感
[29:53] 怎么发文
[29:54] 太难了
[29:55] 跟着世风老师
[29:57] 跟着陪跑群组
[29:58] 其实我也就是
[29:59] 最近一起在家这
[30:00] 陪跑群组我觉得
[30:02] 实在是太有收获了
[30:03] 有收获不只是那些知识学习的部分
[30:05] 因为我在去年之前我就学了很多了
[30:08] 那都是学了都变成没用的东西
[30:10] 可是当你有一群伙伴
[30:11] 好大家就会一起用
[30:13] 越用就有心得
[30:14] 你学要的东西就会变成
[30:15] 有用的东西
[30:17] 好这就是
[30:18] 学了有去用才会有用
[30:21] 好那我们
[30:22] 祝福大家就是今天会来到这边的大家
[30:25] 一定都是自己你有你的专业
[30:26] 你想要有分享的那种
[30:28] 好
[30:29] 祝福大家都可以一起在
[30:32] 萃上做一个有用的人
[30:34] 谢谢大家
[30:35] 好的
[30:36] 好那
[30:36] 三个进行
[30:37] QA的时间有到
[30:40] 没有问题
[30:41] 好问
[30:42] 那个眼睛
[30:44] 好那
[30:44] 接一下麦克风
[30:46] 没有这样
[30:47] 现场的时候
[30:47] 我把你捏到
[30:48] 我好奇
[30:49] 像你这样子
[30:52] 学了然后使用
[30:54] 然后到底一直修正这些内容
[30:56] 你认为一篇有效的
[30:58] 文章或是找到有效形式的
[31:01] 这个发文格式需要用多少
[31:04] 次的尝试
[31:06] 大概可以累积出来
[31:10] 好
[31:13] 您指的是用多少次的尝试
[31:15] 可以找到一个
[31:16] 比较
[31:18] 叫什么报纹率比较高的
[31:20] 的格式吗
[31:23] 真理
[31:29] 从介数去
[31:36] 从介数去
[31:39] 你一下头
[31:40] 所以
[31:42] 我觉得用士风老师的话来说就是
[31:45] 怎么样来让你的文是有效
[31:47] 确实就是很明确你有
[31:49] 地海空三军的方式
[31:51] 那我也是尽量
[31:53] 就是
[31:54] 嗯
[31:55] 要嘛就先有一个组走
[31:56] 然后混杂其他策略
[31:58] 那要嘛就是
[31:59] 这是
[32:00] 嗯
[32:01] 就是从生活中
[32:02] 找灵感然后
[32:04] 某一件事情比如说就我刚刚讲的那个同事的案例
[32:08] 就是同样一件事
[32:09] 我发现我同事
[32:11] 在用很笨的方式做一个工作
[32:13] 好同样一个事实
[32:15] 我就可以开始思考说我要用
[32:17] 什么样的
[32:18] 的角度来描写我要把他写成地军
[32:21] 还是空军还是海军我觉得
[32:22] 他都是可以发挥的
[32:24] 那
[32:25] 就是
[32:26] 讲
[32:27] 都很简单就地海空这个概念哎我一定就懂了
[32:30] 可是真的去做的时候
[32:32] 只有自己思考过你才会
[32:34] 得到那感觉说哦
[32:36] 那个情感那个温度
[32:39] 怎么样是可以寄
[32:40] 表达出你自己
[32:41] 而且又跟你的独则有所共鸣的
[32:43] 那
[32:44] 哎
[32:45] 我觉得课程其实讲得很清楚
[32:47] 但只有自己实作你才会抓到那感觉
[32:50] 然后没有这个好像回到介绍课程
[32:52] 哈哈哈
[32:53] 是功了古宗吗
[32:54] 有没有可以来讲
[32:57] 因为我觉得那个
[32:58] 很
[32:59] 很利有学长讲的很好
[33:01] 但他他也是一个蛮
[33:04] 不实类型的人
[33:05] 可是我觉得像是问未来就是ai 的时代吗
[33:09] 就是说
[33:10] 嗯很多东西是
[33:11] 都有答案
[33:12] 知识面的东西都有答案
[33:14] 可是唯一无法取代的东西就是你怎么去
[33:17] 透过你在
[33:18] 做的过程中你用那个感觉
[33:21] 然后去
[33:22] 去写出一个可能
[33:24] 别人会有共鸣的文章
[33:26] 我觉得那个东西是可能ai 他暂时还无法取代的
[33:30] 所以他也没有一个
[33:31] 一个一定的格式
[33:33] 像我课程中就整理说你可能开场白很重要
[33:36] 然后中间可能是要
[33:37] 你的格式你的文章的断行要怎么写
[33:40] 然后内容大概那个方向
[33:42] 可是最后要把这些东西组合起来
[33:44] 还是要有一个
[33:46] 你自己的那个感觉
[33:47] 他是做中才会体验到的
[33:49] 因为像以前脸书他就有个那个报文写作课
[33:52] 他就是每一个都
[33:53] 写很短很短短短短短短
[33:55] 后来我就是观察我朋友去上完以后
[33:57] 就变得超恐怖的
[33:58] 就每个都开始发一些
[34:00] 我觉得
[34:01] 很可怕的文章
[34:03] 这样子
[34:04] 对然后就是
[34:05] 那个老师他断行是写得很精彩
[34:08] 然后但是其他人他们就是断行
[34:09] 但是写得很不精彩
[34:10] 然后就变得
[34:11] 空有那个断行
[34:12] 但是整个看起来很恐怖
[34:14] 所以我觉得就是我没有交一个固定的写法
[34:17] 就是希望说是
[34:18] 从自己做的过程中去
[34:21] 感受那个东西
[34:22] 就是
[34:23] 这我补充啦对
[34:24] 好的感谢送
[34:25] 但我觉得这个好像没有回答到
[34:27] 你刚一开始拿那个数字的
[34:30] 对
[34:30] 对我后期有没有一个
[34:32] 大概的方向
[34:34] 好
[34:34] 给你数字
[34:35] 我觉得我先帮忙补充一下
[34:36] 我觉得是还没有统计好
[34:38] 但是
[34:39] 但是可以从他们实际
[34:41] 今天是要非常责任的贴吻
[34:43] 可以找一些脉络嘛
[34:44] 因为他们都有想说
[34:45] 他们大概从什么时候开始用stress
[34:47] 那你可以看
[34:48] 诶
[34:48] 这边不红
[34:49] 就快滑了
[34:50] 红了
[34:50] 这边就自己的转向
[34:52] 嗯
[34:53] 我等一下要不要
[34:53] 再试一下
[34:54] 你先给他讲他
[34:54] 你先
[34:55] 你先给他重一点
[34:56] 我先给他重一点
[34:57] 然后宇宙先生大概是
[35:00] 好
[35:01] 谢谢
[35:02] 这是有科学的
[35:04] 科学的帮忙
[35:04] 他想要提出一些技术字
[35:06] 因为那个几年前的那个报文写作
[35:08] 两个都是我朋友
[35:09] 一个是欧阳利中
[35:10] 你不要讲这些
[35:12] 好
[35:13] 好痛
[35:13] 一个是许荣泽
[35:15] 帮你帮我换
[35:16] 不要换
[35:16] 不要换
[35:17] 那你卡掉
[35:18] 那你卡掉
[35:19] 好
[35:20] 那那其实是来自大陆的一种
[35:23] 书写方式
[35:24] 那你那个大陆的那个
[35:26] 真正的模板
[35:28] 他叫做大象公社
[35:30] 他是一个微博的账号
[35:32] 然后你查大象公社
[35:34] 你可以在那个youtube上
[35:36] 找到一个影片
[35:38] 你如果找不到我
[35:39] 我帮你找
[35:40] 然后这个影片大概
[35:41] 接近43分钟
[35:42] 然后这个影片里面有讲
[35:45] 这整个逻辑怎么走
[35:47] 其实那些人能够写出
[35:50] 分行分行很短的句子
[35:51] 就可以吸引人
[35:52] 那是因为他们的专业背景
[35:54] 是文科
[35:55] 而且有很强的功底
[35:57] 那一般人为什么照着老师写
[35:59] 写不出来
[36:00] 因为没有那个累积
[36:02] 对
[36:03] 那实际上有个更简单的方法
[36:05] 我叫做热高学习法
[36:06] 就是你写出来文章
[36:08] 请不要做太多字的分端
[36:11] 因为你知道
[36:11] 花翠的时间
[36:13] 不超过0.2秒
[36:15] 一则
[36:16] 有的不超过0.1秒
[36:17] 所以他要在一秒钟
[36:19] 划过你的东西
[36:20] 看到重点
[36:21] 他不是在看整篇文章
[36:23] 他是在
[36:24] 他的潜意识在看
[36:25] 有没有吸引我的
[36:27] 关键字
[36:29] 所以你一定要有
[36:30] 吸引人家的关键字
[36:32] 你才会被注意
[36:33] 他要看完的话
[36:34] 必须你写的好
[36:36] 那我的方式就是说
[36:37] 你写一篇文章不要太长
[36:39] 先从200字
[36:40] 250字开始练习
[36:42] 这里面至少要分到
[36:44] 六段到八段
[36:46] 那每一段
[36:47] 去建议你
[36:49] 杭数不要超过
[36:51] 五行
[36:52] 那一行里面
[36:54] 字数不要超过十五个字
[36:56] 最好是十二个字以内
[36:58] 那这样的话看起来
[36:59] 而且要要要有空空白的地方
[37:02] 看起来才不会累
[37:04] 那这是第一个
[37:05] 第二个就是说
[37:06] 你这样分段之后呢
[37:08] 你可以像热高机幕一样
[37:10] 把某一段放在前面
[37:11] 或者把某一段放在后面
[37:13] 试试看
[37:14] 因为有一个前辈在催上胶
[37:17] 如果你贴出去的东西
[37:19] 十分钟之内
[37:20] 一个人都没有爱心
[37:22] 删掉
[37:24] 不会影响你的触及率
[37:26] 但是
[37:27] 我会删掉之后
[37:28] 再修改一次排列顺序
[37:31] 试试看
[37:32] 看哪一次中
[37:33] 我就可以记录下了
[37:35] 那你每一次爆款中的话
[37:36] 你一定要去分析他
[37:38] 别人有爆款也要去分析他
[37:40] 你就可以得到更精准的数据
[37:42] 这是我的分析下
[37:44] 好 我们要感谢
[37:45] 刚刚没有比较回来
[37:46] 那你问你
[37:49] 文理们 你请和你一样补充
[37:51] 刚刚有说到要花多少次
[37:53] 去尝试出一个有效的格式
[37:56] 我现在想一想
[37:56] 我觉得所谓有效可能
[37:59] 没跟定义不一样
[38:00] 像
[38:02] 我的追踪也不高
[38:03] 但我也想像为你一样说一下
[38:05] 我的转换率其实是蛮高的
[38:08] 就是我写半年
[38:10] 我其实追踪现在才3700多
[38:12] 但才写这半年
[38:14] 我的就是来找我上课的人
[38:17] 明显变多了
[38:18] 然后我也接到出版社要约出出的合约
[38:22] 我也接到要约开线上课程的要约
[38:25] 那我觉得假如我的目标是变线来说
[38:27] 我追踪数据不高
[38:29] 但我觉得变线的目标
[38:30] 我达成的
[38:31] 那很具体的就是
[38:34] 我写的文我吸引到什么样的人
[38:38] 那像刚刚说到
[38:40] 那个做真实的自己这件事
[38:42] 像因为我其实在追踪没什么KPI
[38:45] 你一定能看到就是
[38:46] 这个浏览率
[38:47] 然后追踪人数
[38:48] 所以我一开始有一段时间蛮
[38:49] 在意说
[38:50] 哎我追踪人数到底有没有一直上升
[38:53] 然后你一直在看的追踪数字
[38:55] 有没有上升的时候
[38:55] 比如说这个
[38:56] 比如说
[38:57] 2000 2100 2000这样一直上去
[38:59] 哎中间因为我太常在看
[39:01] 一直在看数字
[39:02] 有时候就会掉一个两个
[39:03] 我就觉得
[39:04] 为什么为什么为什么会掉分
[39:07] 但我
[39:09] 但我后来就发现说
[39:10] 这些好事我恭喜我自己
[39:12] 因为他让我的追踪的这个群组
[39:15] 哎这个人群
[39:17] 这个
[39:17] 对杂质绿调了
[39:19] 然后他纯度上升了
[39:21] 然后就是追踪的人
[39:22] 他真的对我才做的事
[39:24] 是认同感兴趣的
[39:25] 我觉得这对我来说很重要
[39:27] 所以我对于追踪人数
[39:28] 我现在看得很淡
[39:29] 但我觉得
[39:30] 就我还是就回到一个服务读者思维
[39:33] 说我我反响的东西
[39:34] 到底能不能帮助他
[39:35] 去消灭他工作上的浪费
[39:38] 好就是我现在最在意的事就是这个
[39:40] 我觉得这很重要
[39:42] 好的
[39:43] 感谢杭丽扬那因为时间的关系
[39:45] 等一下还有问题
[39:46] 我们都可以再来多交流
[39:47] 感谢你
[39:49] 好我帮他做总结就是我觉得
[39:51] 他刚一上来起手势就非常好
[39:54] 他那个带动大家情绪价值
[39:56] 情绪波动的发言
[39:58] 讨厌浪费
[39:59] 我刚一直想我问说要不要
[40:00] take一下零又佳这样
[40:02] 哈哈他成名曲吗
[40:04] ok
[40:04] 的所以其实刚好提到做真实的自己
[40:07] 我觉得这也是非常重要
[40:09] 但是还是要有好的包装吗
[40:10] 就跟偶像一样
[40:12] 哎你要帮他做一个
[40:13] 经营公司也好
[40:14] 或是他们的公司要帮他做也好的
[40:16] 人设的包装
[40:17] 他人设ok
[40:19] 补贺他自己
[40:20] 才不会翻车了吗
[40:21] 有反正什么很多人设翻车
[40:23] 就因为人设没做好
[40:25] 所以如果做真实的自己
[40:26] 就不会有这个问题
[40:27] 好那接下来进到今天的下一个阶段
[40:30] 我们看一下头影
[40:32] 片
[40:33] 下经到学员优秀的案例分享
[40:36] 就再次欢迎是风
[40:37] 来跟大家分享
[40:43] 哎我想啊
[40:44] 这边我会切到他的页面
[40:47] 去看
[40:48] 还是我们休息两分
[40:50] 两分钟你觉得还是
[40:52] 好
[40:53] 那各位我们休息个三分钟
[40:56] 上个厕所跟吃个东西
[40:58] 然后也跟刚刚
[41:00] 分享讲者交流
[41:01] 然后等一下我们就进到精彩的
[41:03] 就是说大家的成果发表
[41:05] 对好三分钟回来
[41:07] 谢谢大家
[48:03] 比较那个开放一点
[48:04] 那我就继续讲下去
[48:06] 学员优秀的案例分享
[48:08] 好那我们就下一页
[48:11] 好那大家猜猜看哪些是
[48:14] 优秀案例的这个标准呢
[48:17] 是追踪人数很多
[48:19] 还是帅哥美女
[48:21] 来我们请吉利
[48:23] 你觉得这什么哪一个标准
[48:25] 是最重要的
[48:26] 是最重要的
[48:27] 是最重要的
[48:28] 是最重要的
[48:29] 是最重要的
[48:30] 是最重要的
[48:31] 这个什么哪一个标准
[48:33] 是我们的优秀案例呢
[48:37] 走过多边高互动人杠
[48:42] 有明确的变现概念
[48:45] 过
[48:45] 然后世界有些人解
[48:48] 我觉得都讲得蛮有重点的
[48:50] 我觉得
[48:51] 真的是算是蛮认真的同学
[48:54] 但这里面比较迷惑的是什么
[48:56] 跟四峰老师很熟
[48:57] 没有
[48:58] 我跟大家都没有很熟
[48:59] 我是一个Iron
[49:00] 我
[49:01] 对
[49:01] 我
[49:02] 我除了宇宙先生有约我出来喝咖啡以外
[49:04] 其他一律都没有
[49:06] 这样子
[49:06] 不要误会了
[49:08] 好
[49:08] 那好
[49:09] 我们就下一页我们公布答案
[49:13] 哎
[49:13] 没有没有那个标准吗
[49:15] 好
[49:16] 那我讲好了
[49:17] 哈哈
[49:17] 我也有做
[49:19] 我又有做动画
[49:20] 好啦
[49:20] 那我觉得说这个
[49:22] 字界是真的是蛮重要的
[49:24] 对
[49:25] 因为文章写的好
[49:26] 字界写不好
[49:27] 其实也没有用
[49:27] 所以我一直
[49:28] 很坚持说
[49:30] 我帮他
[49:31] 有上课的人都帮他改字界
[49:33] 那我现在有些还没改完
[49:34] 没关系
[49:35] 我会这个
[49:35] 下周之内我帮他弄完
[49:37] 不然一直
[49:38] 有一件新头大患
[49:39] 我其实我也睡的不是很安稳
[49:41] 这样子
[49:41] 对
[49:42] 那这个都很重要
[49:43] 所以有帮他改的话
[49:44] 你一定要去
[49:45] 好好的去看
[49:46] 然后有问题提出来好不好
[49:47] 就是
[49:48] 真的很希望说大家可以
[49:50] 有成果
[49:51] 对
[49:51] 我看到是有些人他们事上完以后
[49:53] 真的是有些调整
[49:54] 然后就是
[49:55] 开始有好的成果
[49:56] 但是好的成果就像
[49:58] 问讲的样
[49:59] 问讲
[50:00] 问讲讲的样
[50:03] 就是你要持续
[50:04] 持续是最重要的事
[50:08] 对
[50:08] 跟问讲讲的样
[50:09] 就是要持续
[50:10] 很重要
[50:10] 因为持续这件事情我也
[50:12] 我也不是那么擅长
[50:13] 其实我跟问也比较像
[50:15] 我其实
[50:16] 没有像宇宙先生一样这么的
[50:17] 数据化
[50:18] 我就是说
[50:19] 我就是想八就八
[50:20] 我可能会一天
[50:22] 狂八个五六片
[50:23] 因为我觉得脆
[50:23] 他有个特性就是说
[50:26] 其实你一直发不会怎么样
[50:27] 你就发到爆为止
[50:28] 那我自己是
[50:29] 我也不会去删稳
[50:30] 因为我觉得我不确定他
[50:32] 我之前有一个阵子删过
[50:33] 我觉得那阵子好像
[50:34] 有点现
[50:35] 有点
[50:35] 我觉得有点跟流量有影响到
[50:37] 所以我现在最近就是说
[50:39] 我如果不喜欢
[50:39] 我就按点长
[50:40] 点长
[50:41] 大家就看不到了
[50:42] 然后就可以就是再八一个新的
[50:44] 所以我的模式是这样
[50:46] 然后字节有认真写
[50:47] 然后
[50:48] 我觉得变现概念是很重要
[50:50] 因为就像
[50:51] Henly
[50:52] 你讲讲的一样
[50:53] 你粉丝不用很多
[50:54] 可是
[50:55] 有精准的粉丝就可以变现
[50:58] 对 我觉得这个
[50:59] 明确变现概念也很重要
[51:01] 那最后我觉得就是说这个
[51:05] 其实我个人觉得追踪人数成长率
[51:08] 也是一个蛮重要的
[51:09] 因为像是
[51:11] 我觉得只要你有大概两三千以上
[51:13] 其实我觉得都很ok
[51:16] 但是你如果跟我说
[51:17] 你只有三百追踪
[51:18] 然后你跟我说你
[51:19] 这个技能好
[51:20] 你有变什么线
[51:21] 我是不相信
[51:22] 对
[51:23] 对 那我是不相信的
[51:25] 对 因为我觉得
[51:26] 这个
[51:27] 你变现他
[51:28] 就是你追踪人数
[51:29] 至少有增加一定的程度
[51:31] 他体现在说
[51:33] 你的受众对你是信任
[51:34] 他想要持续接受你的内容
[51:36] 那有这个基础下
[51:37] 他才可能会去想要去
[51:39] 买你的服务
[51:40] 对 所以我觉得这个东西也是一个很
[51:42] 基础的判断
[51:43] 那最后就是互动
[51:44] 高
[51:45] 有很多篇高互动文章
[51:47] 我觉得这个
[51:48] 也是很重要
[51:50] 就是我觉得这些概念呢
[51:51] 如果有
[51:52] 有符合的话
[51:54] 其实就是会很好
[51:56] 那这边呢
[51:57] 其实我觉得这个列的蛮好的
[51:59] 就是大部分其实
[52:00] 都可以去参考
[52:01] 除了有一些比较奇怪
[52:02] 也就是说
[52:03] 我们排除掉帅哥美女
[52:05] 这个没有
[52:07] 不需要
[52:08] 然后
[52:10] 侍奉很熟
[52:11] 这个也不用
[52:12] 其他的呢
[52:13] 我觉得都不错
[52:15] 对
[52:15] 然后你也多参加活动
[52:17] 其实也很重要
[52:17] 就是你要丰富自己的生活
[52:19] 然后多跟大家交流
[52:21] 我觉得就对你的
[52:22] 你的整个人生的丰富度
[52:24] 你这些东西可以写这样子
[52:26] 好
[52:26] 那我们进到下一页
[52:30] 好
[52:31] 那我们来讲优秀学员的案例
[52:32] 分享
[52:33] 这个是不是就是
[52:34] 这个怎么跟这边
[52:35] 有一个同学长的脸象呢
[52:37] 是不是就是这个
[52:39] 新航者指挥
[52:40] 斗数算命这样子
[52:45] 对
[52:45] 因为其实我只认得出他
[52:47] 其他很多人都认不出是谁
[52:48] 因为他放得很正面
[52:50] 然后
[52:51] 就是脸很大
[52:53] 然后
[52:53] 很符合我觉得这个
[52:56] 没有很大
[52:56] 就放得
[52:57] 占那个原型的比例很大
[52:59] 我觉得是一个好的案例
[53:01] 就是你要让大家
[53:02] 看到你的脸就认得出来
[53:03] 对
[53:04] 非常好
[53:04] 就是
[53:05] 所以我看到他我就
[53:06] 想说
[53:06] 哎
[53:07] 好像是就是那个
[53:08] 很像的那个人
[53:09] 对
[53:11] 那我觉得他是一个
[53:12] 很不错的案例就是
[53:14] 后来感觉到他其实写东西
[53:16] 我觉得都蛮有感情的
[53:18] 那我觉得感情这一块呢
[53:20] 跟这个
[53:21] 故事跟感情这一块跟
[53:23] 他的赛道
[53:25] 像森心里这一块
[53:26] 我觉得就很
[53:27] 很符合
[53:28] 对
[53:28] 所以我觉得大家可以去
[53:30] 参考一下这个
[53:32] 他都是怎么写的
[53:33] 像他写的文章
[53:34] 我记得也都是
[53:35] 蛮长的对不对
[53:36] 但是就跟那个
[53:37] 刚刚那个海军上校一样
[53:39] 就是有点像是在
[53:40] 大家有点问答问答的
[53:42] 那种感觉
[53:42] 就是比较对话式
[53:44] 我觉得这是一个故事
[53:45] 很好的方式
[53:49] 新行体
[53:50] 好 新行体对
[53:52] 对
[53:52] 那要不要开
[53:53] 你刚好开吗
[53:54] 还是我们看一下他的
[53:56] 文章
[53:58] 对 你看他最上面
[53:59] 盯着的这篇
[54:01] 我觉得也是就是
[54:03] 我觉得也很好
[54:04] 就是在讲说他被指浅的
[54:05] 因为像他可能也是
[54:07] 感觉上可能
[54:08] 之前工作也是一个
[54:10] 还不错的工作的人
[54:11] 对
[54:12] 你想讲吗
[54:13] 对
[54:14] 然后他可能
[54:15] 照理来说
[54:16] 你可能这样子类型的人
[54:17] 他可能对自己的
[54:18] 自身形象
[54:19] 或是外在的
[54:20] 大家是会很
[54:22] 给予一个羡慕的眼光
[54:24] 可是他却去
[54:25] 愿意去讲自己
[54:26] 可能被指浅的事情
[54:28] 而且可能
[54:29] 这对他当时来说
[54:30] 是一个很大的一个历程
[54:31] 所以我觉得这文章就是
[54:33] 算是很有力量
[54:34] 然后再来就是
[54:35] 我觉得你看他去推荐别人
[54:37] 或是互相推荐
[54:38] 我觉得这个也是很好
[54:39] 因为我觉得这是一个
[54:40] 进阶版的策略
[54:41] 就是说你要去跟大家
[54:43] 广结上远交朋友
[54:45] 然后结盟
[54:46] 所以你这样子会
[54:47] 比较越做越轻松
[54:48] 不然就是你永远
[54:49] 其实就会
[54:50] 自己弄就会比较累一点
[54:51] 这样子
[54:52] 好
[54:53] 大概就这样
[54:54] 那他的变现
[54:55] 变现的路线是
[54:57] 命理咨询
[54:58] 还是我们可以请
[55:00] 分享一下
[55:00] 就是说你命理咨询
[55:02] 这块
[55:02] 这个目前
[55:03] 是都是
[55:05] 他们会直接同你的
[55:06] like去问吗
[55:06] 大概什么情况下
[55:07] 会去找你咨询
[55:11] 通常都是
[55:13] 通常他们就是
[55:14] 直接从like去问
[55:16] 然后我有发现
[55:17] 就是在share的频道上面
[55:19] 我可能分享什么样的故事
[55:21] 然后通常这个故事
[55:22] 他都会对应到
[55:24] 特别的读学
[55:25] 比方说我之前有
[55:26] 曾经
[55:27] 有分享过一个
[55:28] 諮詢案例
[55:28] 然后那个諮询案例是
[55:31] 小三
[55:31] 想要转
[55:32] 就是想要跟哪个有的
[55:34] 他拿的是有加定的那种
[55:36] 不想要转的路线
[55:37] 然后我就分享这个案例
[55:39] 可能在
[55:40] 来找我跟他试询过程
[55:42] 我怎么去引导
[55:44] 然后那一天
[55:44] 不知道有什么
[55:45] 很多人来找我
[55:47] 说一起试询
[55:48] 现在就是别的小事
[55:49] 对
[55:50] 对
[55:51] 对
[55:52] 这时候可能我刚好
[55:54] 就是
[55:56] 对
[55:56] 后面刚好我分享到这种
[55:58] 就是
[55:59] 工作上面遇到错的
[56:01] 这一阵子可能
[56:03] 这一步的时候
[56:04] 来找我
[56:05] 可能会是工作上面
[56:06] 我
[56:07] 显化人你很强
[56:09] 我觉得不能当我
[56:10] 分享很紧会
[56:11] 不能
[56:12] 所以你原来其实
[56:13] 我这样会来找我
[56:14] 然后可能我
[56:15] 可以事实的去
[56:17] 给你一些
[56:19] 力量
[56:19] 对
[56:20] 所以那时候就
[56:21] 你好好去找我
[56:23] 那一件事
[56:24] 其实我在故事里面
[56:26] 在巨速的角度
[56:28] 我
[56:29] 我想有一些
[56:30] 老师
[56:31] 可能会用一些
[56:32] 比较批判的角度
[56:34] 去讲这件事情
[56:35] 因为当一个人
[56:36] 他觉得他在跟你
[56:37] 评论过程中
[56:39] 会遭遭批判的时候
[56:41] 他可能第一时间
[56:42] 那个心理就会想要去
[56:44] 辩护
[56:45] 他就变成对立面
[56:47] 所以其实
[56:49] 我会想要让人家知道
[56:50] 说你来我是给我
[56:51] 可以帮你解决
[56:52] 或者我会在你角度
[56:53] 印象
[56:54] 大概会是
[56:55] 这样子的路线
[56:56] 那我帮大家问
[56:57] 就是之前有人说他
[56:59] 可能
[57:00] 他会说什么
[57:00] 他
[57:01] 个案
[57:02] 可能怕会
[57:03] 讲到他们的
[57:04] 隐私
[57:05] 或者说他可能
[57:06] 他自己也没那么多
[57:07] 个案可以讲
[57:09] 会不会有这种情况
[57:10] 说个案不愿意分享
[57:12] 就是他说怕会讲到
[57:13] 什么个案的
[57:14] 隐私
[57:14] 或者是讲他的故事
[57:16] 讲他的故事
[57:16] 可能会
[57:18] 就是会不好
[57:19] 这样子
[57:20] 原则上
[57:21] 我在分享的情况下
[57:23] 都是那个当事者
[57:25] 同意的情况下
[57:26] 我才会分享
[57:27] 那通常
[57:28] 我跟他们沟通的方式
[57:29] 我都会是说
[57:30] 其实我觉得你的故事
[57:32] 很特别
[57:33] 我觉得这个世界上
[57:34] 应该有很多
[57:35] 跟你一样
[57:35] 遭受到困扰的人
[57:36] 我觉得你的故事
[57:37] 应该可以给他们
[57:38] 一些启发
[57:39] 那你会不会介意
[57:40] 我用去世别化的
[57:42] 方式去分享
[57:43] 然后那个所谓的
[57:44] 去世别化是
[57:45] 比方说我故事里面
[57:46] 我会带到一些年龄
[57:48] 或怎么样
[57:48] 比方说这个人
[57:49] 可能明明四十几岁
[57:50] 我就说
[57:51] 三十五后生
[57:52] 就是会有一些背景的
[57:54] 去世别化
[57:55] 但是中间的沟通过程
[57:56] 那个核心的那个
[57:58] 价值还是不变的
[58:00] 所以通常我会用这个方式
[58:02] 去转个弯
[58:03] 然后原则上
[58:04] 我分享内容
[58:05] 我也都会给当事者看过
[58:07] 那给当事者教稿
[58:08] 然后教稿就是他们确定
[58:10] OK
[58:10] 他觉得这个分享出去
[58:12] 他是觉得舒服的方式
[58:13] 我才会分享
[58:14] 所以当然
[58:15] 我有遇过那种
[58:16] 我刚刚讲说
[58:17] 你的故事很特别
[58:18] 他说不行
[58:19] 他觉得他
[58:20] 这个太明显了
[58:21] 很硬分享
[58:22] 他朋友就知道是
[58:23] 他就是大力的
[58:24] 就是尊重方式的意思
[58:26] 对
[58:27] 所以这个是一定要
[58:28] 事先先去问的
[58:29] 就是比较严谨的做法
[58:31] 就是都会先
[58:32] 去问过他
[58:33] 但是会说我们是
[58:35] 这个可以去帮助
[58:36] 更多人起发的角度
[58:38] 对
[58:38] 对
[58:38] 所以其实大家其实
[58:39] 普遍来说
[58:40] 应该都是
[58:41] 蛮乐意的这样子
[58:42] 对
[58:43] 好
[58:44] 那ok
[58:45] 那他其实就是
[58:46] 追踪数成长很多
[58:48] 是成长大概500
[58:50] 500500500500500
[58:51] 之前原本是可能是
[58:53] 2000
[58:54] 2500左右是不是
[58:55] 对
[58:56] 那就是他
[58:57] 最高
[58:57] 有染素也是50000
[58:59] 所以
[58:59] 我觉得蛮推荐说
[59:01] 如果想要学说
[59:02] 可能怎么写故事的话
[59:03] 可以去去参考
[59:05] 这个
[59:06] 他的这个
[59:07] 写法
[59:08] 对
[59:08] 那他的字界
[59:09] 我觉得也都写的
[59:11] 字界也都写的很
[59:12] 世界也是写的很不错
[59:13] 是
[59:14] 你后来有稍微调整
[59:16] 或是微调过是不是
[59:17] 哈哈
[59:18] 他很认真
[59:19] 都很认真很棒
[59:20] 然后
[59:21] 我觉得这个就是可以参考
[59:23] 像是我在那个字界的
[59:24] 见解里面我就评分嘛
[59:27] 如果你哪一个项目
[59:28] 分数比较低的话
[59:29] 你可以去上面搜寻
[59:30] 他在那个项目
[59:32] 分数比较高的
[59:32] 然后点进去看
[59:34] 为
[59:34] 去思考一下他为什么
[59:36] 那个项目比较高分
[59:37] 这样子
[59:37] 好下一个
[59:40] 然后这个
[59:40] 这个伟刚他是
[59:42] 我朋友
[59:43] 然后
[59:44] 对他我我之前去他上面那个
[59:46] 节目上
[59:46] pacist
[59:48] 那他这个也是
[59:50] 写的不错
[59:52] 那我们来看一下他
[59:53] 这个文章
[59:56] 对那他最近写的一个
[59:57] 最好一篇文章是这个
[59:59] 我的特殊人力这一篇
[01:00:01] 就是他这个我觉得是一个很
[01:00:05] 嗯
[01:00:05] 我觉得就没有没有
[01:00:06] 完全没有地军成本
[01:00:08] 没有含金量
[01:00:09] 但他就是一个很有趣的事情
[01:00:10] 然后跟他个人
[01:00:12] 个人的经验
[01:00:13] 很符合
[01:00:13] 所以下面
