[00:00] 今天這支影片要來挑戰
[21:28] 你就可以了解基本的功能
[21:30] 而且可以開始剪片
[21:31] 當我們都製作完影片以後
[21:32] 就要進入到
[21:35] 你拍完這些影片以後
[21:37] 到底要上傳哪些平台
[21:38] 我的答案是
[21:39] 小朋友才是我的選擇
[21:40] 我全都要
[21:42] 你好不容易做完一支影片了
[21:43] 你開帳戶也不用錢
[21:44] 上傳影片也不用錢
[21:45] 那最好的策略
[21:46] 當然是全部都上
[21:47] Facebook IG Reels
[21:48] YouTube Shorts TTA
[21:49] 你有時間的話
[21:50] 再上Threads跟小紅書
[21:51] 全部都上
[21:52] 我根本就不用去猜
[21:53] 我的影片
[21:53] 在哪一個平台上面的流量比較好
[21:55] 我全部都上以後
[21:56] 過了一天
[21:57] 我就知道答案了
[21:58] 透過數據去告訴我們答案
[22:00] 你知道答案以後
[22:01] 你就可以再加碼
[22:02] 比如說你在YouTube Shorts上面流量最好
[22:04] 你就可以加碼做YouTube長片
[22:05] 那你如果在IG上面最好
[22:07] 那你就多發一些限動
[22:08] 你在Facebook上面效果最好
[22:09] 那你就可以開一些Facebook的直播
[22:11] 發一些Facebook的文章
[22:13] 所以一開始你真的不要去想太多
[22:15] 我們店上裡面有句話叫做
[22:17] 我永遠不要去猜哪一匹馬跑得最快
[22:19] 直接讓它去跑
[22:20] 跑外後我就知道了
[22:22] 有人會問說
[22:23] 那個上片的頻率要怎麼樣
[22:24] 我自己建議
[22:25] 你至少一個禮拜要上一部影片
[22:27] 重要是你要持續的去創作
[22:29] 其實最好的方式
[22:30] 應該要預更
[22:31] 你做短音的目的是
[22:32] 希望觀眾記住你
[22:34] 怎樣會讓他記住你呢
[22:35] 就是天天看到你
[22:37] 那如果有些同學覺得說
[22:38] 哇我每天要上一部片
[22:39] 我的這個壓力很大
[22:40] 那沒關係
[22:40] 你至少一個禮拜上兩次影片
[22:43] 如果你真的也沒辦法做到兩次的話
[22:45] 你至少一個禮拜做一隻
[22:46] 做幾隻其實真的沒有關係
[22:48] 重點是不要停
[22:50] 拍影片第一流量不會失敗
[22:52] 停止拍片才會
[22:53] 所以找到自己一個舒服的方式跟節奏
[22:56] 才是你可以走得更長久的秘訣
[22:58] 有些同學會問說
[22:59] 如果我做短音不想露臉怎麼辦
[23:01] 站在良心的角度我會告訴你
[23:03] 你如果能夠的話
[23:05] 盡量要露臉
[23:06] 短音就是要製造信任
[23:07] 沒有什麼方式比露出你的臉
[23:10] 更能夠得到別人的信任
[23:11] 那如果你說
[23:12] 啊老薩我真的是個Iron
[23:13] 我就是不想露臉怎麼辦
[23:14] 好我給你兩個方式
[23:16] 第一方式是呢
[23:16] 你可以戴個口罩
[23:18] 那個恐懼感就會降低比較多
[23:20] 那第二個
[23:20] 你可以拍Vlog的形式
[23:22] 就是我們剛剛講到的影片加口播
[23:25] 你看我的這支影片
[23:25] 我就是講我去住院的那個故事
[23:28] 整部影片我沒有對著鏡頭講話
[23:30] 我就是用iPhone裡面的語音備忘錄
[23:32] 去錄一個一分鐘的口播
[23:34] 再搭配一些影片跟畫面進去
[23:36] 就這樣
[23:36] 所以如果你真的對於鏡頭很恐懼
[23:38] 不想要對著鏡頭講話的話
[23:40] 你可以嘗試這兩種方式看看
[23:42] 成功的秘訣是
[23:43] 不要管那麼多
[23:44] 先去拍就對了
[23:45] 所以我自己很喜歡一句話
[23:46] 叫做成功不是給準備好的人
[23:48] 是給開始的人
[23:50] 你在還沒有開始拍片之前
[23:52] 你心裡百分之八十的煩惱
[23:53] 八十趴的困難
[23:54] 到時候都不會發生
[23:56] 啊等到你真正開始拍了以後
[23:57] 有八十趴的問題
[23:58] 你當初都沒有想到
[24:00] 那你想那麼多幹嘛
[24:01] 先行動再副盤
[24:03] 慢慢的去修正優化
[24:05] 你一定會拍得越來越好
[24:06] 大部分的人其實都是說說仔
[24:08] 在旁邊懷疑
[24:09] 觀望
[24:10] 然後從來不下場
[24:11] 今天看完這部影片以後
[24:13] 等一下馬上去拍片
[24:14] 你就已經百分之八十的人
[24:16] 那如果你拍完片以後
[24:17] 還可以持續的去拍
[24:19] 拍一個月兩個月三個月
[24:20] 那你又贏這二十趴裡面的
[24:22] 八十趴的人
[24:23] 最後如果你覺得這部影片
[24:24] 有幫助到你
[24:25] 想要聽到更多
[24:26] 有關於短營的知識的話
[24:28] 我現在有辦一個
[24:28] 免費的短營變性課的體驗課
[24:31] 連結就在資訊欄
[24:32] 大家可以點進去報名
[24:36] 這一次陳秀明的師傅上圈
[24:38] 我是陳秀明
[24:38] 各位同學我們三頂見
