[00:00] 我都寫得差不多了
[26:44] 但是我完全没办法
[26:46] 哦
[26:47] 应该
[26:49] 你看
[26:50] 往右键没有人理我啊
[26:51] 酷酷哎
[26:56] 没有这个能力
[26:58] 他没有什么样式之类的
[27:00] 有啊就是测蓝的时代
[27:03] 测蓝点下去的那个风格
[27:07] 他可以做一些变化
[27:09] 啊
[27:11] 比如说
[27:12] 我这边要讲
[27:14] 灵魂的
[27:16] 定位
[27:17] 或是说做咨询
[27:18] 这边加一篮是咨询
[27:21] 这边加一篮咨询
[27:22] 那咨询我就是要给老师看
[27:24] 这一排就是
[27:26] 要
[27:27] 介绍给
[27:28] 介绍给个案的
[27:29] 给介绍给咨询个案用的
[27:31] 这样
[27:32] 这样不就加了吗
[27:33] 哎你怎么加的
[27:35] 就测蓝啊
[27:37] 测蓝
[27:38] 你选他说那个
[27:40] 右上角那个测蓝打开
[27:43] 右上角
[27:44] 这里
[27:45] 最右边那个最右上
[27:48] 对
[27:49] 格式对按下去
[27:51] 然后风格有没有
[27:53] 对啊然后
[27:55] 我我刚刚那个是形状吗
[27:57] 他那个充满那边你把它选
[27:59] 填满
[28:00] 对拉下来选填满
[28:02] 好啊那我想要
[28:04] 接到真灵光的都用红色好了
[28:07] 都不一样
[28:08] 红色他刚
[28:09] 他他他送
[28:10] 因为他第一届是红色的
[28:12] 等一下
[28:13] 哎充满那边
[28:15] 拉下拉选选取就好
[28:26] 好
[28:28] 红色的
[28:29] 对
[28:35] 什么不理我
[28:37] 你要你要抱
[28:39] 你要那个脆纹是不是
[28:41] 668万次浏览
[28:43] 也可以啊举例啦就这样
[28:45] 就是举例你看到可以跟我讲
[28:47] 最新的话因为你们要最新的嘛
[28:49] 但我觉得上完课又变了啦
[28:51] 上完课又会变
[28:53] 没有他
[28:55] 随便滑都很多
[28:57] 而且我觉得
[28:58] 如果开一个小账号
[29:00] 然后你你上去
[29:02] 因为你是新的账号
[29:03] 所以他推给你都是保温
[29:05] 随便都是
[29:07] 好几千几万的
[29:09] 按赞
[29:10] 就这样好
[29:11] 对啊因为你没有追踪的定义
[29:13] 你没有特别在追吗
[29:15] 对因为新的账号你没有
[29:17] 你没有喜好他不知道你喜好
[29:19] 所以他就是推那个
[29:21] 报文给你
[29:23] 好这是可以被理解的
[29:25] 好所以
[29:27] 所以就是
[29:28] 我就会把这个
[29:30] 然后我要这边的重点就是我要可以让他
[29:33] 进入这个
[29:35] 哎呦
[29:37] 还有怎么不给我颜色呢
[29:39] 我要个颜色怎么那么难
[29:41] 充满的
[29:43] 会好
[29:45] 就是他然后我这边想要开一个
[29:47] 我这边卡住的
[29:49] 就是我这边要开一个
[29:51] 然后我要写下
[29:53] 真灵光时间表结果他没办法再开一个
[29:56] 不同的格式在这里
[29:58] 东西什么他就全部变格式了
[30:00] 我今天早上就封了
[30:02] 我这边写真灵光气化
[30:04] 哦
[30:06] 我把气化数写来这然后把
[30:08] 这边连在一起就是他是可以
[30:10] 跟这边串联的
[30:12] 嗯
[30:14] 结果呢
[30:15] 我就写了那个我就开了
[30:17] 这个时间轴
[30:19] 然后他整个图图物变了
[30:21] 就是他里面不能有两个格式
[30:23] 然后我就封了
[30:25] 对啊因为他他的逻辑就是
[30:27] 他逻辑就是这样啊
[30:29] 对对对我就封掉了就只能这样是吧
[30:31] 是这样子吗
[30:33] 我不知道啊我就
[30:35] 好吧
[30:37] 开了很多个
[30:39] 交福的在旁边啊
[30:41] 啊
[30:43] 你不是开了很多个吗
[30:45] 没有啊我右边像
[30:47] 嗯你看我右边哦
[30:49] 你看我右边哦
[30:51] 你不是右上
[30:53] 右上开了一堆
[30:55] 开了一堆那些他都不能按照我
[30:57] 时间走格式啊他只能
[30:59] 呈现速状图格式啊
[31:01] 因为他就是他就是一个
[31:03] 檔案子的一种格式啊然后他
[31:05] 我然后早上我就封了我早上好我要
[31:07] 我早上我要往下拉嘛
[31:09] 我要让他往下拉哦
[31:11] 哇他都
[31:13] 他就是一个檔案子就听不上
[31:15] 面了不是你看哦他他
[31:17] 我这边我可以理解他要
[31:19] 一样的格式然后我要
[31:21] 往下我就把这个东西
[31:23] 往下拉
[31:25] 然后他没有连线
[31:27] 然后我就我就
[31:29] 无言了因为你因为你这个是
[31:31] 另外一个大主题不是
[31:33] 不是直主题啊
[31:35] 对我好像要显好像显大主题了
[31:37] 然后我要加东西嘛
[31:39] 然后他就加这边我要往下
[31:41] 加然后我就把这个
[31:43] 移过来然后他
[31:45] 也没有连线他线就不见了
[31:47] 好第四番了
[31:49] 好你先吃饭你吃饭
[31:51] 完全连不下来
[31:53] 对就这样
[31:55] 就这样好那你先
[31:57] 没事的话先做试风的然后我现在开始写
[31:59] 企划书了这样我已经进入
[32:01] 企划书了再跟你说
[32:03] 好拜拜
