[00:00] 我就是一個不愛開暖氣的人
[28:46] 我告訴你們因為
[28:47] 大家看別人怎麼做我就跟著做
[28:50] 對吧
[28:51] 是吧
[28:52] 我沒說錯吧
[28:53] 他都這樣寫啊
[28:54] 那個老師好像都這樣寫
[28:56] 或是我看了幾個人都這麼做
[28:58] 我也一樣話無如跟著這麼做
[29:01] 沒毛病吧
[29:02] 對吧
[29:03] 然後大家都這麼做
[29:04] 然後大家都不知道自己在做一個
[29:07] 無效的
[29:08] 呃事業經營方式
[29:10] 或者是因為大家都這麼做
[29:12] 所以你的準客戶會找不到你在哪裡
[29:16] 因為你什麼都寫了
[29:18] 那你們知道什麼都寫代表一件事情哦
[29:20] 代表你到底專精什麼樣
[29:24] 哦人們會有一個問號
[29:26] 那我告訴你以前我我其實以前沒有學
[29:30] 還沒有學習行銷
[29:32] 還沒有學習這些商業邏輯的時候
[29:35] 因為我很專注的在做一件事
[29:38] 因為剛好我就是一個只能專注做一件事情的人
[29:41] 所以呢我以前在
[29:43] 在臨性解讀工作房的時候
[29:45] 我不論學習什麼
[29:46] 我都是為了要負能給這個工作房的
[29:50] 所以我不會到處跟人家說
[29:52] 哦我又學了數字又學的展新又學的塔羅
[29:55] 又學的昆達又學的銅鑼又學的什麼
[29:57] 不會做這件事我不會
[30:00] 我的給人的印象我永遠就是會那一招
[30:03] 但是我的那一招
[30:05] 專精生根有沒有
[30:08] 所以哦哦5號留言都這樣
[30:12] 星宇真的太可愛了
[30:14] 所以因為我是很專精的
[30:16] 我很深根在一件事情的
[30:18] 所以呢我就不會跑來跑去
[30:21] 我不會什麼都寫好
[30:22] 那後來呢
[30:23] 我我也才意識到原來我這麼做
[30:26] 哎好像還是對的
[30:29] 所以因為當後面我去學了很多的商業課程
[30:33] 還有就是商業課程很多
[30:34] 教你商業定位嘛對不對
[30:36] 然後我我個人又很喜歡行銷
[30:39] 所以呢我就我就開始很認真的
[30:41] 更加系統化的去學行銷
[30:44] 從商業課再到行銷再到網路行銷
[30:48] 從營銷到行銷都不一樣哦
[30:50] 所以我就發現這很有趣
[30:52] 那來各位同學我問一下哦
[30:55] 對不起我跟著各位老師們
[30:57] 我我調整一下
[30:59] 各位老師們我問一下
[31:01] 既然我們不能寫一堆服務案例
[31:03] 既然我們不能寫一堆定位
[31:05] 那請問可以怎麼寫啊對不對
[31:08] 我給大家我的範例好不好
[31:10] 給你們一個參考
[31:11] 我如果要寫怎麼寫哦
[31:14] 好大家看一下
[31:15] 你們昨天有看到過了嗎
[31:17] 來你看哦
[31:18] 我的這這是我的臉書
[31:20] 我的主要經營的就是在臉書
[31:23] 那我的臉書呢
[31:24] 給人的印象就是我專門在做
[31:27] 就是臨性品牌的落地
[31:29] 所以我只會做一件事情就是
[31:32] 我不斷的在告訴你一件事情
[31:34] 臨性是需要落地的
[31:36] 然後臨性可以如何落地
[31:38] 所以我我就會專注的
[31:41] 在不斷的告訴你
[31:43] 我可以怎麼支持你落地
[31:46] 那我不會告訴你說
[31:47] 哎我可以支持你落地哦
[31:49] 哎哎那個我跟你們講
[31:50] 我還會那個塔羅
[31:52] 我還會塔羅牌可以找我做塔羅
[31:54] 哎我跟你們說我還會意經哦
[31:56] 我還會占卜哦
[31:57] 我還會給你靈氣哦
[31:58] 我會給你能量哦
[32:00] 我會的很多呢
[32:02] 我不講
[32:03] 我跟你們說我絕對不講這個
[32:05] 你我我真的也會很多
[32:06] 但是我從不說我會很多
[32:08] 為什麼我只要給人家一個
[32:11] 他最一聽到我一想到
[32:14] 我就會精準的知道我在幹嘛的
[32:17] 他或許沒有辦法記得
[32:19] 我叫臨性品牌落地時
[32:21] 但是他想到我就會知道啊
[32:23] 他就是要幫那個身心靈老吃落地的
[32:26] 那個人
[32:27] 幫老師落地的有沒有
[32:29] 哦這是我要給人家的印象
[32:31] 哎就是那個幫身心靈老吃落地那個人
[32:34] 那是不是這個就成功了好
[32:36] 那這個是我的封面頁
[32:38] 哦那封面頁大家留意一下哦
[32:40] 你們不論你做臉書
[32:42] igtik不論做哪一個自媒體
[32:45] 哎有人畫到了
[32:47] 等我一下哦
[32:48] 那個那個等我一下我們的主持人工具
[32:51] 不分享白板不分享筆記
[32:54] 剛剛沒有把它點掉哦
[32:56] 呃不給你們等一下哦
[32:59] 剛剛有人用到白板哦
[33:02] 好
[33:04] 好不好意思我們就繼續回來
[33:07] 好然後呢
[33:08] 拉回要追這個是我的ig臉書對不對
[33:11] 那不論你在哪一個
[33:13] 那個自媒體裡面都一樣
[33:16] 哦你的那個這個封面頁麻煩你
[33:19] 你們自己在做麻煩你要幹嘛
[33:22] 你要讓他有一個專業度
[33:25] 因為我看到好多人都沒有
[33:28] 那個做的很專業哦
[33:30] 那這樣會什麼就是
[33:32] 你是來交朋友還是你是來
[33:35] 就是讓人知道你給什麼服務的
[33:38] 對不對你要做什麼
[33:40] 那如果你只是要交朋友
[33:41] 有交朋友的方式對不對
[33:43] 你只是哈哈哈哈好玩
[33:45] 但如果你要讓你的靈性落地
[33:47] 收入落地
[33:49] 然後你是真的很想支持人們
[33:51] 那你是不是該把你最舉軸的
[33:54] 服務內容給寫清楚說明白
[33:57] 哦你真的要支持人的話是這麼回事嘛
[34:01] 對不對好那我再給大家看
[34:03] 這個是在我的臉書頁下面
[34:06] 大家看一下下面我是臉書往下滑
[34:08] 是不是會有個簡介
[34:10] 對不對這是我截圖的
[34:11] 那我就把那個簡介的內容貼在這邊
[34:14] 給大家看這一樣上下是一樣
[34:16] 只是上面更清楚一點點哦
[34:18] 就是我讓人家知道
[34:19] 哎我有20年的教學經驗
[34:21] 我打造了一個什麼系統
[34:23] 那我是專門為療律師
[34:24] 還有把專業結合身心靈的人
[34:26] 建立是一個怎麼樣的東西
[34:29] 我是不是寫清楚說明白
[34:32] 那我想告訴你們的是
[34:33] 呃我就不斷的把這樣的印象
[34:37] 印在人們的腦海裡
[34:39] 我不會告訴他我會A B C D E F G
[34:43] 沒有我就會一個
[34:44] 好會一個最主軸的那一個
[34:47] 但最主軸的那一個是什麼
[34:49] 那就很需要你們來做
[34:51] 那當然除了我自己之外
[34:53] 我也會幫我的學生做定位
[34:55] 所以給你們看一下他們的定位範例
[34:57] 給你更多的範例參考
[35:00] 哦比如說這個是我們的小清老師
[35:03] 然後他原本就的名稱就叫方寮師
[35:06] 我請問各位你覺得方寮師多嗎
[35:10] 你覺得叫方寮師的多嗎
[35:13] 你覺得多了打多少了打少
[35:17] 然後是不是
[35:19] 嗯他如果也是方寮師
[35:21] 是不是跟其他的方寮師好像沒有太多差別
[35:25] 沒有說方寮師這個名稱不好並沒有
[35:28] 我其實我覺得方寮師這個名稱也不錯
[35:30] 為什麼
[35:32] 因為嗯就代表這個就是現在
[35:34] 夯的一個也算是夯的一個領域產業
[35:38] 對不對
[35:39] 那他經過我們調整之後
[35:42] 他現在的名稱叫做植物伴侶
[35:46] 為什麼
[35:49] 因為他其實就在跟他聊的過程中
[35:54] 他我發現哎他其實有寫著定位
[35:58] 但是呢
[35:58] 嗯他在書我在跟著他書裡的時候發現
[36:02] 他根本做的不是方寮師
[36:04] 哎他是方寮師的導師
[36:07] 而且他專門就是用植物方向這一類的東西
[36:11] 來幫人家去做那個就是
[36:13] 來帶著這些去做創業的
[36:16] 所以他其實是方寮師的老師哦
[36:19] 老師說哦
[36:21] 呃
[36:22] 我不曉得歪L是什麼
[36:24] 我不知道哦
[36:25] 嗯他就是方寮師的老師
[36:27] 好那我再給你們一個範例
[36:29] 了解一下什麼叫定位
[36:31] 哦
[36:31] 這是我們呃前陣子來的一個同學
[36:35] 然後他的就名稱呢叫做什麼
[36:37] 酸無語堂極被整復中心
[36:41] 那大家一看這個是等於是他是做
[36:44] 很像是整集整複對不對
[36:47] 好哦那是有了啊我不知道哦
[36:50] 然後嗯這個是他舊的名稱
[36:53] 那這個同學他的名稱就叫無語堂
[36:56] 那後來他改了
[36:57] 那但是他來找我他的痛點是什麼
[36:59] 我跟你說他就是我們昨天說
[37:01] 就是他有一個專業要加上生心靈
[37:05] 他覺得很好
[37:06] 但是呢他他的專業也是整整集老師
[37:10] 這個專業他已經做了很多年了
[37:14] 然後我我跟你們講整集這個做久
[37:16] 這個是有一個時間壽命的你們知道嗎
[37:21] 如果他是做他就是比如說
[37:23] 如果做到50幾歲已經快要到極限了
[37:26] 你們知道這個事情嗎
[37:28] 為什麼因為一直做一直做手身體
[37:30] 會受傷的
[37:31] 再怎麼做就是他會有一個極限的
[37:33] 好因為他是比較偏就就好像
[37:36] 他是比較對比較體力活
[37:38] 而且你知道你那個手一直做做會累的
[37:41] 好所以他們會會想轉型
[37:43] 那所以他現在已經在為他未來轉型做準備了
[37:47] 他們的他的這個老師他的 show
[37:49] 就是他的客戶族群也是非常穩定的
[37:53] 但是他很清楚知道他再不轉型不情
[37:57] 哦所以我給大家看一下
[37:59] 那他在跟他聊的過程我意識到
[38:01] 他其實對於生心靈很
[38:03] 他已經接觸生心靈
[38:05] 呃很長時間了
[38:07] 好對不起啊按錯了
[38:09] 所以呢他後來改了一個名稱調整了之後
[38:12] 他用我們的 aig 器人
[38:14] 然後調整之後他把他自己的名字叫做命運
[38:17] hike 來給大家看一下什麼意思哦
[38:20] 掃描生命底層的貫性代碼
[38:23] 讓你奪回重構宿命的最高權限
[38:26] 生根心運圖算與能量較準
[38:30] 超過20年了
[38:31] 將古老智慧轉化為精準的人生翻轉數
[38:35] 成功協助300家同個案
[38:37] 從受困於命運漏洞到重啟人生系統的主導者
[38:42] 哦我覺得他這整段內容呢
[38:44] 寫得很有他自己的味道
[38:48] 好然後他用我們的機器人去做的
[38:50] 好所以呢
[38:51] 你看哦這個就是我想跟大家講定位的部分
[38:55] 好聽到這裡為止你有聽懂
[38:59] 那個定位的概念的你有聽懂的
[39:02] 幫我打個懂你有聽懂
[39:04] 而且嗯你明白了
[39:06] 原來這就是定位
[39:07] 好我舉了三個定位例子給你了嘛
[39:09] 對不對好
[39:10] 所以你們都有懂很好哦
[39:12] 好那我們就繼續有聽懂哦
[39:15] 有聽懂你就繼續這樣你你會跟著我的節奏
[39:18] 哦好那我們繼續
[39:19] 那既然你聽懂了
[39:21] 來我們靈魂定位個案數量
[39:23] 現在那昨天是不是有講系統
[39:25] 我們就今天不講了
[39:26] 那呃我們昨天是不是有講什麼官網
[39:30] 只敢社群那個我們也沒有特別講
[39:32] 但是我們昨天有講官網
[39:34] 就要打造系統嘛
[39:36] 那今天還要特別跟大家講什麼呢
[39:38] 講報款貼文
[39:41] 也就是說你要建議吸引力對不對
[39:44] 那你要怎麼限利
[39:45] 還有一個就是呃報款貼文短影音等等
[39:48] 那這個東西很有趣哦
[39:51] 你知道嗎就是呃
[39:52] 很多人他開始知道
[39:54] 就是現在沒有人不知道
[39:57] 如果你要引流都是在自媒體對不對
[40:00] 好那這裡就是我們
[40:01] 也是我們打造限利
[40:03] 找到吸引力建立信任的一個環節
[40:06] 那我們來看一下
[40:08] 我們在自媒體
[40:09] 我們在自媒體引流是這樣哦
[40:12] 是有長影音短影音寫圖文
[40:15] 然後路Podcast對不對
[40:17] 這是我們最常見的四種
[40:20] 四種引流方法好
[40:22] 那這四種方法來我給你們
[40:25] 你們你們常用的是哪一個
[40:27] 1234寫下來
[40:28] 如果有好幾種就
[40:30] 1就寫1
[40:30] 1加2就寫12
[40:32] 以此類推
[40:34] 好以此類推
[40:36] 然後呃
[40:39] 最常做的是什麼
[40:40] 哦很多人最常做的是3
[40:43] 哦三句多哎
[40:45] 如果你有做的話
[40:46] 1234最常做的
[40:47] 我沒有
[40:50] 哎有人路Podcast的不錯哎
[40:52] 很好哦很好哦
[40:55] 信予說個案都是看報告書好
[40:58] ok好三是最多人哦好
[41:00] 那所以今天你們都是
[41:02] 那三你們都怎麼寫啊
[41:03] 又跟ai溝通
[41:04] 然後請他幫你修文是這樣子嗎
[41:07] 是嗎
[41:08] 是的是不是答沒有
[41:11] 哦信予沒有
[41:12] 你都自己寫是不是
[41:14] ok這麼認真哦很好哎
[41:16] 有一種是專門自己寫
[41:17] 然後也有一種是寫那個
[41:21] 就寫好了
[41:22] 然後請那請ai幫忙寫
[41:24] ok好沒有哦好
[41:26] 沒關係
[41:27] 然後我們來看一下
[41:27] 因為最多是3嘛
[41:29] 然後我給你們看一下為什麼哦
[41:30] 最多就是寫文章配圖我們來看一下
[41:33] 執行的門檻難度是這樣子的
[41:36] 好因為寫文章配圖是裡面最簡單的
[41:39] 然後再來就是短音
[41:41] 再來Podcast
[41:42] 再來長音音
[41:43] 所以剛剛的調查裡面回來看
[41:45] 沒有人打一
[41:47] 哦然後也幾乎沒有人好像也沒有人打二哎
[41:50] 我沒看到有人打二哎我看一下
[41:52] 沒有哎
[41:54] 哦沒有人我看一下沒有哎沒有二哎
[41:57] 好ok好
[41:59] 然後呢三有然後四一個
[42:01] 然後四算是裡面難度
[42:03] 有也是如果難度是
[42:05] 呃一顆兩顆三顆五顆星的話
[42:09] 那寫文章配圖是裡面
[42:11] 最有就是最執行難度最低的對不對
[42:15] 好那請那但是這個就要跟你的轉換率
[42:18] 有關哦
[42:19] 哦就是這時候你要想
[42:22] 你寫文章配圖到底有沒有用
[42:25] 你們有你覺得有幫助你嗎
[42:28] 長音音短音音都是
[42:30] 短音音很簡單你只要短音以外的
[42:32] 都是長音音比如說短音一最長
[42:34] 我們會建議啦
[42:36] 最長大概是一分半
[42:37] 那長音音十分鐘以上吧
[42:39] 你就你就可以把它認定叫長音音了
[42:42] 好那就是你放在youtube
[42:44] 横的那種方式
[42:46] 而且至少我覺得要十分鐘左右吧
[42:48] 十到二十分鐘
[42:50] 那就是長音音
[42:51] 哦
[42:53] 八小時不是錄音檔八小時
[42:55] 看你錄什麼東西啊
[42:56] 沒有人在那個
[42:58] 除非你是給譬如說在youtube上面
[43:01] 你是給那個那個聲音檔
[43:03] 就是那種音樂類的音樂的話
[43:05] 有人可能是一兩小時的音樂有沒有
[43:08] 那種也是那水晶波
[43:10] 如果你要放成是錄音檔
[43:12] 你可以放在youtube上面
[43:14] 但是我會蠻建議
[43:16] 就是音波那你要錄得好啊
[43:19] 那個一定要錄得好
[43:21] 你可以放在youtube上面
[43:23] 好那那就是那就算是
[43:25] 然後你配配圖
[43:27] 或是配一些動畫
[43:29] 那就是影音了
[43:30] 好因為youtube不能只放錄音檔
[43:33] 好那八kiss的呢
[43:35] 沒有人在放那麼長的對不對
[43:37] 所以你可以放在youtube上面好
[43:40] 那我跟大家想哦
[43:41] 你看哦剛剛很多人就都在寫圖文對不對
[43:44] 那你們知不知道寫圖文在身心靈靈欲
[43:48] 他還是有流量的
[43:51] 你知道這件事嗎
[43:53] 他還是有的
[43:54] 你知道的就打yes
[43:56] 你知道的就打yes
[43:58] 你知道寫圖文
[44:00] 寫文章然後再配個圖
[44:02] 他依舊是有流量依舊會有人看的
[44:05] 連你自己也會想閱讀的
[44:08] 你知道打yes
[44:09] 你覺得沒有啊
[44:10] 已經過時了的話你打個no
[44:13] 你覺得沒有過時了
[44:15] 打個no
[44:16] 我看看有沒有人打no
[44:18] 有嗎
[44:18] 大家都寫yes
[44:20] 哦
[44:22] 那就代表你們都認同這件事情
[44:24] 認同寫圖文
[44:25] 他還是有經營的可能性對不對
[44:29] 好那我給你們講一件事情
[44:32] 好消息是什麼呢
[44:33] 他的門檻最低
[44:35] 那我問一下哦
[44:37] 你覺得門檻最低會不會代表
[44:39] 他能夠變現你最低
[44:41] 你覺得會嗎
[44:43] 你覺得會嗎
[44:44] 你覺得如果寫文章配圖
[44:46] 雖然他他的門檻低沒錯
[44:48] 但會不會也等於變現變低
[44:51] 你覺得會的打會不會的打不會
[44:54] 那有人寫不一定你也不知道
[44:56] 如果你覺得會就打會
[44:58] 會門就是
[45:00] 呃變現變低
[45:02] 你覺得變現會變差的
[45:04] 你就打個會會變現變差
[45:06] 你覺得不會變現變差的
[45:08] 你就打不會
[45:09] 你覺得是哪一個
[45:10] 哎現在已經有開始不同的論點
[45:13] 有人說不會有人寫不一定
[45:14] 有人說會有的說不會
[45:16] 有會跟不會都有
[45:18] 會的比較少啦不會的比較多
[45:22] 好我要跟大家講一件事情
[45:24] 呃其實如要看你怎麼寫
[45:26] 為什麼有人說不一定
[45:27] 我跟你們說好不好
[45:29] 會會變現變低
[45:31] 呃只含說會變現變低
[45:33] 呃呃呃
[45:36] ok好我跟你們講
[45:38] 呃寫文章配圖如果你沒寫好
[45:41] 當然跟短其實每一個都一樣
[45:43] 哦你沒做好他
[45:44] 你就是在做一個無效動作而已
[45:47] 如果你有做好他
[45:48] 那他就是一個有效動作有效行為對不對
[45:51] 那我跟各位說一下
[45:53] 你看有一個老師不是我
[45:55] 有一個老師他說
[45:56] 這個月他寫了一篇貼文
[45:58] 花七天就變現400萬
[46:01] 然後合作公司的老闆還說
[46:03] 哎早上醒來發現400萬
[46:05] 砸在我臉上
[46:07] 來我問一下
[46:08] 我們先看到這裡就好
[46:09] 後面你們看不懂也沒關係
[46:11] 哦本身他的意思就是
[46:12] 他靠寫貼文就變現400萬
[46:15] 後來又做了一件外件事情
[46:17] 又炸出了137萬
[46:19] 解決了文字不能穩定變現的
[46:22] 一個迷思來請問
[46:24] 那你會不會想要讓你自己寫的文章
[46:27] 是有效貼文呢
[46:29] 會嗎會的答會
[46:31] 你覺得如果他可以幫助你變現
[46:34] 然後有效貼文
[46:36] 好那我只能說
[46:37] 那我要先跟各位講哦
[46:39] 呃他的門檻最低
[46:42] 然後呢但是學會這個
[46:44] 就是但是這個人當然是高手中的
[46:46] 必須承認他真的是高手中的高手
[46:49] 對不對而且他不是自己做哦
[46:51] 他們是有一個團隊的
[46:53] 所以我們這種一人公司
[46:54] 是不能跟團隊比的
[46:56] 你可以理解哦
[46:57] 我們我們沒有一個團隊
[46:59] 我如果比如說你們每一個人
[47:01] 都是個體戶你都是一人公司
[47:03] 好那你們當然就呃方法不一樣
[47:07] 好那但是我要說的不是這件事
[47:09] 我要說的是一樣是你看哦
[47:11] 一樣是寫文章配圖
[47:14] 人家一樣這麼做對吧
[47:16] 那人家有沒有變現有變現的差嗎
[47:18] 沒有甚至他變現是不是很好
[47:22] 他變現很好嘛
[47:23] 所以這就是重點哦
[47:25] 哦那但是我還要講一個
[47:27] 哎我們都知道寫文章
[47:29] 家圖可以變現
[47:31] 那如果你的變現不如你預期
[47:34] 哦昨天我們看到很多人填
[47:36] 一對一的諮詢表單
[47:37] 我們發現比如說好
[47:39] 所以我隨便舉例而已哦
[47:40] 比如說我現在收入水平在5到8萬
[47:43] 他們期待6到12個月之後
[47:45] 是可能20到30萬
[47:47] 那你要怎麼做到這件事情
[47:50] 如果在半年以後
[47:51] 你要做到20到30萬
[47:53] 你要怎麼做到這件事情
[47:55] 那很多人因為不知道怎麼做
[47:57] 所以他會怎麼樣會著急
[47:59] 那著急會發生什麼事情呢
[48:02] 就是可能你還沒有學會暖身
[48:05] 你還沒有學會引流
[48:07] 你就著急變現了
[48:09] 什麼叫著急呀
[48:10] 然後呃什麼叫暖身
[48:12] 我跟你講就是你在
[48:13] 你用自媒體你要
[48:15] 要做一點暖身
[48:16] 剛剛那個人說7天就變現
[48:18] 是因為他前面做了一個鋪墊跟暖身
[48:22] 哦等一下我會示範給你們看
[48:24] 什麼叫暖身
[48:25] 那我先來說一下
[48:27] 什麼叫著急變現的一個
[48:29] 常見錯誤好不好
[48:32] 比如說第一個
[48:33] 你你的人家就是才剛認識你
[48:37] 然後你就開始丟付費文宣了
[48:40] 等一下我會示範給你們看什麼意思
[48:42] 好這是你們常犯錯誤
[48:44] 大家看一下
[48:44] 然後再來還沒有定位清楚
[48:47] 就是什麼都想賣
[48:48] 如果你覺得你看看自己對號入座
[48:51] 看你有沒有這個狀況哦
[48:53] 再來
[48:54] 你沒有常常出現在自媒體
[48:57] 你就期待有人信任你
[48:59] 好然後甚至呢
[49:00] 你還沒有做引流
[49:02] 你可能期待是人家信任你就算
[49:04] 你還期待人家就買單
[49:05] 你還沒常出現在自媒體
[49:07] 你沒有常常出現在別人的眼裡
[49:10] 你就期待這件事情了
[49:12] 然後沒有引流
[49:13] 你在你自己的小圈圈買
[49:15] 所以呢
[49:15] 因為著急變現嘛
[49:16] 在自己的小圈層買
[49:18] 所以呢
[49:19] 就是等於是收入沒有辦法很好
[49:21] 就因為就很少小圈圈
[49:23] 好
[49:24] 然後再來呢
[49:24] 你可能沒有送體價值體驗
[49:27] 你就期待對方付費
[49:29] 好
[49:30] 你沒有給到一個價值體驗
[49:31] 或是一個
[49:32] 不一定是送
[49:33] 可能是非常便宜的體驗
[49:35] 但是你都還沒有給到他
[49:36] 期待對方付一個比較
[49:39] 正式的價格給你
[49:42] 哎
[49:42] 這個就不一定
[49:43] 有可能人家會願意
[49:45] 好
[49:45] 然後你的暖身
[49:46] 甚至還就提醒人家
[49:48] 這個是要付錢的哦
[49:49] 後面現在暖給你是因為要付錢的
[49:51] 你還提醒他
[49:52] 哎
[49:52] 他就不舒服
[49:53] 對不對
[49:54] 好
[49:55] 那然後有可能你把成交當第一步哦
[49:58] 而不是最後一步
[50:00] 來問你們自己哦
[50:01] 好在
[50:02] 最討厭我自己個人最討厭的就是在臉書
[50:06] 精選
[50:06] 哎
[50:06] 可所有人
[50:08] 來
[50:09] 我問各位
[50:10] 你有沒有中招呢
[50:12] 這裡面有七招
[50:13] 你覺得你自己中了哪幾招
[50:16] 如果你中了一招血衣
[50:18] 如果你中了七招
[50:19] 都有這個狀況
[50:20] 你打七
[50:21] 如果你都沒有打零
[50:23] 好不好
[50:24] 零到七
[50:25] 你覺得你有沒有這些狀況
[50:28] 如果有有幾個
[50:30] 你可以寫下一個給我看嘛
[50:32] 你敢不敢誠實面對
[50:34] 然後讓我知道
[50:35] 你現在的狀況
[50:38] 哎大家都沒有人寫
[50:39] 是不敢寫哦
[50:41] 不好寫
[50:45] 有有四種
[50:46] 有的有五種
[50:48] 好
[50:48] 你有幾種
[50:49] 就是累計有哦
[50:51] 哦
[50:52] 幾你可以看看你有哪幾個
[50:55] 好
[50:55] 那這就是召集變見的場建錯誤
[50:58] 那我們我們其實不做這個事情
[51:01] 昨天有講了一個很重要的點是
[51:04] 用吸引取代什麼
[51:06] 取代那個銷售
[51:08] 對不對
[51:09] 我們用吸引取代銷售
[51:11] 是很重要的
[51:12] 但這裡有有可能
[51:14] 你因為我們想把成交當第一步
[51:17] 第六點是不是跟第一個很像
[51:19] 你沒有暖身就直接丟付費
[51:22] 因為你著急變現嘛
[51:23] 那成交變成第一步
[51:25] 而不是後面那一步
[51:27] 所以人家就會沒有
[51:29] 對用吸引取代銷售
[51:31] 所以人家就不會有感覺
[51:33] 好那我舉一個例子
[51:35] 比如說什麼叫著急丟付費
[51:36] 文
[51:37] 文宣
[51:39] 像這個就是啊
[51:40] 我跟你們說哦
[51:41] 我在臉書或ig或哪裡
[51:43] 我就寫了一個說
[51:44] 哦在退我就寫哦
[51:45] 本週我有一個
[51:47] 我感覺到一個新的狀態了
[51:50] 我收到訊息
[51:51] 宇宙正在加速大家的整合
[51:52] 所以我這次課程整合了
[51:55] 1234567
[51:56] 那如果你覺得最近混亂
[51:58] 卡關容易類代表你的靈魂被召喚了哦
[52:00] 來豐順靈氣一日版
[52:02] 然後呢這個時間啊費用啊
[52:05] 什麼什麼哦
[52:06] 就是你可能認識這個還不是很多的時候
[52:09] 或者是這個人的
[52:11] 嗯就是這個人的
[52:13] 那個粉絲還沒有
[52:15] 我們叫做還沒有沉澱
[52:17] 沉澱的意思就是
[52:19] 還沒有加溫的很夠的時候
[52:21] 那就開始跟你講
[52:23] 你要不要來上我的課啦
[52:24] 哦什麼的
[52:25] 有可能會吸引到人哦
[52:27] 有可能會但是可能不會如他預期
[52:30] 為什麼因為可能暖身不夠
[52:33] 那老實說我跟大家講
[52:34] 老實說以前我還沒有學會這些
[52:38] 所謂的
[52:39] 呃就是所謂有一個叫銷售漏洞
[52:42] 這個概念的時候
[52:44] 我真的是這樣做的耶
[52:46] 我是我以前也是這樣做的耶
[52:48] 而且以前
[52:49] 大蠟大的把自己的課程費用是多少
[52:52] 寫在臉書上
[52:54] 不是很正常的嗎
[52:55] 沒有行語這不是寫給熟客
[52:57] 就直接大蠟蠟的寫在那個臉書上
[52:59] 臉書上有熟客也有非熟客啊不是嗎
[53:03] 我們我以前也是這樣大蠟蠟就寫在
[53:06] 那個公開的活動裡面啊
[53:09] 然後人家就那個願意報名就報名
[53:11] 然後我就會一直講我的課程啊
[53:13] 三不五十我寫的文章都跟我的課程有關
[53:17] 然後我的課程大家一看哦多少錢
[53:20] 然後所以這是以前早期這麼做
[53:23] 沒有問題我還是要強調
[53:26] 但是現在有沒有熟的老實說這樣
[53:29] 招生看著沒問題啊對不對
[53:31] 好聽著沒毛病嘛對不對
[53:33] 但是我問你哦我問你哦
[53:35] 呃我們現在是不是
[53:39] 整體環境不一樣了
[53:41] 然後我們是不是要開始與時俱進
[53:45] 有沒有你有沒有發現自己要開始與時俱進
[53:48] 現在已經越來越少人
[53:50] 除非你的東西很便宜
[53:52] 你要看比如說
[53:54] 如果你這個東西幾百塊
[53:56] 那當然是可以寫啦
[53:57] 那一千塊一千多塊
[53:59] 當然是可以寫啊
[54:00] 你要看是賣什麼東西
[54:02] 如果是賣家電家
[54:04] 家電用那個這種東西幾萬塊
[54:07] 我也覺得是合理啊
[54:08] 怎麼可能冷氣
[54:09] 如果跟你說幾百塊誰該買
[54:11] 對不對
[54:12] 但所以呢我們都有對某些東西的一些
[54:15] 既定印象的對不對
[54:17] 是沒有錯的
[54:18] 但是昨天還大家還記得昨天我取的例子嗎
[54:22] 有個老師啊
[54:23] 要開什麼其他了
[54:25] 寫了七萬多塊
[54:26] 我一看到我即便想學
[54:28] 我就會嚇到說
[54:30] 哇這個東西這麼貴哦
[54:32] 那有沒有我還不知道的
[54:34] 有沒有就是在我對這個課
[54:36] 都不了解的情況下
[54:38] 突然之間七萬多塊
[54:39] 我就會覺得哎呀我不會去上
[54:41] 那他就只能吸引誰
[54:43] 他就要
[54:44] 這個東西就是他太過直接的寫出來
[54:47] 那像大家現在如果你有這麼做
[54:50] 就直接把你的課程
[54:51] 不用大啦啦寫出來
[54:53] 那是有一種人可以這麼做
[54:55] 就是你的粉絲量很多的人
[54:58] 聽著你的粉絲量很多
[55:00] 那請問你覺得
[55:02] 怎麼樣才叫做粉絲量很多
[55:05] 你覺得五千人算多嗎
[55:08] 一萬人算多嗎
[55:10] 還是你覺得要多少才算多
[55:12] 請你把你認為的數字打上來給我看
[55:15] 還是一百人就算多
[55:17] 你覺得多少人
[55:19] 他是可以直接的把這種
[55:23] 把課程費用
[55:24] 有人說兩千人
[55:26] 還有沒有
[55:31] 只含寫一千人
[55:33] 一千哦兩千哦
[55:35] 新於兩千一千
[55:37] 兩千一千我寫
[55:38] 我說的是你的
[55:40] 呃
[55:42] 哦義容說一萬
[55:46] 好
[55:48] jesse 說一萬 michel 一萬
[55:50] leave out 五千好
[55:53] 哦因為你差不多
[55:54] 臉書做到兩千歲偶爾會這樣寫
[55:57] 好
[55:58] 如果齁你的課程費用呢
[56:00] 就當然這是你們收費方式
[56:02] 一萬多塊錢
[56:04] 然後如果這麼寫
[56:05] 寫在臉書
[56:06] 估計齁
[56:07] 如果你大概一千兩千人的話
[56:09] 估計如果有四五個人
[56:11] 來報名可以這麼說嘛
[56:13] 對不對
[56:13] 差不多可能是這樣的人數
[56:15] 如果有些人他就是想說
[56:17] 招生四五個人就可以
[56:19] 那你想要這麼寫也可以的
[56:23] 但是在我們來說
[56:24] 我們不會用這樣的方式來寫
[56:27] 好
[56:27] 因為呃
[56:30] 這個是就是就是
[56:31] 就是要看你要什麼
[56:33] 齁
[56:34] 那如果你要
[56:35] 這個我們後面會講得更清楚一點
