[00:00] 能量清理一有
[27:30] 哎有很多人不會也
[27:31] 那不會你們怎麼做
[27:33] 就是不是到私欲到公寓是不是
[27:37] 公寓是哪裡公寓就是社群媒體
[27:39] 對不對
[27:40] 到公寓社群媒體去發
[27:42] 發消息對不對
[27:43] 發你的文案發東西對不對
[27:46] 好那那個呢
[27:48] po在粉絲團哦也是一招是的
[27:51] 好那我們先回到
[27:52] 私欲流量室裡面
[27:54] 呃我跟大家為什麼要講到
[27:56] 私欲流量室我跟你們說
[27:58] 呃我有時候會收到像這樣
[28:01] 這個是我最新先收到的
[28:03] 12月29號2025年
[28:05] 也就是幾天前吧對不對
[28:07] 我收到有個有個老師
[28:10] 他po了這個給我
[28:12] 哦就是我我我把一些
[28:15] 就是不要
[28:16] 給你們看的
[28:18] 那個刪掉哦
[28:19] 就這個老師就po了
[28:20] 他有一個什麼財富豐盛的版
[28:23] 什麼什麼什麼哦
[28:24] 就是很長很長
[28:25] 所以我分了三個截圖給你們看
[28:27] 那我要說這個是什麼意思哦
[28:29] 其實我跟這個老師不熟哎
[28:32] 超級不熟
[28:33] 那我問你們哦
[28:35] 我問你們哦
[28:36] 如果你你看
[28:37] 然後大家看得出這是賴我的吧
[28:39] 對不對他賴到我的個人
[28:41] 我們就是加過的個人的賴好友
[28:43] 然後他就po給我請問哦
[28:46] 如果你收到一個跟你很不熟的人
[28:49] 沒有講過幾次話的人
[28:51] 然後他po了這個課程給你
[28:54] 你你的感覺是什麼
[28:56] 你會覺得舒服還是不舒服
[28:59] 舒服打一不舒服打二
[29:01] 舒服就是哦
[29:02] 好感謝你告訴我
[29:04] 原來你有一個豐盛實作課哎
[29:06] 好棒哦這是舒服打一
[29:08] 然後如果你覺得也太突兀了吧
[29:10] 我跟你熟嗎
[29:11] 你怎麼突然發這個呢
[29:13] 哈哈
[29:14] 你是有舒服好 ok
[29:16] 跳過不理
[29:18] 好就是比較偏哪一個一或二
[29:21] 好啊大部分的人都是寫二對不對
[29:24] 好那嗯像這樣子的東西
[29:27] 我偶爾會收到哎
[29:29] 像這個也是我偶爾收到的
[29:31] 都都有
[29:33] 那我要說的是這個方法
[29:35] 就是嗯
[29:37] 我要說如果哦
[29:39] 如果你有會很想封鎖
[29:41] 這對對我有時候會這樣
[29:43] 然後禮貌性沒封鎖
[29:44] 那幸好那個人還沒有超級長這樣
[29:47] 他如果長髮我就直接封鎖了
[29:49] 那我現在給你們看到這幾個
[29:51] 應該都是被我封鎖的
[29:53] 現在這一頁是封鎖的
[29:55] 那我要告訴各位
[29:57] 呃不是不是我拉回來一下哦
[30:01] 思慾Line這個是你的思慾流量池
[30:03] 對不對
[30:04] 思慾流量池可不可以用我問你們
[30:07] 可不可以用
[30:08] 你覺得可以還不能用
[30:10] 如果你要發你要怎麼發
[30:11] 會想學嗎
[30:13] 可不可以用
[30:14] 你覺得可不可以用
[30:15] 這些人如果都是你的
[30:17] 呃名單絕可不可以用
[30:19] 亮亮說可以
[30:21] User說想學
[30:22] 你其實可以用哦
[30:25] 不是說不能用你的名單
[30:26] 來大家現在看你手機
[30:28] 你手機有多少名單
[30:29] 你們知道怎麼看
[30:31] 好在那個
[30:33] 你你的像
[30:34] 比如說你到主業裡面
[30:36] 你的好友我的好友有1700多個人
[30:39] 1000多個好友你不用嗎
[30:42] 請問你們不用嗎
[30:44] 有沒有覺得有點可惜啊
[30:47] 會不會你的名單有多少
[30:48] 大家看一下你手機名單
[30:50] 哦有人847
[30:52] 你名單有多少
[30:53] 寫出來我看一下
[30:56] 我你們看看你手機名單
[30:58] 你到Line
[30:59] 然後哦亮亮很多耶1687
[31:02] 很多人996222
[31:04] 非常很多耶2204
[31:08] 然後剛剛大家還倦價
[31:10] 我不用我不用
[31:12] Summer1028我就問你們
[31:14] 我就問你們
[31:16] 你的思慾名單
[31:18] 也就是跟你更熟一點的
[31:20] 在你的手機裡面
[31:22] 啊你不用他
[31:24] 你有沒有覺得自己很好笑
[31:26] 然後你們一直跑到公寓去撈人
[31:28] 有沒有
[31:29] 就更熟一點的至少這是
[31:31] 當然我也不知道我1734人怎麼來的
[31:34] 我完全想不起來為什麼
[31:36] 因為我們用太久了
[31:37] 哦可能有時候呃
[31:39] 夾這個人夾那個人有可能
[31:40] 那來來來大家聽我
[31:43] 講一下我們剛剛是不是說了
[31:45] 身心靈在臺灣
[31:47] 是不是已經是一個流行話題了
[31:51] 同意的幫我打個同意
[31:54] 你你覺得身心靈是不是一個流行話題
[31:58] 流行語言
[32:00] 你說你學塔羅詹普靈氣
[32:04] 擴大療癒你那個
[32:06] 任何這些你覺得會有人覺得你好奇怪
[32:10] 會嗎
[32:12] 不會吧
[32:13] 甚至人家會說哎呦
[32:15] 那個我也學過啊
[32:16] 哦是哦你學多久了
[32:18] 是不是我問你我問你
[32:20] 你有沒有覺得
[32:21] 這個反而可以打開話題
[32:25] 拉近你跟人之間的距離有沒有有沒有
[32:28] 好那請問你的思慾流量裡面的這些人
[32:32] 他們接受身心靈
[32:33] 而且他們其實也知道這是一個
[32:36] 很敞開的話題
[32:38] 甚至這個話題會讓你跟他
[32:40] 大沒有發現
[32:42] 嗯哇那個今天天氣好好
[32:44] 這個是個話題嗎
[32:45] 這只是一個不知道聊什麼字好講
[32:48] 哎最近好冷哦
[32:49] 大家要多穿暖一點
[32:50] 這個是比較淺層話題有沒有
[32:53] 但是身心靈是什麼
[32:55] 這深度話題
[32:57] 而且講身心靈的時候
[32:59] 你們會帶到內在的某些觀點
[33:02] 還有你會聊到什麼展普
[33:04] 聊到
[33:06] 自己的內心自己的家庭自己的什麼
[33:08] 有沒有覺得這個是更私靈
[33:10] 然後可以讓你跟人更靠近的話題
[33:13] 同意嗎對不對
[33:14] 同意繼續打同意好
[33:15] 那這時候你的思慾流量持你不用
[33:19] 有沒有有點可惜了
[33:20] 因為
[33:21] 因為
[33:23] 你如果用好他
[33:25] 他就為你所用
[33:26] 但是有些人剛剛說沒有沒有沒有很倔強
[33:29] 不用我就是要去公寓
[33:32] 有沒有覺得很可惜啊
[33:33] 你明明已經有這一群人了
[33:35] 那我們怎麼用他
[33:37] 哦來告訴你們好不好
[33:39] 這是剛剛的對不對
[33:40] 我們要怎麼用來舉例
[33:42] 哦這個只是舉例說明給你聽哦
[33:45] 如果你是要辦一個活動可以怎麼做
[33:48] 好比如說
[33:49] 這個是我當時曾經幫一個朋友辦的活動
[33:52] 那這個朋友那個是那時候是在微信
[33:55] 我把它轉成那個繁體字
[33:58] 然後呢他在微信大家先看一下
[34:00] 我們第一個
[34:02] 如果你要辦活動
[34:03] 如果你要在你的Line或者是微信
[34:06] 你要
[34:08] 告訴你的朋友是有一種叫群發嘛對不對
[34:11] 然後群發我忘記Line上面一次可以群發多少人
[34:14] 我忘記了就是蠻多人四五十個人之類的吧
[34:17] 好然後呢
[34:18] 還聽一下哦
[34:20] 那你可能有個活動一定要先寫就是免費的
[34:24] 那如果這個然後呢
[34:25] 你要把這個活動寫的好好的
[34:27] 寫的清清楚楚
[34:28] 然後再配一張漂亮亮的圖好
[34:31] 請問你
[34:32] 你現在有一個跟你沒有很熟的人
[34:36] 他把這個內容發給你了
[34:38] 你會覺得舒服還是不舒服呢
[34:41] 就是你只有兩個選項哦
[34:43] 不要告訴我第三個你舒服是一不舒服是二
[34:47] 沒有沒感覺
[34:48] 好就只有一或二
[34:49] 你就可以接受ok啊舒服啊
[34:52] 然後打一
[34:53] 然後你還是覺得不舒服很討厭
[34:55] 大二我看一下
[34:57] 就你也不熟
[34:58] 你一樣你不熟
[34:59] 但是他寫了一個內容
[35:02] 然後呢這個內容讓你知道這是免費的
[35:04] 然後我只是想要為社會做點什麼
[35:07] 然後呢
[35:08] 呃那有反正就是一個
[35:10] 什麼活動
[35:11] 這樣子
[35:12] 好你一樣覺得舒服或不舒服的
[35:14] 你都可以打上來
[35:15] 好然後有1有2
[35:17] 1比較多
[35:19] 2也有2比較少
[35:20] Zoia
[35:21] Roya是2
[35:23] 然後那個有些人是2
[35:24] 也有人1
[35:26] 那1跟2之間呢
[35:27] 就是1比較多
[35:28] 但還是會有一點2
[35:30] 沒有錯哦
[35:31] 各位你們的反應都是非常正常的
[35:34] 這個也就是說
[35:35] 那這個也就是說
[35:37] 如果啊
[35:38] 你們要辦活動
[35:39] 你還是可以發到私語
[35:42] 但是你要篩選你的私語對象
[35:46] 理解嗎
[35:47] 好你你有聽懂嗎
[35:49] 好理解對不對
[35:50] 然後你要篩選你的私語對象
[35:53] 所以呢
[35:54] 私語不是不能用
[35:56] 大家有沒有發現
[35:57] 假設你們全部都是我的私語
[35:59] 對象好了
[36:00] 我你們我有你們所有每一個人的line
[36:04] 我可不是會發給你們每一個人哦
[36:06] 所以你們現在要學一件事情
[36:10] 學會一個事情
[36:11] 在你的你的line
[36:13] 你的手機line裡面
[36:15] 跟你有1
[36:16] 就是呃
[36:17] 你可以開始為你的朋友打上標籤
[36:21] 來你幫我寫上標籤
[36:23] 兩個字
[36:24] Label
[36:24] Label
[36:25] 你可以幫他們打上標籤
[36:29] 打上標籤
[36:30] 那為什麼
[36:31] 也就是說你幫你的朋友去打上標籤
[36:34] 這件事情很重要哦
[36:36] 代表的是有標籤的才會收到這個內容
[36:41] 可以接受嗎
[36:42] 那如果什麼叫打標籤
[36:44] 比如說
[36:45] 假設然後我就就是打個
[36:48] 呃
[36:48] 這個這個人被我打的標籤打個
[36:51] 呃升星林好了
[36:52] 好假設你要
[36:53] 你以後要推樓升星林嘛
[36:55] 對不對
[36:56] 好
[36:56] 那你就設一個簡單就叫升星
[36:58] 請問哦
[36:59] 我被我打上標籤的
[37:01] 如果他是接受升星林的
[37:03] 然後我把這個推給他
[37:05] 請問
[37:06] 假你先假設你也是接受這種東西的
[37:09] 而且你有被我打上標籤
[37:11] 那你覺得他們就是接受程度
[37:15] 是不是變更高了
[37:17] 那是然後沒有打上標籤的代表什麼
[37:19] 我們就不推給他嘛
[37:20] 對不對
[37:21] 是不是這樣就好了
[37:22] 也就是我的手機裡面
[37:25] 我要為每個人打上標籤
[37:27] 那我們要怎麼打標籤
[37:29] 你覺得要怎麼打
[37:31] 我問你們
[37:34] 你覺得怎麼打比較好
[37:35] 誰可以打誰不能打
[37:40] 誰需要打誰不需要打
[37:43] 你要養成習慣
[37:45] 怎麼做呢
[37:46] 那肯定沒我問你
[37:47] 你怎麼加到對方的來
[37:49] 你肯幾乎可以說是聊過的
[37:52] 或者是朋友介紹的
[37:54] 對吧
[37:55] 朋友介紹你也得知道哦
[37:57] 這個這個人就像我啊
[37:59] 我很喜歡去給人家按摩
[38:01] 然後我有個按摩老師
[38:03] 然後呢
[38:04] 我每次我經常幫他介紹
[38:06] 因為我就是很需要按摩
[38:08] 然後我身邊的人
[38:09] 就是知道我愛按摩
[38:11] 然後呢
[38:11] 所以我就會介紹
[38:12] 那我介紹之後
[38:13] 我朋友就會問說
[38:14] 我就會幫他們互相轉介
[38:16] 互相
[38:17] 所以我會把按摩師的
[38:19] 賴名片發給對方
[38:20] 對方也
[38:21] 我也會把對方的名片
[38:22] 發給這個按摩師
[38:24] 對不對
[38:25] 好
[38:25] 那請問你就是那個按摩師
[38:27] 你是不是可以在
[38:28] 上面就是
[38:30] 打上標籤
[38:31] 就什麼就是
[38:32] 按摩
[38:33] 對不對就來按摩
[38:34] 就或者是
[38:36] 潛在客戶或什麼
[38:37] 你就可以自己打一個標籤
[38:40] 好你知道他會對按摩有興趣的
[38:42] 好如果你還沒有官方Line
[38:44] 帳號那你就可以這麼做
[38:46] 那因為可能你現在還不到需要
[38:50] 一個官方Line的時候
[38:51] 那你是可以用這種方式的
[38:53] 好
[38:54] 所以聽到這裡為止
[38:56] 你有覺得有收穫嗎
[38:57] 有收穫嗎
[38:58] 到這裡有收穫嗎
[39:00] 有的話幫我打個有
[39:02] 有收穫有
[39:04] 到這裡有沒有懂
[39:05] 哎我有教你
[39:05] 是不是有教你一招啊
[39:07] 這一招有沒有很好用
[39:09] 這一招真的好用
[39:10] 我可以告訴你哦
[39:11] 這一招很重要哦
[39:13] 然後我跟你們講一個更重要的事情
[39:15] 好不好
[39:16] 還有一個更重要的
[39:18] 大家標籤是一件事哦
[39:20] 我跟你們講一個
[39:22] 金牌業務員會做的事情好不好
[39:25] 想不想知道
[39:26] 金牌頂級的
[39:28] 嗯那是我一個金牌頂級的保險
[39:32] 保險經紀人
[39:34] 他做的事情想想知道
[39:36] 他沒有Line
[39:37] 哦哎不好意思
[39:38] 人家的年收入可高了
[39:41] 好想知道哦
[39:42] 好所以大家要多跟我互動
[39:44] 你們多
[39:45] 那個多互動
[39:46] 我就忍不住會講多分享
[39:48] 我跟你們講
[39:49] 我現在講的全部都是沒有
[39:52] 之前都沒分享過的哦
[39:54] 那都是因為跟你們互動了
[39:56] 我想到了我才講的哦
[39:58] 我等一下回答那個
[39:59] you said你的問題哦
[40:00] 我先講一下這個
[40:02] 特別厲害的保險經紀人
[40:04] 怎麼打標籤來大家學一下哦
[40:07] 你們聽著
[40:09] abc
[40:10] 記下abc
[40:14] 記下來abc就好囉
[40:16] 你知道abc是什麼意思嗎
[40:20] 他把他的客戶呢變成是abc
[40:24] 三個等級
[40:25] 對分成三類
[40:27] 聰明
[40:28] 彥雲很聰明來
[40:29] 三類他就分abc
[40:31] 所以呢他打標籤有沒有很簡單
[40:33] 超簡單
[40:35] a級客戶b級c級
[40:37] 來大家學下來
[40:39] 你那這個分類一定跟你在做的事情有關哦
[40:43] 你可不是
[40:44] 你的abc可不是分什麼
[40:46] 呃我爸媽
[40:47] 然後那個我的親人分什麼
[40:50] 不是這樣分類的哦
[40:52] a級是什麼
[40:53] 最有興趣客戶
[40:55] b級就是嗯
[40:56] 還在就是還在暖的過程的客戶
[40:59] 還沒有很熟
[41:00] 但是他也有興趣
[41:02] c是什麼呢
[41:04] c大家就不用講啊
[41:05] c就是可能沒有興趣
[41:07] 但未來或許有機會
[41:09] 我先把它放在那什麼
[41:10] 就是帶
[41:12] 就是帶觀望
[41:13] 我不確定他對我這些可不可
[41:15] 可不可以接受
[41:16] 然後a級可能是什麼呢
[41:18] 那a級有可能是已經付過錢的
[41:22] 或已經體驗過的
[41:24] 可以理解嗎
[41:25] 可以哦
[41:26] 然後所以a級是什麼呢
[41:28] 付過錢
[41:29] 比如說好我有我來過我活動的
[41:32] 你也可以把他賓做a級對不對
[41:34] 可能來過我活動
[41:35] 不論是付費或免費的
[41:37] 可能都是在a級
[41:39] 或者
[41:40] 這個就是已經對於你的活動
[41:42] 你的東西特別喜歡
[41:43] 好這是a級
[41:44] 然後b級是什麼呢
[41:46] 呃可能就是嗯
[41:48] 他他就是有跟你聊過
[41:50] 身心靈的東西有聊過
[41:52] 但是你還不
[41:53] 就是你還不知道說有聊過
[41:55] 而且他有興趣
[41:56] 你打算也把它轉為a級的
[41:59] 好這個就是b級的
[42:01] 然後c呢
[42:02] c就是沒有特別聊過這些
[42:04] 有點像點頭之交
[42:05] 然後好像還不確定可不可以聊那麼多
[42:08] 但是未來你覺得有機會
[42:10] 我想跟他聊
[42:11] 你可以把它分到c類
[42:13] 好到目前為止
[42:15] 分類有沒有清楚了
[42:17] 有沒有清楚
[42:18] 有齁有清楚嘛齁
[42:20] 好然後我來
[42:21] 那個剛剛有清楚的略好
[42:24] 有沒有有沒有覺得這個很好用
[42:26] 所以哦各位同學啊
[42:28] 你的
[42:29] 那剛剛是不是很多人跟我說
[42:31] 你們沒有在用那個什麼私語
[42:33] 一堆人回我沒有在用耶
[42:36] 有沒有開始覺得原來可以用
[42:40] 是不是
[42:40] 但是你們以前沒有分類過
[42:43] 沒有打過標籤
[42:45] 所以現在是不是可以開始打標籤了
[42:47] 好那我建議
[42:49] 我建議
[42:50] 你的標籤打法
[42:52] 你看我連細節都要講
[42:54] 是不是標籤打法我要抓時間齁
[42:57] 你的標籤打法很重要哦
[42:59] 你的標籤呢
[43:00] 因為你如果打abc
[43:02] 你一定要用特殊符號的不然齁
[43:04] 就是你要
[43:05] 不然有可能你找a的時候
[43:07] 哇一大堆你打過跟
[43:09] 呃a什麼什麼的第一
[43:11] 你就是打一個特殊標籤
[43:13] 因為這樣你才容易找
[43:15] 你們理解我意思嗎
[43:17] 有理解齁
[43:18] 就是不然你打
[43:19] 你打標籤的時候
[43:21] 一大堆跟那個字有關的東西就考出來了
[43:24] 好那我講完標籤之後
[43:27] 特殊標籤比如說一個特殊符號的a
[43:30] 有沒有不是你一打a有時候
[43:31] 會有一個那個什麼圖
[43:33] 圖按a
[43:35] 然後你用圖按那個a
[43:37] 在這個人的名字旁邊打標籤
[43:39] 而不是用正常的數字a
[43:42] 你們理解嗎
[43:42] 哦懂了好
[43:44] 那我要回答一下
[43:45] 剛剛那個有一個user問的問題齁
[43:49] 他說哎
[43:49] 那如果已經很久沒有聊天的朋友
[43:53] 那很久都沒聊天啦
[43:55] 那要怎麼再幫他們貼標籤呢
[43:57] 哦好這個問得非常的好
[44:00] 我會建議哦
[44:01] 我建議呢
[44:03] 你們先不要給
[44:05] 很久沒有聊過的人打標籤
[44:08] 先從你知道的
[44:10] 你認識的
[44:11] 然後而且有
[44:13] 呃就是我們因為我們要先從a
[44:15] 即一開始嘛對不對
[44:16] a才是你最精準客戶可以理解哦
[44:19] 那我們當然要先從最精準
[44:21] 如果你都很久沒聊了
[44:22] 你覺得他有a有b有c嗎
[44:25] 沒有嘛對不對
[44:27] 這時候你就可以去檢查
[44:30] 你的手機裡面的這些人
[44:33] 他有沒有可能是你的異相客戶了
[44:36] 所以這時候你就可以檢查的出來
[44:39] a就是最精準沒錯
[44:40] 所以如果如果這個人他
[44:43] 你都無法打標籤代表一件事
[44:45] 你跟他根本不熟
[44:46] 那何必打呢
[44:48] 理解吧
[44:49] 那這時候我假設
[44:50] 我假設你有500個朋友
[44:53] 500個朋友裡面
[44:54] 說不定真正能夠被你打
[44:56] 上a b c的可能就50個
[44:58] 那這時候你就會很清晰的認知到
[45:01] 你自己現在的狀態了
[45:03] 可以懂嗎
[45:04] 那但是如果有50個
[45:05] 那這50個可不可以用
[45:07] 當然也可以啊
[45:08] 對不對就像我現在
[45:09] 我剛剛說我有幾個啊
[45:11] 一千一千多少
[45:12] 假設我一千多少裡面
[45:14] 有100個人
[45:16] 他們被我打上了標籤
[45:18] 能夠被打上標籤的
[45:20] 不就是代表他們
[45:23] 對我們可能會有興趣
[45:24] 對不對
[45:26] 好到這裡有懂齁
[45:27] 那我們就繼續接下來哦
[45:29] 那還有一個方式是什麼
[45:31] 那這個是指如果
[45:33] 現在你針對你已經有的朋友
[45:37] 然後你已經有的
[45:38] 在你手機裡面的朋友
[45:40] 你可以做的事情對不對
[45:42] 那有沒有人我問你們哦
[45:44] 你們會不會做一件事
[45:45] 你會不會去參加活動
[45:46] 參加聚會
[45:47] 然後認識新朋友會嗎
[45:49] 會的打會
[45:51] 會不會
[45:56] 他們說會如那會肉也會
[45:59] 好你們會去參加聚會
[46:01] 會去參加活動
[46:02] 會去參加課程
[46:04] 對不對
[46:04] judy說會
[46:05] 就是會去參加一些活動嗎
[46:07] 你們就是有可能認識新朋友
[46:10] 對不對
[46:11] 那認識新朋友的時候
[46:12] 如何
[46:13] 你們現在開始
[46:14] 如果舊的朋友還沒打標籤
[46:16] 至少新的朋友可以打標籤吧
[46:19] 同意嗎
[46:20] 好新朋友可以打標籤吧
[46:22] 好那新朋友可以打標籤來
[46:24] 我教大家一個方法
[46:25] 要不要學
[46:26] 想不想學
[46:27] 然後讓新朋友對你有更深的認識
[46:30] 而且你的亮點跳出來
[46:32] 他會覺得哇
[46:33] 你你怎麼那麼特別啊
[46:35] 這樣子
[46:36] 然後他會覺得哦你好特別哦
[46:38] 那這件事情呢
[46:40] 就會讓你
[46:41] 在他心裡有一個印象
[46:44] 什麼怎麼做
[46:44] 我跟大家說好不好
[46:45] 第一個就是你們認識新朋友了
[46:48] 然後我問你們
[46:49] 認識新朋友人家通常會問什麼
[46:52] 你覺得你認識一個新朋友
[46:54] 你會怎麼問他
[46:56] 嗯就是嗨你好
[46:57] 我叫sally
[46:58] 哎你叫什麼
[46:59] 然後再來呢
[47:00] 再來你們會問什麼
[47:02] 你會問他你幾歲嗎
[47:05] 還是你會問他就是你
[47:07] 對kennie說的很好
[47:09] 做什麼
[47:10] 行業別
[47:12] 住哪裡好對
[47:13] 就是大部分會問什麼
[47:15] 哎你住哪啊
[47:16] 哦你也住台北嗎
[47:17] 哦那你做什麼的
[47:20] 有沒有
[47:21] 來
[47:22] 你做什麼的
[47:24] 這句話
[47:25] 你覺得被問到的
[47:27] 那個
[47:28] 次數你覺得很多的非常高的
[47:31] 一到十
[47:32] 一到十
[47:33] 你就留多少
[47:34] 一是最低十是最高
[47:36] 你覺得只要你認識新朋友
[47:39] 哦yousa說八
[47:40] 有人說一萬八
[47:42] 八九十都有對不對
[47:44] 他被問到的機率是不是很高
[47:47] 超級高
[47:48] 好那我再問一個問題
[47:51] 如果
[47:53] 人家不問你做什麼
[47:54] 然後你先問人家你做什麼的啦
[47:57] 他告訴你之後
[47:59] 請問你覺得他會反問你
[48:01] 在做什麼的機率有多高
[48:03] 一到十再寫給我一次
[48:05] 你就他也會反問你
[48:06] 那你呢你在做什麼的
[48:09] 哦這時候十了對不對
[48:10] 大家聽一下哦十哦九十九十對不對
[48:13] 幾乎是十對不對好
[48:15] 大家聽清楚了重點來了
[48:18] 這時候人家一定會反問你
[48:20] 那這時候如果你就是搞不清楚狀況
[48:24] 自己定位沒有清楚的時候
[48:26] 你當然就沒有辦法用我這一招
[48:28] 但如果你已經把你自己
[48:29] 履得很清楚的時候來學我這一招
[48:32] 大家看一下
[48:33] 我就會更加介紹
[48:35] 我會介紹什麼呢
[48:37] 我會介紹哎我是
[48:38] 我就他問我做什麼我說
[48:40] 哦我就是一個零信品牌落地師
[48:42] 他說蛤那是什麼啊
[48:44] 通常會問我這句話對不對
[48:46] 好那我就會說
[48:47] 我就是那個助推升星林老師
[48:50] 或是有專業加上升星林的人
[48:53] 我會助推他們把他們的
[48:55] 專業啊
[48:55] 變成是一個有持續收入的品牌
[48:58] 我會幫他我會帶他們做這個事
[49:01] 然後這個人就會覺得懵懵的
[49:03] 又覺得很特別
[49:04] 好然後我就說
[49:06] 呃要不那我可以跟你加個賴啊
[49:08] 我就是我把我的名片發給你
[49:11] 請問一下
[49:13] 到此為止
[49:14] 假設你們我這麼跟你說
[49:16] 然後你們會不會跟我加賴哦好啊
[49:19] 我就是哦好啊
[49:21] 那我們就加個賴
[49:22] 這是第一個方式對不對
[49:23] 然後我目前為止我沒有遇到過
[49:26] 沒有沒有遇到過任何一個人說
[49:28] 哦不要不需要寫
[49:30] 沒有遇到過
[49:32] 然後人家聽到我
[49:33] 零信品牌落地師聽起來好特別哦
[49:36] 第一句話我會聽到都是好特別哦
[49:40] 這是什麼啊
[49:41] 我會聽到
[49:42] 然後他們又有點懂
[49:43] 又有點好像想要了解進一步
[49:46] 這時候呢
[49:47] 我口頭會用最簡單的方式
[49:49] 他最聽得懂的方式介紹
[49:51] 然後我就說我可以把我名片發給你啊
[49:54] 然後我就會發像這一張名片給對方
[49:57] 然後因為發名片有個好處
[49:59] 有時候我們是不是不不
[50:01] 一定我們的賴上面是自己的頭像
[50:04] 對不對
[50:04] 那對方記不得你長什麼樣子
[50:07] 所以我有聽到過有人說
[50:09] 有時候有有些朋友護家他們說
[50:11] 哎你發一張你的照片
[50:12] 這樣以後我就不會忘記那個你是誰
[50:15] 因為很容易忘
[50:16] 哎有沒有大家有沒有發現有人會這樣
[50:20] 那這時候這個人跟我護家賴
[50:22] 而且我跟他說
[50:23] 我發一張我的名片給你
[50:25] 然後他就我他只要他說
[50:27] 哦好啊當然沒問題
[50:28] 我說你也可以發個名片給我
[50:30] 那有的人有有的人沒有對不對
[50:33] 好到目前為止是不是都ok
[50:35] 那我發的名片之後
[50:36] 我就會發左邊這一張名片
[50:39] 左邊這張名片還有一個qr code對不對
[50:42] 那我就跟他說
[50:43] Hello 我是Cailey今天很開心認識你哦
[50:46] 這是就是我的名片哦
[50:48] 我應該改一下這是我的名片
[50:50] 然後也歡迎你可以加入我的官方賴
[50:53] 裡面有光行者靈魂測驗
[50:55] 你有興趣可以玩玩看哦
[50:57] 好那這時候大家我問一下哦
[50:59] 就是因為我認識的對象
[51:01] 我會跟他交換名片的對象
[51:04] 都是因為我知道他對這個有興趣
[51:06] 我才會把這個給對方嘛對不對
[51:09] 如果我發現他不是對身心靈
[51:11] 沒有興趣什麼我是我就不發的
[51:13] 我不是誰都發的好嗎
[51:15] 比如說他做裝潢
[51:17] 然後他聽不懂這些東西
[51:19] 我幹嘛跟他說這個對不對
[51:21] 我就會說他如果問我說哦
[51:23] 我就是做那個就是教育產業
[51:25] 哦這樣就好了
[51:26] 但如果我知道他是身心靈工作者
[51:30] 或者是他對於
[51:31] 嗯身心靈是有興趣的
[51:33] 有在做學習的
[51:35] 那我才會跟他做這個介紹
[51:37] 那我做的這個介紹
[51:39] 我才發這個名片
[51:40] 好到目前為止
[51:42] 你們有get到我的意思嗎
[51:44] 也就是說
[51:45] 如果你也做一張像這樣子的
[51:48] 名片
[51:49] 然後呢你發給
[51:51] 就是你的剛剛abc族群有沒有
[51:55] 這個人他要被你聊了之後
[51:56] 你覺得嗯
[51:57] 他可以被我打上標籤
[51:59] 他是a或b或c
[52:00] 剛認識的
[52:01] 可能是落在b或c對不對
[52:05] 因為剛認識的
[52:06] 我不確定他對我的了解度有多少
[52:09] 什麼的
[52:10] 好所以到目前為止
[52:12] 你覺得如果未來如果你這麼做
[52:14] 你就可以打上標籤
[52:16] 你也知道怎麼做了
[52:17] 你知道了嗎
[52:18] 如果知道了打個
[52:20] 懂我就知道你懂了
[52:23] 好到目前為止
[52:24] 然後呢
[52:29] 懂了的
[52:31] 好那如果你收到我這個名片
[52:34] 好因為你已經跟我聊過了
[52:36] 我們名片不是隨便給的哦
[52:38] 不隨便給大家留意一下
[52:40] 有的人很有趣
[52:41] 就像我剛剛前面給你們說的
[52:43] 他們才加我賴
[52:45] 就一直推他們的課程給我
[52:48] 然後不知道我是誰
[52:49] 然後也不知道我需不需要
[52:51] 這個是會讓人家覺得不舒服的
[52:54] 對不對
[52:55] 但是我剛剛跟你們說的那個金牌
[52:58] 金牌保險經紀人
[53:01] 他的方法你們一定要用
[53:03] 他打標籤做ABC
[53:05] 所以他只發給最精準
[53:08] 可不那請問不精準都不會收到
[53:10] 那我們在這個人的賴裡面
[53:12] 就不會不舒服了對不對
[53:15] 那同理可證
[53:17] 你們用這樣的方式
[53:18] 是不是人家收到也不會不舒服
[53:20] 我不是每個人都給的哦
[53:22] 我們是知道這個人合適才給
[53:24] 所以你們用這樣的方式
[53:26] 你們去跟人家聊一聊
[53:27] 你心裡就可以判斷他是ABC
[53:30] 哪一個
[53:31] 如果是第一
[53:31] 就是根本不用打標籤你就不打了
[53:34] 懂嗎就不用打了
[53:35] 也不用給他
[53:36] 所以你不是每個人都需要打標籤的
[53:39] ok好
[53:40] 那不過跟大家講一下
[53:42] 我剛剛說的這兩招雖然不錯用
[53:45] 有沒有就是
[53:46] 雖然不錯用
[53:47] 但是我現在是沒有在用我啦
[53:49] 說實話
[53:51] 為什麼
[53:52] 因為
[53:53] 因為我當然肯定是發現的
[53:55] 更好的方法所以沒用
[53:57] 但是這兩招好不好用
[53:58] 可以用哦
[53:59] 不是說不能用哦
[54:00] 還是可以哦
[54:01] 我只是進入了下一階段而已
[54:04] 那下一個階段是什麼
[54:06] 要怎麼成交我問你們
[54:08] 你覺得要怎麼成交
[54:10] 如果我都
[54:11] 我都沒有去打標籤
[54:13] 我沒有在思慾就是
[54:15] 思慾你已經有了人家一對一的名單了
[54:18] 他有你的思慾你有他的思慾
