[00:00] 大家都知道2024到2043這20年是很具有潛力的
[26:00] 這一顆便當錢都不需要
[26:03] 請問你覺得是不是容易買單
[26:05] 我問你有沒有容易買單
[26:07] 我們先說這件事
[26:08] 不管這個人內容如何
[26:10] 我就問你有沒有容易買單
[26:12] 有
[26:13] 容易買單造成一件什麼事情
[26:16] 好今天luna我問你
[26:18] 他容易買單了對不對
[26:20] 他容易跟你買
[26:21] 今天luna來
[26:22] 我是你的客戶
[26:23] 我現在就在你的面前
[26:25] 我給你線上一對一
[26:26] 然後你就可以
[26:28] 因為一百一十一
[26:29] 對你就跟我連結了
[26:31] 對不對
[26:32] 好你跟我連結了之後呢
[26:34] 是不是你跟對方
[26:36] 就產生了更強的連結
[26:38] 他從沒有看到你
[26:40] 他正在選擇其他十個老師
[26:42] 結果他這十個人選了你
[26:45] 那請問
[26:46] 如果每個月都有十個
[26:48] 二十個人三十個人
[26:50] 他看到你差一百一十一
[26:53] 哎呀我算一算不準也沒差
[26:55] 對就是心語你說的
[26:57] 哎呀一百一十一好玩一下也可以
[27:01] 對吧對吧
[27:02] 那但是呢
[27:03] 如果你這
[27:05] 先聽我講完哦
[27:06] 太有的人會說太便宜
[27:08] 他品質好重點來
[27:09] 我等下會告訴你們怎麼樣
[27:11] 強息強連結強度的吸引人家
[27:14] 這就是我們設計厲害的地方
[27:17] 然後你體驗個案服務
[27:18] 我告訴你哦
[27:19] 你提供這個服務可不是隨隨便便的
[27:23] 來重點來了
[27:24] 你即便你給人家的體驗個案費用低
[27:28] 你一定要做到一件事
[27:29] 你一定要做到
[27:31] 你可以講到人家的心坦底
[27:35] 那你怕價格回顧來
[27:37] 這就是很多人的盲點了
[27:40] key等一下我會告訴你
[27:41] 心語等一下我會告訴你
[27:43] 我會告訴你們怎麼做才是真正
[27:47] 現在你們可以與時俱進
[27:49] 還有這就是秘密
[27:51] 你們如果知道了這個秘密
[27:53] 我希望以後
[27:54] 你們的收
[27:55] 拜託你們至少增長一萬兩萬
[27:57] 好不好
[27:57] 你們可以嗎
[27:58] 聽完這個秘密
[28:00] 你願不願意做這個承諾啊
[28:01] 要不要
[28:04] 至少月收給我漲個一兩萬
[28:06] 好不好
[28:08] 因為你們知道這個秘密
[28:09] 只要你有用
[28:11] 只要你真的用心用這個東西
[28:13] 我可以告訴你
[28:15] 以前我的
[28:16] 為什麼我以前個案就是
[28:19] 我現在不做個案了
[28:20] 但是我以前在做個案的時候
[28:22] 我真的沒有誇張
[28:24] 因為我要
[28:25] 我要嘛我就給人家做到很好
[28:28] 那不要我就不要
[28:29] 我是這種人
[28:30] 所以我是那種
[28:32] 對自己比較狠的人
[28:34] 那如果有跟我合作的人就知道
[28:36] 我的確會有很多細緻點
[28:38] 會比較要求
[28:39] 那但是也就是這樣
[28:41] 所以我可以
[28:42] 慢慢的有一點小成績
[28:45] 那如果你體驗個案說到
[28:47] 行讓對方也說到輕砍你了
[28:50] 那請問
[28:52] 他對你的年著度是不是增加了
[28:54] 你你覺得有沒有
[28:56] 你覺得有嗎
[28:56] 年著度
[28:57] 你今天假設他雖然
[29:00] 只付你一百一十一
[29:02] 好我們說半小時一一一好了
[29:04] 但是呢
[29:05] 你這一百一十一或一百九十九塊錢
[29:08] 一百九十九也很便宜啊
[29:09] 對不對
[29:10] 就是一杯咖啡的錢
[29:12] 對吧
[29:12] 但是你半小時
[29:14] 哎人家還是很願意啊
[29:16] 因為別人一小時兩千五三千六
[29:20] 然後你半小時一百九十九
[29:23] 是不是也可以
[29:24] 好
[29:25] 那一九九也可以
[29:26] 結果你講到心坎里之後呢
[29:29] 那要幹嘛
[29:30] 講到心坎里有用嗎
[29:32] 然後他要怎麼
[29:33] 就是繼續跟你連結呢
[29:35] 來大家看一下
[29:36] 這是我的學員成果牆
[29:38] 我打開其中一個成果牆的
[29:41] 呃其中一個同學的狀況給你們看
[29:44] 哦
[29:45] 你們就會知道我的意思了
[29:46] 來這是我們剛剛的其中一個同學
[29:49] 大家看一下哦
[29:50] 呃他叫曼妮
[29:51] 哦
[29:52] 然後就是遇見曼妮
[29:54] 然後他在做什麼命理解讀
[29:56] 還有方向釐清
[29:57] 他在做就是用系統化命盤分析
[30:00] 協助你在迷路中找到可行的下一步
[30:03] 哦來請問大家
[30:06] 對
[30:06] 然後他說立即報名體驗方案
[30:09] 哎
[30:09] 這是我還搞不清楚
[30:10] 他體驗方案是什麼
[30:11] 對不對
[30:12] 好
[30:12] 那你們繼續看哦
[30:13] 繼續看哦
[30:14] 他就開始講了
[30:15] 但是你有沒有覺得第一個
[30:17] 他的第一眼看了
[30:19] 請問你覺得有吸引到你的
[30:21] 第一眼看到吸引你
[30:23] 願意讓你往下看有嗎
[30:25] 如果有的打有
[30:27] 有讓你願意往下看的打有
[30:30] 我確認一下
[30:31] 好
[30:31] 你有願意往下看哦
[30:33] 好
[30:33] 我們繼續往下來看看
[30:34] 為什麼願意往下看
[30:36] 因為是不是這個
[30:37] 他的形象感很好
[30:39] 又拿著一個
[30:41] 一個羅盤
[30:42] 哇靠
[30:42] 看起來超專業
[30:43] 對不對
[30:43] 好
[30:44] 那那他拿羅盤
[30:45] 是不是跟他說的命理解讀
[30:47] 系統化命盤是不是就
[30:49] 完全怎麼樣
[30:50] 有連結感
[30:52] 然後這個背景跟他的衣服
[30:54] 是不是也都搭得很好
[30:55] 這整個顏色色系都很好
[30:57] 好
[30:58] 那我們繼續哦
[30:59] 好來
[30:59] 他就開始說了
[31:01] 生活有時候
[31:02] 會把人推到一個狹窄
[31:04] 而難以呼吸的路
[31:05] 我知道那個感覺我走過
[31:08] 童年在外婆外公家長大
[31:10] 回到父母身邊後
[31:11] 我太早學會不麻煩
[31:12] 別人把需要收得很小
[31:15] 人生的第一段親密關係
[31:16] 也因為失控制
[31:18] 與失衡帶來困惑
[31:20] 但那些經歷讓我理解
[31:21] 真正的連結使於理解
[31:23] 而不是捆綁
[31:25] 然後他開始去
[31:26] 前面是隱言對不對
[31:28] 好了
[31:28] 後來他在八字命理這門工具
[31:30] 說看見自己
[31:31] 也看見人生的脈絡
[31:33] 然後疫情那年
[31:34] 他成為一道新的門
[31:36] 多年後
[31:36] 他成為我陪伴他人的方式
[31:40] 好
[31:40] 我看著人們
[31:41] 從混亂走向穩定
[31:43] 也看見當自我理解
[31:44] 被點亮時生命如何鬆動
[31:46] 我們來看一下
[31:47] 好
[31:47] 他就開始說
[31:48] 你可能處在什麼階段呢
[31:49] 一
[31:50] 二
[31:50] 三
[31:51] 好
[31:51] 這幾個
[31:52] 如果你常常感覺方向不新
[31:54] 關係鬆反復
[31:55] 受傷
[31:55] 不知道怎麼開始
[31:57] 好
[31:57] 那你可以
[31:59] 然後你
[32:00] 然後你可能是怎麼樣
[32:01] 好
[32:02] 然後再來呢
[32:02] 那你反復遇到這個
[32:04] 同樣的問題
[32:04] 往往不是命運重新
[32:06] 而是模式沒有被看到
[32:08] 所以你如果正在經歷這些狀況的
[32:11] 來
[32:11] 他在提醒你
[32:12] 這是要重新生
[32:14] 而整理人生結構的時候了
[32:16] 那怎麼整理人生結構啊
[32:18] 這次來請問你聽到
[32:20] 你看到這有沒有覺得他層層跌進
[32:23] 好
[32:23] 然後呢
[32:24] 他就說
[32:24] 那你要怎麼整理呢
[32:26] 嗯
[32:26] 我陪伴個案的核心很簡單
[32:28] 讓你更理解自己用在生活中
[32:31] 好
[32:31] 所以正如心理學家溶格說
[32:33] 向外看的人做夢
[32:35] 向內看的人覺醒
[32:37] 好
[32:37] 所以他說
[32:38] 嗯
[32:39] 每一次諮詢我都會用結構化方式
[32:41] 帶你看見自己的節奏與限制
[32:44] 三個步驟看
[32:45] 讓看不見的變得明確
[32:47] 好
[32:48] 一命盤分析
[32:49] 二釐清卡點三給方向
[32:51] 好
[32:51] 一二三是認清楚了
[32:53] 好
[32:53] 接著呢
[32:54] 他說
[32:55] 他就說了一些什麼
[32:56] 然後最後他的
[32:58] 他又給了一個案
[32:59] 幾個案例
[33:00] 他這些案例是怎麼樣
[33:01] 我們就不看了
[33:02] 好
[33:02] 那最後他說三十分鐘五九九
[33:05] 然後呢
[33:05] 體驗時間
[33:06] 然後呢
[33:07] 在這個體驗
[33:08] 你會帶走什麼
[33:09] 來
[33:09] 一個清晰的覺察
[33:11] 一槍會讓你鬆一口氣的理解
[33:13] 一個足以啟動改變的小步驟
[33:15] 對下一步更明確
[33:16] 好
[33:17] 假設你是有這些狀況的人
[33:19] 三十分鐘五九九
[33:21] 你覺得你可以接受嗎
[33:24] 可以接受的
[33:25] 而且你覺得OK啊
[33:27] 沒問題的
[33:28] 我會想報名的
[33:30] 好
[33:30] luna說形象很好
[33:32] 都想報名了
[33:33] 對
[33:33] 你會覺得OK
[33:34] 三十分鐘五九九
[33:35] 他還是算
[33:36] 我們學員裡面寫三十分鐘五九九
[33:38] 比較高的
[33:39] 因為沒辦法他的費用
[33:40] 他的
[33:41] 他的確花了很多錢
[33:43] 很多錢在
[33:45] 連結在哪裡
[33:47] 我發給你們
[33:49] 笑死我
[33:50] 好
[33:52] 來來
[33:53] 我問你們
[33:53] 我問你們一個問題
[33:55] 今天我介紹這個人
[33:57] 我介紹這個同學
[33:59] 那大家有沒有發現
[34:00] 當你把你的服務用一個
[34:03] 很清晰的官網
[34:05] 把它做出來
[34:06] 你的地
[34:07] 然後這個只是他這一頁
[34:08] 大家
[34:09] 這個是體驗方案
[34:10] 對不對
[34:11] 來
[34:11] 他還有第二頁
[34:12] 第二頁帶
[34:13] 稍稍給大家看一下
[34:15] 我們會至少
[34:16] 就是他會寫到
[34:18] 他自己的生命故事
[34:20] 所以他寫到
[34:21] 他的生命故事之後
[34:23] 比如說
[34:23] 你想要體驗這個人的方案
[34:25] 然後你又想多
[34:27] 因為大家有沒有覺得
[34:29] 我們都會很重視
[34:30] 療癒師的品質
[34:32] 你們覺得會不會
[34:33] 因為療癒師很重要
[34:35] 所以我們要看到療癒師是什麼
[34:37] 第一個
[34:37] 他能力好不好
[34:39] 對不對
[34:40] 對吧
[34:41] 第
[34:41] 然後
[34:41] 那他又給一個很便宜的費用
[34:44] 然後他又寫得很清楚
[34:45] 是不是已經讓你心裡的
[34:48] 安心感增加了
[34:49] 你覺得有的大家有
[34:51] 你有覺得安心感增加
[34:53] 他有寫清楚
[34:55] 然後讓你覺得
[34:56] 我會願意報名
[34:57] 而不是好像寫一半
[35:00] 或者是
[35:01] 因為我們在
[35:02] 我們在臉書
[35:03] 附在IG
[35:03] 你有時候你要寫那麼長的
[35:05] 那些東西
[35:06] 是不是字太多了
[35:08] 你知道那些有多少字嗎
[35:09] 一千多個
[35:11] 那一段應該有
[35:12] 一千五到兩千字之間
[35:14] 那字太多了
[35:15] 我問你
[35:16] 你在臉書上寫那麼多字
[35:18] 誰要看
[35:19] 而且還沒有
[35:20] 而且只有字
[35:21] 沒有像剛剛那樣
[35:22] 就是圖文並茂
[35:24] 有沒有
[35:25] 沒有設計感
[35:26] 所以一般來說
[35:27] 我們
[35:28] 我們為什麼會推薦
[35:29] 你要有官網
[35:30] 如果今天命理師
[35:32] 我問你全臺灣
[35:33] 如果我說命理師
[35:34] 如果一千個
[35:35] 我們不說多
[35:36] 一千個命理師
[35:37] 你覺得有多少個命理師
[35:39] 他有做了像這樣的成交式的官網
[35:44] 一千個裡面
[35:44] 我假設
[35:45] 我隨便說一千個
[35:46] 有一百個好不好
[35:47] 我們我可以告訴你
[35:49] 然後絕對連一百個都不到
[35:50] 你上網自己查就知道
[35:52] 那好啦
[35:53] 真心說沒有一百個
[35:55] 我們就說五十個
[35:56] 五十個我都說多了
[35:57] 你知道嗎
[35:58] 那五十個
[36:00] 五十個命理師裡面
[36:02] 真的五十個裡面
[36:04] 然後這五十個
[36:05] 真正會像我們這種
[36:07] 成交型的
[36:08] 而且知道這個秘密的
[36:10] 永遠都給體驗價的
[36:12] 體驗價599
[36:14] 外面的命理師
[36:15] 怎麼599
[36:16] 你幹嘛破壞行情
[36:17] 我告訴你
[36:18] 沒有收個6500
[36:19] 可不算
[36:20] 有沒有
[36:21] 因為命理比較貴
[36:23] 大家知道嗎
[36:24] 命理比較貴
[36:25] 所以沒有6500可不算了
[36:27] 沒有沒有個3800
[36:28] 5500可不算
[36:29] 有沒有
[36:30] 有沒有
[36:31] 人很好
[36:32] 沒有錯
[36:32] 但我的意思是
[36:33] 因為這一這一這一門東西
[36:35] 深入一深入
[36:36] 可能五年十年二十年
[36:38] 所以他們的功力
[36:40] 就你要有一個價值鋪墊
[36:42] 好那重點來了
[36:44] 你們看到了
[36:45] 會想要報名對不對
[36:46] 那但是你們的問題
[36:48] 剛剛是什麼
[36:49] 那剛剛你們另外一個問題是
[36:52] 但是我這樣會不會自貶升價
[36:54] 你會有這個疑慮嗎
[36:56] 會有這個疑慮的人
[36:58] 打個有
[36:59] 有這個疑慮
[37:00] 我會不會給的太便宜
[37:02] 然後我自貶升價
[37:03] 那這樣後面我怎麼成交
[37:06] 後面我怎麼跟他講正式方案
[37:09] 好了好
[37:10] 我跟你們說
[37:13] 你看
[37:15] 對就是新語說
[37:16] 如果每一張盤都800
[37:18] 我會覺得想算全價
[37:19] 是啊
[37:20] 對不對
[37:20] 好來我告訴你們一件事
[37:22] 這個就是也是
[37:23] 付費學員才會知道的秘密
[37:26] 來大家看
[37:28] 關於第一個
[37:29] 我們剛剛是不是說提供
[37:30] 各體驗的服務
[37:31] 今天我問你哦
[37:33] 今天你體驗感好了
[37:35] 來我們先看上一頁
[37:37] 上一頁是上一上這一頁
[37:39] 體驗個案費用低
[37:41] 也要說清楚
[37:42] 講到個案的心坎底
[37:45] 講到你客戶的心坎底
[37:47] 這是重點
[37:48] 關鍵字大家記下來
[37:50] 你講到心坎底
[37:52] 你讓他你把這個服務
[37:54] 這個個案做得很好
[37:56] 讓他覺得哇
[37:57] 物超所值
[37:59] 然後接著呢
[38:00] 我們會做什麼
[38:01] 給予高價值跟高成效方案
[38:04] 這時候就出現了
[38:05] 那這個高價值
[38:06] 高成效方案是什麼意思
[38:09] 你就可以跟他說
[38:10] 老實說
[38:12] 我問大家
[38:13] 你給一個體驗個案
[38:14] 你真的覺得
[38:16] 他可以得到人生很大的支持嗎
[38:19] 老實說
[38:20] 如果這一個人我舉例
[38:22] 如果這個人公司
[38:24] 正在一個經營危機
[38:27] 你覺得一個體驗
[38:28] 一個命理體驗方案599
[38:31] 他的公司危機就解除了嗎
[38:33] 你覺得可以的打可
[38:35] 你覺得不行的打不
[38:38] 你覺得可以的打可
[38:41] 可
[38:41] 過
[38:43] 不
[38:43] 你覺得是哪一個
[38:45] Luna說可以
[38:46] 一次體驗就可以讓他公司危機
[38:50] 得到解除了是嗎
[38:52] 你覺得可以得到解除的打可
[38:55] 那你覺得無法不行
[38:58] 對
[38:59] 然後你看到不行對不對
[39:01] 那我問你們
[39:02] 不行
[39:02] 那你一個體驗方案
[39:05] 體驗方案的目的是什麼
[39:07] 體驗方案的目的是
[39:09] 讓這個個案
[39:11] 讓你的來訪者
[39:12] 讓你的客戶
[39:14] 跟你對接的過程中
[39:16] 他能夠做到
[39:18] 你要跟他做到一件事情
[39:20] 幫我寫下來叫做
[39:21] 疊加信任
[39:23] 這時候你要的不是
[39:25] 11599
[39:27] 或199不是的
[39:29] 你要的是他跟你之間
[39:32] 建立信任關係
[39:34] 對不對
[39:35] 所以這時候
[39:36] 你這你好好的服務
[39:37] 他在做的就是疊加信任
[39:40] 疊加信任好了之後
[39:42] 也就是他信任你了
[39:43] 安心了
[39:45] 他的安心代表一件事情
[39:47] 他可以付正式費用給你了
[39:49] 但大家聽我一件事情
[39:51] 什麼意思
[39:51] 這在其他行業都可以看得到
[39:54] 大家有沒有去過健身房
[39:56] 或者是去瑜伽館
[39:59] 然後你有沒有發現
[40:00] 我們去健身房
[40:01] 有時候他會提供給我們那種
[40:03] 什麼7天免費
[40:05] 或是7天199
[40:06] 或很便宜的方案
[40:07] 有沒有
[40:08] 有沒有
[40:09] 然後你體驗完了之後
[40:11] 是不是會有個服務人員
[40:13] 來跟你說
[40:14] 你體驗的如何
[40:16] 你看我們的器材
[40:17] 我們的健身教練
[40:18] 是不是都很好
[40:19] 然後體驗的很滿意之後
[40:22] 這時候就有一個人員出來
[40:24] 來跟你講一下服務方案了
[40:26] 對不對
[40:27] 那這時候
[40:28] 你的確知道
[40:29] 哇他的器材不錯
[40:30] 環境離我家也不遠
[40:32] 那個健身教練人也很好
[40:35] 然後你覺得滿意之後
[40:37] 他跟你講方案
[40:39] 這時候你是不是可以接受
[40:41] 你理解我的意思的
[40:44] 打個理解
[40:44] 大家有沒有理解
[40:46] 也就是說今天你的客戶
[40:48] 他也知道你那個是體驗方案
[40:51] 甚至你也可以跟他說
[40:52] 一個人一生只有一次的體驗
[40:55] 對吧
[40:56] 那你如果全家都來
[40:57] 當然可以
[40:58] 全家每一個人一次體驗
[41:00] 沒毛病
[41:01] 對不對
[41:02] 那是不是全家都合了融融
[41:04] 哇太好了
[41:04] 我們每一個如果是一次
[41:06] 那個599
[41:07] 哇我們每一個人都趕快去一次
[41:09] 然後這時候你會不會想要
[41:10] 趕快幫這個療癒師去介紹人
[41:13] 那這個療癒師光是做體驗個案
[41:15] 他一個月可能老是說
[41:18] 要做個20個30個
[41:19] 是不是沒問題
[41:20] 因為你體驗到很好了
[41:23] 所以他是不是就得到一個
[41:25] 很好的支持了
[41:27] 然後這時候呢
[41:28] 你體驗很好之後
[41:29] 這時候他在跟你講一個
[41:31] 有一個高價值高成效的方案
[41:33] 你會不會覺得合理
[41:34] 那這個方案是什麼呢
[41:36] 他就可以告訴你說
[41:37] 你們學下來好不好
[41:39] 你們可以告訴他就是
[41:40] 我今天這個
[41:41] 今天就是一個單次的一個服務
[41:44] 給你體驗一下
[41:45] 然後也讓你很清楚的知道
[41:46] 就是我的整體的
[41:49] 就是我是怎麼樣來支持到你的
[41:51] 那如果你覺得這樣有支持到你
[41:53] 我會給你一個更完整的方案
[41:56] 就是一個更完整方案
[41:57] 什麼叫完整方案
[41:59] 就是你可以幫助客戶
[42:00] 從這裡再走到這裡
[42:02] 就是他從這裡走到這裡
[42:05] 比如說
[42:05] 比如說什麼叫方案
[42:06] 就是那個單身變成有對象
[42:10] 這叫做這個是一個
[42:11] 他從單身走到有對象
[42:13] 從負債走到沒有負債
[42:16] 比方是這樣子
[42:17] 好不好
[42:18] 這就是因為客戶真正要的是什麼
[42:21] 跟次數沒有關係
[42:23] 跟你的
[42:25] 他要的就是效果
[42:27] 而且是他要的
[42:29] 你可以讓他要的得到
[42:32] 那個才是他要
[42:32] 所以我們提供的就是一個
[42:34] 就要高價值跟高成效方案
[42:37] 因為客戶要的是真正得到
[42:39] 支持跟轉變
[42:41] 那你如果給他一次個案
[42:44] 一次個案
[42:44] 你覺得能真的幫到他嗎
[42:46] 沒有
[42:47] 完全無法
[42:48] 我們都知道
[42:50] 但是他體驗了對不對
[42:51] 那我今天要說的是
[42:53] 不是每一個人體驗等於
[42:54] 他們一定要跟你買這個方案
[42:57] 因為不一定他
[42:58] 他可能跟你合拍
[43:00] 也可能跟你不合拍
[43:02] 對吧
[43:03] 同意嗎
[43:04] 所以
[43:04] 容五香
[43:06] 我講得太激動了
[43:08] 可以
[43:09] 可以跟你合拍
[43:10] 跟你不合拍
[43:11] 所以呢
[43:13] 今天如果這個人他跟你合拍了
[43:15] 而且他完全認同跟喜歡
[43:18] 你可能幫他算盤
[43:20] 或是給他靈氣
[43:21] 給他療癒的方式的時候
[43:24] 他是可以
[43:25] 你是可以往下前進的
[43:26] 就來到這個方案了
[43:28] 那關於高價值
[43:31] 高成效方案我要跟大家講
[43:33] 這個可不是什麼
[43:34] 一次變很多次了
[43:35] 如果你是這樣想的
[43:37] 那你就會小看了這個方案了
[43:39] 因為這個方案是
[43:41] 給到一個轉化目標的方案
[43:44] 那也就是這個方案
[43:46] 可以幫助你
[43:48] 會成為什麼呢
[43:49] 你會從疲累的
[43:51] 生存模式
[43:52] 能夠切換到一個
[43:54] 優雅的生活模式
[43:56] 這個才是我們要的
[43:58] 對不對
[43:58] 好
[43:58] 所以你對於高價值
[44:02] 高成效方案
[44:03] 有概念了嗎
[44:04] 有概念了嗎
[44:05] 有概念的答案
[44:06] 有
[44:07] 給我看一下
[44:07] 有概念了
[44:12] 有
[44:13] 太好了
[44:14] 你有概念之後
[44:15] 回去
[44:16] 你就可以往這個方向做了
[44:18] 好不好
[44:19] 我已經把我的
[44:20] 很重要一個秘密
[44:21] 跟你們說了
[44:22] 你知道嗎
[44:22] 這個是我們付費學員
[44:24] 才會知道
[44:25] 而且
[44:26] 他們會很細緻的
[44:27] 得到照顧是為什麼
[44:29] 因為環環相扣
[44:30] 你每一個環節
[44:31] 如果不扣好
[44:33] 就會很可惜
[44:36] 像我們有一個同學
[44:37] 他因為推出了這樣的方案
[44:39] 一下子就有
[44:40] 其實好幾個同學都這樣
[44:42] 他們一下子就十幾個人
[44:43] 十幾個人
[44:43] 十幾個人報名了
[44:45] 我說的一下子
[44:46] 不是一個月十幾個
[44:47] 不是
[44:48] 是可能在那幾天
[44:49] 就一下子十幾個
[44:50] 因為那個都是有策略的
[44:52] 同學們
[44:53] 你幫我打兩個字策略
[44:54] 成長沒這麼快
[44:56] 我會跟你們說兩件事
[44:58] 第一個
[44:59] 如果你自己本人的
[45:01] 個案
[45:03] 個案量本身還沒有那麼多的時候
[45:06] 你可能是隨喜
[45:08] 或者是人家低價付費
[45:09] 對不對
[45:10] 那如果你已經是一個
[45:12] 比較資深的老師
[45:14] 中間或資深的
[45:15] 就是30個50
[45:17] 做了30個50個
[45:18] 80個個案
[45:19] 100個個案
[45:20] 很好
[45:21] 那這時候
[45:22] 你依舊要給
[45:24] 體驗方案
[45:25] 像我
[45:26] 我已經做了
[45:26] 操作1000個
[45:28] 我還是會給體驗方案
[45:30] 你們知道為什麼嗎
[45:31] 因為體驗方案
[45:33] 如果可以讓我
[45:34] 假設我今天繼續做個案
[45:37] 我問你們來拿計算機
[45:40] 你看我多現實的
[45:42] 多真實的一個人
[45:44] 直接拿計算機算給你看
[45:45] 來
[45:46] 大家看計算機
[45:47] 如果我的體驗方案
[45:48] 我來講一下
[45:49] 我以前在做那個
[45:51] 就是弄零性解讀
[45:53] 我走一個快狠轉路線
[45:56] 然後我以前有給一個什麼
[45:58] 就是
[45:58] 那種就是
[45:59] 愛滿肯定句
[46:01] 就是15分鐘
[46:02] 讓對方標類
[46:03] 就是感動到標類
[46:05] 為什麼
[46:06] 因為直接講到心坎裡
[46:08] 那但是以前我
[46:09] 那個都是做工藝
[46:10] 就很多我常常都做一些
[46:12] 私底下要做很多工藝服務
[46:14] 我就會給很多很多祝福
[46:16] 然後
[46:18] 那大家想假設
[46:19] 假設這個就是一個
[46:20] 111元
[46:21] 好了
[46:22] 好我以前就好
[46:23] 111元
[46:24] 我跟你們講一下
[46:25] 我都是走快狠轉
[46:26] 什麼叫快狠轉
[46:27] 我當時是這樣子
[46:29] 我當時就是
[46:30] 我提供111個
[46:33] 這兩個月
[46:33] 連續兩個月
[46:34] 111個人
[46:35] 然後每一個人
[46:36] 我都給15分鐘的
[46:38] 愛滿肯定句
[46:39] 然後你知道嗎
[46:40] 那111個人
[46:41] 然後每一個人
[46:42] 那時候都跟我加爛
[46:44] 然後呢
[46:45] 兩個月
[46:45] 也就是111除以2
[46:48] 我是不是一個月做
[46:49] 5556個人
[46:50] 好
[46:51] 那我問你們
[46:51] 如果我當時
[46:53] 就知道這個方法的話
[46:55] 一個月55個
[46:57] 55個人跟我連結業
[46:58] 你們想
[46:59] 然後如果我們就說
[47:01] 一半的人好
[47:02] 只有一半的人願意報
[47:03] 我的方案
[47:04] 假設我的方案是
[47:06] 1萬塊
[47:08] 我們說假設1萬2好了
[47:09] 好
[47:10] 27個人願意跟我報名
[47:12] 稱1萬2
[47:13] 來請問
[47:14] 現在這樣就是
[47:16] 32萬4
[47:17] 然後這27個人
[47:18] 為什麼願意報1萬2呢
[47:20] 好
[47:20] 我先跟你們透露一下
[47:21] 因為他
[47:22] 因為我給他分期
[47:24] 然後我給他分12期
[47:25] 然後一期1000塊
[47:27] 然後他又覺得
[47:28] 我的整體方案
[47:29] 太適合他了
[47:31] 然後如果又很適合
[47:33] 而且我當時
[47:34] 把它做到
[47:35] 心坎底很感動
[47:36] 你覺得一個月1000塊
[47:39] 你覺得要是你
[47:40] 假設你先想像一下
[47:41] 啊
[47:41] 你好感動
[47:42] 覺得好棒哦
[47:43] 然後這個老師
[47:44] 給了我一個高價值
[47:45] 高成效的方案
[47:46] 這個方案
[47:47] 我太適合我了
[47:49] 不是599是
[47:51] 111
[47:53] 111跳到1萬2
[47:54] 但是當然不是只做一次啊
[47:57] 那個是一個方案
[47:58] 好嗎
[47:59] 行為就是一個方案
[48:00] 然後呢
[48:01] 他覺得很有用之後呢
[48:03] 他覺得哇
[48:03] 很感動之後
[48:04] 然後我就跟他說
[48:06] 那你這個事情
[48:07] 老師說我
[48:08] 我這15分鐘
[48:09] 是沒有辦法
[48:09] 很好的完整的
[48:11] 支持到你的
[48:12] 如果你願意讓我很完整的
[48:14] 支持到你的話
[48:16] 那麼
[48:17] 我這裡有一個真正
[48:19] 能夠完整支持你的方案
[48:20] 你要不要聽一下
[48:22] 他說可以啊
[48:23] 那他剛剛是不是告訴了
[48:24] 我他的狀況
[48:26] 所以我才給他一個祝福
[48:28] 對不對
[48:28] 講到心坎底的祝福
[48:30] 然後他告訴我
[48:31] 我就會針對他的狀況
[48:32] 告訴他
[48:33] 哦
[48:33] 因為你是這樣
[48:34] 狀況
[48:34] 所以呢
[48:35] 我這個方案
[48:35] 是如何如何如何的支持你
[48:38] 可以支持你
[48:38] 從a點到b點
[48:40] 我假設好
[48:41] 然後那聽了覺得
[48:42] 哇
[48:42] 真的是真的是
[48:43] 可以支持他的
[48:44] 那我就跟他說
[48:45] 那我這整套整個方案
[48:47] 為了要能夠支持你
[48:49] 哦
[48:49] 他費用是1萬2
[48:51] 你可以接受嗎
[48:52] 然後他說哇
[48:54] 那1萬2有點負擔
[48:55] 那如果我再讓你分期
[48:57] 12期
[48:58] 無期分期12期
[49:01] 一個月只要1000塊
[49:03] 你覺得可以嗎
[49:04] 然後我可以告訴
[49:06] 大我跟大家講結論
[49:07] 好不好
[49:08] 結論就是呢
[49:09] 幾乎
[49:10] 就是不是五成的人
[49:11] 是超過七成的人
[49:13] 會跟我報名
[49:14] 好
[49:14] 這是我以前有做過的事情
[49:16] 然後就發
[49:17] 所以我要告訴各位
[49:18] 我們的這一套方式
[49:20] 是有用的
[49:21] 如果你是做個案的
[49:22] 那當然我現在沒有這樣
[49:24] 沒有在做
[49:24] 特別做個案
[49:25] 但是我告訴你
[49:26] 這是有用的
[49:27] 而且是非常有用的方式
[49:30] 提供給你們參考
[49:31] 所以我有沒有把這一趴講清楚了
[49:34] 你有理解的
[49:35] 對不對
[49:35] 好
[49:36] 那你理解的高價值
[49:37] 高成效方案之後
[49:39] 來現在我要告訴你們
[49:41] 孫心凌老師的
[49:42] 第二條路是什麼
[49:44] 製作課程
[49:45] 對不對
[49:46] 我剛剛是不是說有個案
[49:47] 有課程
[49:48] 還有什麼商品
[49:49] 但是我覺得商品
[49:50] 那個是製作比較
[49:53] 錢會比較多的
[49:54] 我對不起
[49:54] 我會比較務實
[49:56] 我比較務實一點
[49:57] 錢比較多的就是
[49:58] 可能你做個案
[49:59] 或是你製作
[50:00] 你做課程
[50:01] 對不對
[50:02] 那做課程
[50:03] 我們有幾個方式
[50:04] 大家看一下
[50:06] 比如說你有預錄線上課
[50:08] 線上直播
[50:10] 線上課加直播陪跑
[50:12] 就混合型的
[50:13] 或者是實體現場課
[50:15] 那同學們
[50:16] 我問你一下
[50:17] 你覺得
