[00:00] 我這幾天在閉關
[25:09] 現在
[25:10] 現在
[25:11] 現在
[25:12] 現在
[25:13] 現在
[25:14] 現在
[25:15] 現在
[25:16] 現在
[25:17] 現在
[25:18] 現在
[25:19] 現在
[25:20] 現在
[25:21] 現在
[25:22] 現在
[25:23] 現在
[25:24] 現在
[25:25] 現在
[25:26] 現在
[25:27] 現在
[25:28] 現在
[25:29] 現在
[25:30] 現在
[25:31] 現在
[25:32] 現在
[25:33] 現在
[25:34] 現在
[25:35] 現在
[25:36] 現在
[25:37] 現在
[25:38] 現在
[25:39] 現在
[25:40] 現在
[25:41] 現在
[25:42] 現在
[25:43] 現在
[25:44] 現在
[25:45] 現在
[25:46] 現在
[25:47] 現在
[25:48] 現在
[25:49] 現在
[25:50] 現在
[25:51] 現在
[25:52] 現在
[25:53] 現在
[25:54] 現在
[25:55] 現在
[25:56] 現在
[25:57] 現在
[25:58] 現在
[25:59] 現在
[26:00] 現在
[26:01] 現在
[26:02] 現在
[26:03] 現在
[26:04] 現在
[26:05] 現在
[26:06] 現在
[26:07] 現在
[26:08] 現在
[26:09] 現在
[26:10] 現在
[26:11] 現在
[26:12] 現在
[26:13] 現在
[26:14] 現在
[26:15] 現在
[26:17] 現在
[26:18] 現在
[26:19] 現在
[26:20] 現在
[26:21] 現在
[26:22] 現在
[26:23] 現在
[26:24] 現在
[26:25] 現在
[26:26] 現在
[26:27] 現在
[26:28] 現在
[26:29] 現在
[26:30] 現在
[26:31] 現在
[26:32] 現在
[26:33] 現在
[26:34] 現在
[26:35] 現在
[26:36] 現在
[26:37] 現在
[26:38] 現在
[26:39] 現在
[26:40] 現在
[26:41] 現在
[26:42] 現在
[26:43] 現在
[26:44] 現在
[26:45] 現在
[26:46] 現在
[26:47] 現在
[26:48] 現在
[26:49] 現在
[26:50] 現在
[26:51] 現在
[26:52] 現在
[26:53] 現在
[26:54] 現在
[26:55] 現在
[26:56] 現在
[26:57] 現在
[26:58] 現在
[26:59] 現在
[27:00] 現在
[27:01] 現在
[27:02] 現在
[27:03] 現在
[27:04] 現在
[27:05] 現在
[27:06] 現在
[27:07] 現在
[27:08] 現在
[27:09] 現在
[27:10] 現在
[27:11] 現在
[27:12] 現在
[27:13] 現在
[27:14] 現在
[27:15] 現在
[27:16] 現在
[27:17] 現在
[27:18] 現在
[27:19] 現在
[27:20] 現在
[27:21] 現在
[27:22] 現在
[27:23] 現在
[27:24] 現在
[27:25] 現在
[27:26] 現在
[27:27] 現在
[27:28] 現在
[27:29] 現在
[27:30] 現在
[27:31] 現在
[27:32] 現在
[27:33] 現在
[27:34] 現在
[27:35] 現在
[27:36] 現在
[27:37] 現在
[27:38] 現在
[27:39] 現在
[27:40] 現在
[27:41] 現在
[27:42] 現在
[27:43] 現在
[27:44] 現在
[27:45] 現在
[27:46] 現在
[27:47] 現在
[27:48] 現在
[27:49] 現在
[27:50] 現在
[27:51] 現在
[27:52] 現在
[27:53] 現在
[27:54] 現在
[27:55] 現在
[27:56] 現在
[27:57] 現在
[27:58] 現在
[27:59] 現在
[28:00] 現在
[28:01] 現在
[28:02] 現在
[28:03] 現在
[28:04] 現在
[28:05] 現在
[28:06] 現在
[28:07] 現在
[28:08] 現在
[28:09] 現在
[28:10] 現在
[28:11] 現在
[28:12] 現在
[28:13] 現在
[28:14] 現在
[28:15] 現在
[28:16] 現在
[28:17] 現在
[28:18] 現在
[28:19] 現在
[28:20] 現在
[28:21] 現在
[28:22] 現在
[28:23] 現在
[28:24] 現在
[28:25] 現在
[28:26] 現在
[28:27] 現在
[28:28] 現在
[28:29] 現在
[28:30] 現在
[28:31] 現在
[28:32] 現在
[28:33] 現在
[28:34] 現在
[28:35] 現在
[28:36] 現在
[28:37] 現在
[28:38] 現在
[28:39] 現在
[28:40] 現在
[28:41] 現在
[28:42] 現在
[28:43] 現在
[28:44] 現在
[28:45] 現在
[28:46] 現在
[28:47] 現在
[28:48] 現在
[28:49] 現在
[28:50] 現在
[28:51] 現在
[28:52] 現在
[28:53] 現在
[28:54] 現在
[28:55] 現在
[28:56] 現在
[28:57] 現在
[28:58] 現在
[28:59] 現在
[29:00] 現在
[29:01] 現在
[29:02] 現在
[29:03] 現在
[29:04] 現在
[29:05] 現在
[29:06] 現在
[29:07] 現在
[29:08] 現在
[29:09] 現在
[29:10] 現在
[29:11] 現在
[29:12] 現在
[29:13] 現在
[29:14] 現在
[29:15] 現在
[29:16] 現在
[29:17] 現在
[29:18] 現在
[29:19] 現在
[29:20] 現在
[29:21] 現在
[29:22] 現在
[29:23] 現在
[29:24] 現在
[29:25] 現在
[29:26] 現在
[29:27] 現在
[29:28] 現在
[29:29] 現在
[29:30] 現在
[29:31] 現在
[29:32] 現在
[29:33] 現在
[29:34] 現在
[29:35] 現在
[29:36] 現在
[29:37] 現在
[29:38] 現在
[29:39] 現在
[29:40] 現在
[29:41] 現在
[29:42] 現在
[29:43] 現在
[29:44] 現在
[29:45] 現在
[29:46] 現在
[29:47] 現在
[29:48] 現在
[29:49] 現在
[29:50] 現在
[29:51] 現在
[29:52] 現在
[29:53] 現在
[29:54] 現在
[29:55] 現在
[29:56] 現在
[29:57] 現在
[29:58] 現在
[29:59] 現在
[30:00] 現在
[30:01] 現在
[30:02] 現在
[30:03] 現在
[30:04] 現在
[30:05] 現在
[30:06] 現在
[30:07] 現在
[30:08] 現在
[30:09] 現在
[30:10] 現在
[30:11] 現在
[30:12] 現在
[30:13] 現在
[30:14] 現在
[30:15] 現在
[30:16] 現在
[30:17] 現在
[30:18] 現在
[30:19] 現在
[30:20] 現在
[30:21] 現在
[30:22] 現在
[30:23] 現在
[30:24] 現在
[30:25] 現在
[30:26] 現在
[30:27] 現在
[30:28] 現在
[30:29] 現在
[30:30] 現在
[30:31] 現在
[30:32] 現在
[30:33] 現在
[30:34] 現在
[30:35] 現在
[30:36] 現在
[30:37] 現在
[30:38] 現在
[30:39] 現在
[30:40] 現在
[30:41] 現在
[30:42] 現在
[30:43] 現在
[30:44] 現在
[30:45] 現在
[30:46] 現在
[30:47] 現在
[30:48] 現在
[30:49] 現在
[30:50] 現在
[30:51] 現在
[30:52] 現在
[30:53] 現在
[30:54] 現在
[30:55] 現在
[30:56] 現在
[30:57] 現在
[30:58] 現在
[30:59] 現在
[31:00] 現在
[31:01] 現在
[31:02] 現在
[31:03] 現在
[31:04] 現在
[31:05] 現在
[31:06] 現在
[31:07] 現在
[31:08] 現在
[31:09] 現在
[31:10] 現在
[31:11] 現在
[31:12] 現在
[31:13] 現在
[31:14] 現在
[31:15] 現在
[31:16] 現在
[31:17] 現在
[31:18] 現在
[31:19] 現在
[31:20] 現在
[31:21] 現在
[31:22] 現在
[31:23] 現在
[31:24] 現在
[31:25] 現在
[31:26] 現在
[31:27] 現在
[31:28] 現在
[31:29] 現在
[31:30] 現在
[31:31] 現在
[31:32] 現在
[31:33] 現在
[31:34] 現在
[31:35] 現在
[31:36] 現在
[31:37] 現在
[31:38] 現在
[31:39] 現在
[31:40] 現在
[31:41] 現在
[31:42] 現在
[31:43] 現在
[31:44] 現在
[31:45] 現在
[31:46] 現在
[31:47] 現在
[31:48] 現在
[31:49] 現在
[31:50] 現在
[31:51] 現在
[31:52] 現在
[31:53] 現在
[31:54] 現在
[31:55] 現在
[31:56] 現在
[31:57] 現在
[31:58] 現在
[31:59] 現在
[32:00] 現在
[32:01] 現在
[32:02] 現在
[32:03] 現在
[32:04] 現在
[32:05] 現在
[32:06] 現在
[32:07] 現在
[32:08] 現在
[32:09] 現在
[32:10] 現在
[32:11] 現在
[32:12] 現在
[32:13] 現在
[32:14] 現在
[32:15] 現在
[32:16] 現在
[32:17] 現在
[32:18] 現在
[32:19] 現在
[32:20] 現在
[32:21] 現在
[32:22] 現在
[32:23] 現在
[32:24] 現在
[32:25] 現在
[32:26] 現在
[32:27] 現在
[32:28] 現在
[32:29] 現在
[32:30] 現在
[32:31] 現在
[32:32] 現在
[32:33] 現在
[32:34] 現在
[32:35] 現在
[32:36] 現在
[32:37] 現在
[32:38] 現在
[32:39] 現在
[32:40] 現在
[32:41] 現在
[32:42] 現在
[32:43] 現在
[32:44] 現在
[32:45] 現在
[32:46] 現在
[32:47] 現在
[32:48] 現在
[32:49] 現在
[32:50] 現在
[32:51] 現在
[32:52] 現在
[32:53] 現在
[32:54] 現在
[32:55] 現在
[32:56] 現在
[32:57] 現在
[32:58] 現在
[32:59] 現在
[33:00] 現在
[33:01] 現在
[33:02] 現在
[33:03] 現在
[33:04] 現在
[33:05] 現在
[33:06] 現在
[33:07] 現在
[33:08] 現在
[33:09] 現在
[33:10] 現在
[33:11] 現在
[33:12] 現在
[33:13] 現在
[33:14] 現在
[33:15] 現在
[33:16] 現在
[33:17] 現在
[33:18] 現在
[33:19] 現在
[33:20] 現在
[33:21] 現在
[33:22] 現在
[33:23] 現在
[33:24] 現在
[33:25] 現在
[33:26] 現在
[33:27] 現在
[33:28] 現在
[33:29] 現在
[33:30] 現在
[33:31] 現在
[33:32] 現在
[33:33] 現在
[33:34] 現在
[33:35] 現在
[33:36] 現在
[33:37] 現在
[33:38] 現在
[33:39] 現在
[33:40] 現在
[33:41] 現在
[33:42] 現在
[33:43] 現在
[33:44] 現在
[33:45] 現在
[33:46] 現在
[33:47] 現在
[33:48] 現在
[33:49] 現在
[33:50] 現在
[33:51] 現在
[33:52] 現在
[33:53] 現在
[33:54] 現在
[33:55] 現在
[33:56] 現在
[33:57] 現在
[33:58] 現在
[33:59] 現在
[34:00] 現在
[34:01] 現在
[34:02] 現在
[34:03] 現在
[34:04] 現在
[34:05] 現在
[34:06] 現在
[34:07] 現在
[34:08] 現在
[34:09] 現在
[34:10] 現在
[34:11] 現在
[34:12] 現在
[34:13] 現在
[34:14] 現在
[34:15] 現在
[34:16] 現在
[34:17] 現在
[34:18] 現在
[34:19] 現在
[34:20] 現在
[34:21] 現在
[34:22] 現在
[34:23] 現在
[34:24] 現在
[34:25] 現在
[34:26] 現在
[34:27] 現在
[34:28] 現在
[34:29] 現在
[34:30] 現在
[34:31] 現在
[34:32] 現在
[34:33] 現在
[34:34] 現在
[34:35] 現在
[34:36] 現在
[34:37] 現在
[34:38] 現在
[34:39] 現在
[34:40] 現在
[34:41] 現在
[34:42] 現在
[34:43] 現在
[34:44] 現在
[34:45] 現在
[34:46] 現在
[34:47] 現在
[34:48] 現在
[34:49] 現在
[34:50] 現在
[34:51] 現在
[34:52] 現在
[34:53] 現在
[34:54] 現在
[34:55] 現在
[34:56] 現在
[34:57] 現在
[34:58] 現在
[34:59] 現在
[35:00] 現在
[35:01] 現在
[35:02] 現在
[35:03] 現在
[35:04] 現在
[35:05] 現在
[35:06] 現在
[35:07] 現在
[35:08] 現在
[35:09] 現在
[35:10] 現在
[35:11] 現在
[35:12] 現在
[35:13] 現在
[35:14] 現在
[35:15] 現在
[35:16] 現在
[35:17] 現在
[35:18] 現在
[35:19] 現在
[35:20] 現在
[35:21] 現在
[35:22] 現在
[35:23] 現在
[35:24] 現在
[35:25] 現在
[35:26] 現在
[35:27] 現在
[35:28] 現在
[35:29] 現在
[35:30] 現在
[35:31] 現在
[35:32] 現在
[35:33] 現在
[35:34] 現在
[35:35] 現在
[35:36] 現在
[35:37] 現在
[35:38] 現在
[35:39] 現在
[35:40] 現在
[35:41] 現在
[35:42] 現在
[35:43] 現在
[35:44] 現在
[35:45] 現在
[35:46] 現在
[35:47] 現在
[35:48] 現在
[35:49] 現在
[35:50] 現在
[35:51] 現在
[35:52] 現在
[35:53] 現在
[35:54] 現在
[35:55] 現在
[35:56] 應該沒有那麼需要
[35:59] 外線是
[36:00] 外線是
[36:01] 外線是
[36:02] 外線是
[36:03] 外線是
[36:04] 外線是
[36:05] 外線是
[36:06] 外線是
[36:07] 外線是
[36:08] 外線是
[36:09] 外線是
[36:10] 外線是
[36:11] 外線是
[36:12] 外線是
[36:13] 外線是
[36:14] 外線是
[36:15] 外線是
[36:16] 外線是
[36:17] 外線是
[36:18] 外線是
[36:19] 外線是
[36:20] 外線是
[36:21] 外線是
[36:22] 外線是
[36:23] 外線是
[36:24] 外線是
[36:25] 外線是
[36:25] 外線是
[36:26] 外線是
[36:27] 外線是
[36:28] 外線是
[36:29] 外線是
[36:30] 外線是
[36:31] 外線是
[36:32] 外線是
[36:33] 外線是
[36:34] 外線是
[36:35] 外線是
[36:36] 外線是
[36:37] 外線是
[36:38] 外線是
[36:39] 外線是
[36:40] 外線是
[36:41] 外線是
[36:42] 外線是
[36:43] 外線是
[36:44] 外線是
[36:45] 外線是
[36:46] 外線是
[36:47] 外線是
[36:48] 外線是
[36:49] 外線是
[36:50] 外線是
[36:51] 外線是
[36:52] 外線是
[36:53] 外線是
[36:54] 外線是
[36:55] 外線是
[36:56] 外線是
[36:57] 外線是
[36:58] 外線是
[36:59] 外線是
[37:00] 外線是
[37:01] 外線是
[37:02] 外線是
[37:03] 外線是
[37:04] 外線是
[37:05] 外線是
[37:06] 外線是
[37:07] 外線是
[37:08] 外線是
[37:09] 外線是
[37:10] 外線是
[37:11] 外線是
[37:12] 外線是
[37:13] 外線是
[37:14] 外線是
[37:15] 外線是
[37:16] 外線是
[37:17] 外線是
[37:18] 外線是
[37:19] 外線是
[37:20] 外線是
[37:21] 外線是
[37:23] 外線是
[37:24] 外線是
[37:25] 外線是
[37:26] 外線是
[37:27] 外線是
[37:28] 外線是
[37:29] 外線是
[37:30] 外線是
[37:31] 外線是
[37:32] 外線是
[37:33] 外線是
[37:34] 外線是
[37:35] 外線是
[37:36] 外線是
[37:37] 外線是
[37:38] 外線是
[37:39] 外線是
[37:40] 外線是
[37:41] 外線是
[37:42] 外線是
[37:43] 外線是
[37:44] 外線是
[37:45] 外線是
[37:46] 外線是
[37:47] 外線是
[37:48] 外線是
[37:49] 外線是
[37:50] 外線是
[37:51] 外線是
[37:52] 外線是
[37:53] 外線是
[37:54] 外線是
[37:55] 外線是
[37:56] 外線是
[37:57] 外線是
[37:58] 外線是
[37:59] 外線是
[38:00] 外線是
[38:01] 外線是
[38:02] 外線是
[38:03] 外線是
[38:04] 外線是
[38:05] 外線是
[38:06] 外線是
[38:07] 外線是
[38:08] 外線是
[38:09] 外線是
[38:10] 外線是
[38:11] 外線是
[38:12] 外線是
[38:13] 外線是
[38:14] 外線是
[38:15] 外線是
[38:16] 外線是
[38:17] 外線是
[38:18] 外線是
[38:19] 外線是
[38:20] 外線是
[38:21] 外線是
[38:22] 外線
[38:23] 升星靈
[38:24] 以暫時服務
[38:25] 或升星靈
[38:26] 或升星靈
[38:27] 或升星靈
[38:29] 或升星靈
[38:30] 或升星靈
[38:31] 或升星靈
[38:32] 或升星靈
[38:33] 或升星靈
[38:34] 或升星靈
[38:35] 或升星靈
[38:36] 或升星靈
[38:37] 或升星靈
[38:38] 或升星靈
[38:39] 或升星靈
[38:40] 或升星靈
[38:41] 或升星靈
[38:42] 或升星靈
[38:43] 或升星靈
[38:44] 或升星靈
[38:45] 或升星靈
[38:46] 或升星靈
[38:47] 或升星靈
[38:48] 或升星靈
[38:49] 或升星靈
[38:50] 或升星靈
[38:51] 或升星靈
[38:52] 或升星靈
[38:53] 或升星靈
[38:54] 或升星靈
[38:55] 或升星靈
[38:56] 或升星靈
[38:57] 或升星靈
[38:58] 或升星靈
[38:59] 或升星靈
[39:00] 或升星靈
[39:01] 或升星靈
[39:02] 或升星靈
[39:03] 或升星靈
[39:04] 或升星靈
[39:05] 或升星靈
[39:06] 或升星靈
[39:07] 或升星靈
[39:08] 或升星靈
[39:09] 或升星靈
[39:10] 或升星靈
[39:11] 或升星靈
[39:12] 或升星靈
[39:13] 或升星靈
[39:14] 或升星靈
[39:15] 或升星靈
[39:16] 或升星靈
[39:17] 或升星靈
[39:18] 或升星靈
[39:19] 或升星靈
[39:20] 或升星靈
[39:21] 或升星靈
[39:22] 或升星靈
[39:23] 或升星靈
[39:24] 或升星靈
[39:25] 或升星靈
[39:26] 或升星靈
[39:27] 或升星靈
[39:28] 或升星靈
[39:29] 或升星靈
[39:30] 或升星靈
[39:31] 或升星靈
[39:32] 或升星靈
[39:33] 或升星靈
[39:34] 或升星靈
[39:35] 或升星靈
[39:36] 或升星靈
[39:37] 或升星靈
[39:38] 或升星靈
[39:39] 或升星靈
[39:40] 或升星靈
[39:41] 或升星靈
[39:42] 或升星靈
[39:43] 或升星靈
[39:44] 或升星靈
[39:45] 或升星靈
[39:46] 或升星靈
[39:47] 或升星靈
[39:48] 或升星靈
[39:49] 或升星靈
[39:50] 或升星靈
[39:51] 裡面的那些IP素材購買
[39:53] 沒有個急千萬你買不了了
[39:55] 所以我會把系統養大
[39:57] 讓你
[39:58] 那如果老師能不能自己接呢
[40:01] 我覺得他有沒有可能
[40:03] 他接完幾次就自己把接走呢
[40:06] 這個在我們
[40:08] 每一個老師成為私氣生的時候
[40:10] 這個合約上就要簽房地了
[40:12] 就要簽解決這個問題
[40:14] 對
[40:15] 這樣子
[40:16] 例如說就把三年約五年約
[40:18] 這三年
[40:19] 事實上
[40:20] 這個事情就不會發生嘛
[40:22] 那你發生的就是很大的
[40:24] 那如果是我想問你
[40:26] 我已經培養出來
[40:28] 但是你們沒有跟他給我做
[40:30] 我們前面這麼多整手
[40:32] 跟運動的客戶
[40:33] 個案只會很多
[40:34] 是你
[40:35] 你跟完一百個跟我才敢
[40:37] 你沒有跟完一百個跟我
[40:38] 還不敢讓你做呢
[40:40] 而且是免費的
[40:41] 對
[40:42] 就是我先用我的
[40:43] 引流
[40:44] 能力創造大量的客戶素
[40:46] 然後支零魂支尋這個
[40:48] 手是免費的
[40:51] 然後呢
[40:52] 就會有第一批
[40:53] 就是全部給陳老師
[40:54] 或是誰來做
[40:56] 然後做完之後
[40:57] 上一層大量的那個
[40:58] Demo的時候
[40:59] 你跟完幾個個案
[41:00] 才給我下去做
[41:01] 你確定考試你能過的
[41:03] 你之前諮詢那部人
[41:04] 能過的你再下去做
[41:05] 下去做的時候
[41:06] 一樣是免費的
[41:07] 第一年等於是免費
[41:09] 練功我只是培養一大人
[41:10] 給你練而已
[41:11] 這樣
[41:12] 就是很多的那個墨生
[41:14] 就是那個墨
[41:15] 我先把
[41:16] 你說我這邊養了500個客戶
[41:18] 我這邊就500個
[41:19] 讓你玩
[41:20] 他每個老師可以玩一次
[41:21] 這500個
[41:22] 500個只要100個信就好了
[41:24] 就100個給你玩
[41:26] 這樣
[41:27] 舉例子
[41:28] 或者是我一直大量的來客戶素
[41:29] 所以
[41:30] 這些老師就有大量的
[41:31] 個案可以練
[41:32] 但是練的時候
[41:33] 要修正調整
[41:34] 修正調整
[41:35] 然後
[41:36] 他們可能到第二年才
[41:37] 真的收費
[41:38] 這樣子
[41:39] 就是可能第一年
[41:40] 就全部都是免費內風起
[41:42] 就是拿一堆
[41:43] 就是我
[41:44] 我先衝
[41:45] 我先衝出一堆客戶素
[41:47] 那這些客戶素可以
[41:48] 讓你們拿來做練功
[41:50] 這樣子
[41:51] 或者網路上
[41:52] 我可以來找一堆人的可以練
[41:54] 然後
[41:55] 因為這些人
[41:56] 網路上的人
[41:57] 他已經來我的實體嘛
[41:58] 那來實體之後
[41:59] 他就可能
[42:00] 我裡面有整個
[42:01] 有運動教室
[42:02] 有賣營養品的
[42:03] 有做什麼的
[42:04] 反正
[42:05] 鬆弱一個重
[42:06] 我總是可以增加我的收益
[42:07] 因收嘛
[42:08] 這樣
[42:10] 反正他來我的場合
[42:11] 他總是要被檢測
[42:12] 檢測完總
[42:13] 總是會有缺口嘛
[42:15] 那總是會產生收入
[42:17] 所以對我而言
[42:18] 我也不吃虧
[42:19] 所以我的實體間
[42:20] 就被這群個案素
[42:21] 就是我提供我的個案素
[42:23] 給這些老師
[42:24] 同時這些老師
[42:25] 假設一堆個案素丟進來
[42:27] 我也會養脫我的那一天
[42:29] 也對我這一天來
[42:30] 引流有幫助
[42:31] 所以兩邊是雙向的
[42:33] 但是就是個很正向的循環
[42:35] 就是
[42:36] 好
[42:37] 現在我網路上我跟他們講
[42:39] PO免費的
[42:40] 是現100個一堆人
[42:41] 那個我以為真的是不缺人
[42:43] 這樣
[42:44] 不會缺到人
[42:45] 這樣
[42:46] 這樣
[42:47] 這樣
[42:48] 這樣還好啦
[42:49] 很多人
[42:50] 很多人都在早機會是吧
[42:52] 很多人都在
[42:53] 免費資訊一堆啦
[42:54] 這個還好
[42:55] 只要講得多厲害
[42:56] 所以我可以找到這輩子的功課
[42:58] 你這輩子的天賦
[42:59] 免費的還不要
[43:00] 就原價3000啊
[43:02] 然後
[43:03] 現在就是千一百個
[43:04] 不用錢這樣
[43:05] 一堆人來
[43:06] 這樣
[43:07] 這個不是很難的事情
[43:09] 有個案做事簡單的
[43:11] 最怕的不是
[43:12] 沒有
[43:13] 最怕的不是沒有個案做
[43:14] 我是比較
[43:15] 我跟你講我最害怕的就是這群老師
[43:17] 我
[43:19] 害怕的其實
[43:20] 都不是
[43:21] 因為這群人
[43:22] 我認為非常的不受控
[43:24] 所以
[43:25] 就是非常的
[43:26] 這非常的
[43:27] 怎麼講
[43:28] 這誰能夠讓
[43:30] 他們能夠
[43:31] 比較出事情啊
[43:33] 因為這群人我覺得
[43:34] 他們的思想
[43:35] 有些比較偏一點
[43:36] 如果比較偏的話
[43:37] 就比較尷尬
[43:38] 這樣子
[43:40] 我比較擔心這個
[43:41] 所以還選
[43:42] 要還選的好
[43:43] 對啊
[43:44] 都要抓來
[43:45] 都要來笑掌室
[43:47] 對
[43:48] 對
[43:49] 我比較擔心的
[43:50] 其實不是這個
[43:51] 然後我的
[43:52] 一般傳統產業
[43:53] 要做起來也不難
[43:55] 這樣子
[43:56] 所以我比較擔心他們
[43:58] 這是
[43:59] 說話
[44:00] 可能得罪的客戶
[44:01] 這樣子
[44:03] 跟說話
[44:04] 鬧事
[44:05] 我比較怕他們講話
[44:06] 就是
[44:07] 就像你當初
[44:08] 看到單單
[44:09] 你就想長他幾八長一樣
[44:11] 很多人都想
[44:13] 長他幾八長
[44:14] 你
[44:15] 你不要跟他講
[44:16] 我跟妳講
[44:18] 好幾個都這麼講
[44:19] 不是只有你
[44:20] 師母是
[44:21] 最想長他八長的那個
[44:23] 而且他直接
[44:24] 大罵過他
[44:25] 他已經覺得他
[44:27] 師母是
[44:28] 直接
[44:29] 永文是這樣講
[44:30] 他說
[44:31] 單單這種
[44:32] 沒大沒小的
[44:33] 講話在講什麼
[44:34] 就是
[44:35] 講話就是
[44:36] 那個口氣
[44:37] 我真的想衝過去
[44:38] 賞他兩個八長
[44:40] 這句話
[44:41] 跟你不要像不像
[44:42] 你講
[44:43] 你講
[44:44] 你講你講
[44:45] 你說他這個故事
[44:46] 是不是
[44:47] 對啊
[44:48] 你等於是
[44:49] 就開刀嗎
[44:50] 那我不是
[44:52] 坐在北一嗎
[44:53] 北一
[44:55] 台大
[44:57] 台大
[44:58] 台大一學院
[44:59] 我坐在那
[45:01] 然後那個故事
[45:02] 好溫柔
[45:03] 好溫柔
[45:04] 你會柔到
[45:05] 就我擦寫管
[45:07] 就是要做個女生寫管
[45:09] 今天要打電視
[45:11] 要打麻藥
[45:12] 都要碰過這個寫管
[45:13] 所以要先
[45:14] 給我擺管
[45:15] 擺管
[45:16] 然後就叫我寫管
[45:18] 他們倒
[45:19] 我現在給你
[45:20] 我現在給你
[45:21] 買燈管
[45:22] 你不要害怕
[45:24] 這個
[45:26] 男生氣口氣
[45:28] 那個可以是過頭
[45:30] 說不到
[45:31] 說不到我的寫管
[45:33] 我現在反正就小
[45:35] 我就在那裡
[45:36] 說不起來
[45:37] 你做好了嗎
[45:38] 但是請那一聽
[45:40] 是我的問題
[45:41] 他講
[45:42] 不是我的問題
[45:44] 他已經做了
[45:46] 那看法我們在害自己
[45:48] 你聽得說
[45:49] 我吧
[45:50] 你會怪他
[45:52] 他現在反正
[45:54] 先學到
[45:55] 沒錯
[45:56] 這個就是順念有素
[45:58] 這個我就不想要再去
[46:00] 就像你這個溫柔
[46:02] 你講這個溫柔
[46:03] 你要再當
[46:04] 要好
[46:05] 像
[46:06] 很美好
[46:07] 不但是這樣
[46:08] 大陸像溫柔
[46:10] 比較吃香
[46:11] 還會吃香的
[46:14] 為什麼他們來喜歡台灣小女
[46:16] 可是他們可以喜歡台灣女人
[46:17] 因為他們覺得
[46:18] 台灣女人都很會打交
[46:20] 我覺得有這個
[46:23] 是我覺得會嗎
[46:25] 會嗎
[46:26] 你你你
[46:27] 這麼多
[46:28] 你覺得台灣女人
[46:29] 很傻的嗎
[46:32] 滿強勢的比較多
[46:35] 也是有不能說
[46:37] 沒有比較溫柔的
[46:38] 還是有
[46:39] 但是我覺得
[46:41] 千萬比例子
[46:42] 並不像他們想像的
[46:44] 那麼
[46:45] 好
[46:46] 這樣
[46:47] 沒有不到
[46:48] 那你來這邊看到
[46:50] 看到女生都想男生
[46:52] 這邊像女生的
[46:54] 就是你跟子雲跟拉娜
[46:56] 其實都不像女生
[46:58] 拉娜
[47:00] 拉娜不是也不像這個群嗎
[47:02] 對
[47:03] 比較
[47:05] 他比較
[47:07] 比較像女生的
[47:09] 就是這幾個人
[47:10] 子雲跟他姐姐
[47:12] 就是比較溫柔
[47:13] 比較溫
[47:14] 其他都比較硬
[47:16] 但是
[47:17] 外圍的那群人
[47:18] 我認識的有幾個
[47:19] 老師的個案就比較溫柔
[47:21] 還是有溫柔的
[47:24] 沒有全部
[47:25] 我說
[47:28] 台灣女生都
[47:30] 我說只有我
[47:31] 好不好
[47:32] 你不要
[47:33] 不要去看
[47:34] 你電視去
[47:35] 你看他是十比
[47:37] 台灣人都不溫柔的
[47:38] 台灣女生都不溫柔
[47:39] 不要一直想
[47:40] 台灣女生都好不溫柔
[47:41] 我覺得六四比
[47:43] 我看到的比
[47:44] 應該是七或七三比
[47:45] 六四比或七三比
[47:47] 不是
[47:48] 我直接打他們打
[47:49] 所以他們的想法
[47:50] 你真的
[47:52] 你是個有點不客觀
[47:53] 這個有點
[47:54] 還是有
[47:55] 但是不客
[47:56] 但是比例不高
[47:57] 比例不高
[47:58] 這個傳統美德
[47:59] 已經消失了
[48:00] 已經
[48:01] 還是有
[48:02] 我發覺
[48:03] 40歲以上的女性
[48:05] 還有這個特質
[48:07] 40歲以上
[48:08] 或35歲以上
[48:10] 38、39的
[48:12] 可能
[48:13] 就是
[48:14] 這一輩還有
[48:16] 我這一輩以上
[48:17] 還是有
[48:18] 還是有的
[48:19] 但是越年輕就越沒有了
[48:20] 就越來越少
[48:22] 可能
[48:24] 我自己觀察的
[48:25] 因為已經不是
[48:28] 傳統這種
[48:30] 受限制的
[48:31] 你要實在
[48:32] 反而
[48:33] 40、50歲的人
[48:34] 現在還很溫柔
[48:35] 那個是
[48:36] 靈智靈造成的
[48:38] 靈智靈造成的
[48:40] 對
[48:42] 那個
[48:44] 那個也算靈靈
[48:45] 好了
[48:46] 我們要給他
[48:47] 現在
[48:48] 女生都應該調整成這樣
[48:51] 要是可以的話
[48:52] 應該很好
[48:55] 你生就是
[48:56] 溫柔的
[48:57] 是不是
[48:59] 那天有一個生氣
[49:01] 以前
[49:03] 女子
[49:05] 無才便是的時代
[49:07] 是很有
[49:09] 但是
[49:11] 當
[49:12] 國父
[49:13] 推翻
[49:15] 反清創立
[49:17] 民國
[49:18] 然後讓所有的
[49:20] 女生
[49:21] 都可以
[49:23] 有
[49:25] 無數的權力
[49:27] 而且是平等的權力的時候
[49:29] 這個就
[49:31] 電競消息
[49:32] 好
[49:33] 那我
[49:34] 女人無臺
[49:36] 好
[49:37] 我剛剛跟你講的
[49:39] 概念
[49:41] 我剛剛跟你講的
[49:43] 那個想法
[49:44] 來自於
[49:45] 我在聽
[49:46] 愛莫老師的系統的時候
[49:48] 他現在做了一個東西
[49:50] 入口
